Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Jim Price,LAL,1972-1973, 6-3,PG,23,59,828,14.0338983051,158,359,.440,.000,.000,.000,60,73,.822,.000,0.0,.000,0.0,115,1.94915254237,97,1.64406779661,.000,0.0,.000,0.0,.000,0.0,119,376,6.37288135593,
Jim Price,LAL,1973-1974, 6-3,PG,24,82,2628,32.0487804878,538,1197,.449,.000,.000,.000,187,234,.799,120,1.46341463415,258,3.14634146341,378,4.60975609756,369,4.5,157,1.91463414634,29,0.353658536585,.000,0.0,229,1263,15.4024390244,
Jim Price,TOT,1974-1975, 6-3,PG,25,50,1870,37.4,317,717,.442,.000,.000,.000,169,194,.871,62,1.24,136,2.72,198,3.96,286,5.72,111,2.22,24,0.48,.000,0.0,182,803,16.06,
Jim Price,LAL,1974-1975, 6-3,PG,25,9,339,37.6666666667,75,167,.449,.000,.000,.000,41,45,.911,17,1.88888888889,26,2.88888888889,43,4.77777777778,63,7.0,21,2.33333333333,3,0.333333333333,.000,0.0,36,191,21.2222222222,
Jim Price,MIL,1974-1975, 6-3,PG,25,41,1531,37.3414634146,242,550,.440,.000,.000,.000,128,149,.859,45,1.09756097561,110,2.68292682927,155,3.78048780488,223,5.43902439024,90,2.19512195122,21,0.512195121951,.000,0.0,146,612,14.9268292683,
Jim Price,MIL,1975-1976, 6-3,PG,26,80,2525,31.5625,398,958,.415,.000,.000,.000,141,166,.849,74,0.925,187,2.3375,261,3.2625,395,4.9375,148,1.85,32,0.4,.000,0.0,264,937,11.7125,
Jim Price,TOT,1976-1977, 6-3,PG,27,81,1828,22.5679012346,253,567,.446,.000,.000,.000,83,103,.806,50,0.617283950617,181,2.23456790123,231,2.85185185185,261,3.22222222222,128,1.58024691358,20,0.246913580247,.000,0.0,247,589,7.27160493827,
Jim Price,MIL,1976-1977, 6-3,PG,27,6,111,18.5,21,41,.512,.000,.000,.000,7,9,.778,4,0.666666666667,9,1.5,13,2.16666666667,15,2.5,7,1.16666666667,1,0.166666666667,.000,0.0,14,49,8.16666666667,
Jim Price,BUF,1976-1977, 6-3,PG,27,20,333,16.65,44,104,.423,.000,.000,.000,17,20,.850,5,0.25,29,1.45,34,1.7,38,1.9,25,1.25,5,0.25,.000,0.0,52,105,5.25,
Jim Price,DEN,1976-1977, 6-3,PG,27,55,1384,25.1636363636,188,422,.445,.000,.000,.000,59,74,.797,41,0.745454545455,143,2.6,184,3.34545454545,208,3.78181818182,96,1.74545454545,14,0.254545454545,.000,0.0,181,435,7.90909090909,
Jim Price,TOT,1977-1978, 6-3,PG,28,83,1929,23.2409638554,294,656,.448,.000,.000,.000,135,169,.799,57,0.686746987952,203,2.44578313253,260,3.13253012048,260,3.13253012048,114,1.3734939759,9,0.10843373494,175,2.10843373494,200,723,8.71084337349,
Jim Price,DEN,1977-1978, 6-3,PG,28,49,1090,22.2448979592,141,293,.481,.000,.000,.000,51,66,.773,30,0.612244897959,129,2.63265306122,159,3.24489795918,158,3.22448979592,69,1.40816326531,4,0.0816326530612,101,2.0612244898,118,333,6.79591836735,
Jim Price,DET,1977-1978, 6-3,PG,28,34,839,24.6764705882,153,363,.421,.000,.000,.000,84,103,.816,27,0.794117647059,74,2.17647058824,101,2.97058823529,102,3.0,45,1.32352941176,5,0.147058823529,74,2.17647058824,82,390,11.4705882353,
Jim Price,LAL,1978-1979, 6-3,PG,29,75,1207,16.0933333333,171,344,.497,.000,.000,.000,55,79,.696,26,0.346666666667,97,1.29333333333,123,1.64,218,2.90666666667,66,0.88,12,0.16,100,1.33333333333,128,397,5.29333333333,
