Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Jimmy Jones,NOB,1967-1968, 6-4,SG,23,78,3255,41.7307692308,551,1181,.467,2,9,.222,360,508,.709,.000,0.0,.000,0.0,443,5.67948717949,179,2.29487179487,.000,0.0,.000,0.0,241,3.08974358974,243,1464,18.7692307692,
Jimmy Jones,NOB,1968-1969, 6-4,PG,24,77,3188,41.4025974026,764,1429,.535,1,7,.143,521,647,.805,141,1.83116883117,300,3.8961038961,441,5.72727272727,437,5.67532467532,.000,0.0,.000,0.0,198,2.57142857143,225,2050,26.6233766234,
Jimmy Jones,NOB,1969-1970, 6-4,PG,25,70,2513,35.9,533,1072,.497,2,9,.222,380,469,.810,85,1.21428571429,230,3.28571428571,315,4.5,340,4.85714285714,.000,0.0,.000,0.0,275,3.92857142857,238,1448,20.6857142857,
Jimmy Jones,MMP,1970-1971, 6-4,PG,26,80,3004,37.55,593,1220,.486,4,7,.571,374,481,.778,121,1.5125,265,3.3125,386,4.825,468,5.85,.000,0.0,.000,0.0,294,3.675,240,1564,19.55,
Jimmy Jones,UTS,1971-1972, 6-4,PG,27,78,2903,37.2179487179,462,903,.512,1,6,.167,282,362,.779,92,1.17948717949,285,3.65384615385,377,4.83333333333,485,6.21794871795,.000,0.0,.000,0.0,270,3.46153846154,252,1207,15.4743589744,
Jimmy Jones,UTS,1972-1973, 6-4,PG,28,80,2848,35.6,496,948,.523,0,1,.000,345,432,.799,72,0.9,263,3.2875,335,4.1875,448,5.6,.000,0.0,.000,0.0,267,3.3375,271,1337,16.7125,
Jimmy Jones,UTS,1973-1974, 6-4,PG,29,83,3162,38.0963855422,583,1060,.550,0,1,.000,229,259,.884,103,1.24096385542,258,3.10843373494,361,4.34939759036,429,5.1686746988,154,1.85542168675,32,0.385542168675,238,2.86746987952,205,1395,16.8072289157,
Jimmy Jones,WSB,1974-1975, 6-4,PG,30,73,1424,19.5068493151,207,400,.518,.000,.000,.000,103,142,.725,36,0.493150684932,101,1.38356164384,137,1.87671232877,162,2.21917808219,76,1.04109589041,10,0.13698630137,.000,0.0,190,517,7.08219178082,
Jimmy Jones,WSB,1975-1976, 6-4,PG,31,64,1133,17.703125,153,308,.497,.000,.000,.000,72,94,.766,32,0.5,99,1.546875,131,2.046875,120,1.875,33,0.515625,5,0.078125,.000,0.0,127,378,5.90625,
Jimmy Jones,WSB,1976-1977, 6-4,PG,32,3,33,11.0,2,9,.222,.000,.000,.000,2,4,.500,1,0.333333333333,3,1.0,4,1.33333333333,1,0.333333333333,2,0.666666666667,0,0.0,.000,0.0,4,6,2.0,
