Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Jimmy Walker,DET,1967-1968, 6-3,SG,23,81,1585,19.5679012346,289,733,.394,.000,.000,.000,134,175,.766,.000,0.0,.000,0.0,135,1.66666666667,226,2.79012345679,.000,0.0,.000,0.0,.000,0.0,204,712,8.79012345679,
Jimmy Walker,DET,1968-1969, 6-3,SG,24,69,1639,23.7536231884,312,670,.466,.000,.000,.000,182,229,.795,.000,0.0,.000,0.0,157,2.27536231884,221,3.20289855072,.000,0.0,.000,0.0,.000,0.0,172,806,11.6811594203,
Jimmy Walker,DET,1969-1970, 6-3,SG,25,81,2869,35.4197530864,666,1394,.478,.000,.000,.000,355,440,.807,.000,0.0,.000,0.0,242,2.98765432099,248,3.06172839506,.000,0.0,.000,0.0,.000,0.0,203,1687,20.8271604938,
Jimmy Walker,DET,1970-1971, 6-3,SG,26,79,2765,35.0,524,1201,.436,.000,.000,.000,344,414,.831,.000,0.0,.000,0.0,207,2.62025316456,268,3.39240506329,.000,0.0,.000,0.0,.000,0.0,173,1392,17.6202531646,
Jimmy Walker,DET,1971-1972, 6-3,SG,27,78,3083,39.5256410256,634,1386,.457,.000,.000,.000,397,480,.827,.000,0.0,.000,0.0,231,2.96153846154,315,4.03846153846,.000,0.0,.000,0.0,.000,0.0,198,1665,21.3461538462,
Jimmy Walker,HOU,1972-1973, 6-3,PG,28,81,3079,38.012345679,605,1301,.465,.000,.000,.000,244,276,.884,.000,0.0,.000,0.0,268,3.30864197531,442,5.45679012346,.000,0.0,.000,0.0,.000,0.0,207,1454,17.950617284,
Jimmy Walker,TOT,1973-1974, 6-3,SG,29,75,2958,39.44,582,1240,.469,.000,.000,.000,273,333,.820,39,0.52,165,2.2,204,2.72,307,4.09333333333,81,1.08,9,0.12,.000,0.0,170,1437,19.16,
Jimmy Walker,HOU,1973-1974, 6-3,SG,29,3,38,12.6666666667,7,12,.583,.000,.000,.000,0,1,.000,0,0.0,2,0.666666666667,2,0.666666666667,4,1.33333333333,0,0.0,0,0.0,.000,0.0,4,14,4.66666666667,
Jimmy Walker,KCO,1973-1974, 6-3,SG,29,72,2920,40.5555555556,575,1228,.468,.000,.000,.000,273,332,.822,39,0.541666666667,163,2.26388888889,202,2.80555555556,303,4.20833333333,81,1.125,9,0.125,.000,0.0,166,1423,19.7638888889,
Jimmy Walker,KCO,1974-1975, 6-3,SG,30,81,3122,38.5432098765,553,1164,.475,.000,.000,.000,247,289,.855,51,0.62962962963,188,2.32098765432,239,2.95061728395,226,2.79012345679,85,1.04938271605,13,0.16049382716,.000,0.0,222,1353,16.7037037037,
Jimmy Walker,KCK,1975-1976, 6-3,SG,31,73,2490,34.1095890411,459,950,.483,.000,.000,.000,231,267,.865,49,0.671232876712,128,1.75342465753,177,2.42465753425,176,2.41095890411,87,1.19178082192,14,0.191780821918,.000,0.0,186,1149,15.7397260274,
