Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Joe Caldwell,DET,1964-1965, 6-5,SF,23,66,1543,23.3787878788,290,776,.374,.000,.000,.000,129,210,.614,.000,0.0,.000,0.0,441,6.68181818182,118,1.78787878788,.000,0.0,.000,0.0,.000,0.0,171,709,10.7424242424,
Joe Caldwell,TOT,1965-1966, 6-5,SF,24,79,1857,23.5063291139,411,938,.438,.000,.000,.000,179,254,.705,.000,0.0,.000,0.0,436,5.51898734177,126,1.59493670886,.000,0.0,.000,0.0,.000,0.0,203,1001,12.6708860759,
Joe Caldwell,DET,1965-1966, 6-5,SF,24,33,716,21.696969697,143,338,.423,.000,.000,.000,60,88,.682,.000,0.0,.000,0.0,190,5.75757575758,65,1.9696969697,.000,0.0,.000,0.0,.000,0.0,63,346,10.4848484848,
Joe Caldwell,STL,1965-1966, 6-5,SF,24,46,1141,24.8043478261,268,600,.447,.000,.000,.000,119,166,.717,.000,0.0,.000,0.0,246,5.34782608696,61,1.32608695652,.000,0.0,.000,0.0,.000,0.0,140,655,14.2391304348,
Joe Caldwell,STL,1966-1967, 6-5,SF,25,81,2256,27.8518518519,458,1076,.426,.000,.000,.000,200,308,.649,.000,0.0,.000,0.0,442,5.45679012346,166,2.04938271605,.000,0.0,.000,0.0,.000,0.0,230,1116,13.7777777778,
Joe Caldwell,STL,1967-1968, 6-5,SF,26,79,2641,33.4303797468,564,1219,.463,.000,.000,.000,165,290,.569,.000,0.0,.000,0.0,338,4.27848101266,240,3.03797468354,.000,0.0,.000,0.0,.000,0.0,208,1293,16.3670886076,
Joe Caldwell,ATL,1968-1969, 6-5,SG,27,81,2720,33.5802469136,561,1106,.507,.000,.000,.000,159,296,.537,.000,0.0,.000,0.0,303,3.74074074074,320,3.95061728395,.000,0.0,.000,0.0,.000,0.0,231,1281,15.8148148148,
Joe Caldwell,ATL,1969-1970, 6-5,SG,28,82,2857,34.8414634146,674,1329,.507,.000,.000,.000,379,551,.688,.000,0.0,.000,0.0,407,4.96341463415,287,3.5,.000,0.0,.000,0.0,.000,0.0,255,1727,21.0609756098,
Joe Caldwell,CAR,1970-1971, 6-5,SF,29,72,3008,41.7777777778,685,1528,.448,6,30,.200,302,541,.558,216,3.0,273,3.79166666667,489,6.79166666667,301,4.18055555556,.000,0.0,.000,0.0,249,3.45833333333,237,1678,23.3055555556,
Joe Caldwell,CAR,1971-1972, 6-5,SF,30,61,2145,35.1639344262,434,922,.471,5,20,.250,159,318,.500,157,2.5737704918,186,3.04918032787,343,5.62295081967,259,4.24590163934,.000,0.0,.000,0.0,164,2.68852459016,208,1032,16.9180327869,
Joe Caldwell,CAR,1972-1973, 6-5,SF,31,77,2739,35.5714285714,555,1118,.496,1,6,.167,172,405,.425,189,2.45454545455,206,2.67532467532,395,5.12987012987,352,4.57142857143,166,2.15584415584,.000,0.0,246,3.19480519481,252,1283,16.6623376623,
Joe Caldwell,CAR,1973-1974, 6-5,SF,32,79,2654,33.5949367089,502,1027,.489,3,17,.176,128,258,.496,177,2.24050632911,235,2.9746835443,412,5.21518987342,350,4.43037974684,170,2.15189873418,35,0.443037974684,242,3.06329113924,255,1135,14.3670886076,
Joe Caldwell,SSL,1974-1975, 6-5,SF,33,25,841,33.64,161,326,.494,3,7,.429,39,87,.448,44,1.76,67,2.68,111,4.44,128,5.12,49,1.96,10,0.4,74,2.96,78,364,14.56,
