Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Joe Smith,GSW,1995-1996, 6-10,PF,20,82,2821,34.4024390244,469,1024,.458,10,28,.357,303,392,.773,300,3.65853658537,417,5.08536585366,717,8.74390243902,79,0.963414634146,85,1.03658536585,134,1.63414634146,138,1.68292682927,224,1251,15.256097561,
Joe Smith,GSW,1996-1997, 6-10,PF,21,80,3086,38.575,587,1293,.454,12,46,.261,307,377,.814,261,3.2625,418,5.225,679,8.4875,125,1.5625,74,0.925,86,1.075,192,2.4,244,1493,18.6625,
Joe Smith,TOT,1997-1998, 6-10,PF,22,79,2344,29.6708860759,464,1070,.434,0,8,.000,227,293,.775,199,2.51898734177,272,3.44303797468,471,5.96202531646,94,1.18987341772,62,0.784810126582,51,0.645569620253,158,2.0,263,1155,14.6202531646,
Joe Smith,GSW,1997-1998, 6-10,PF,22,49,1645,33.5714285714,343,800,.429,0,7,.000,160,208,.769,141,2.87755102041,197,4.02040816327,338,6.89795918367,67,1.36734693878,44,0.897959183673,38,0.775510204082,106,2.16326530612,169,846,17.2653061224,
Joe Smith,PHI,1997-1998, 6-10,PF,22,30,699,23.3,121,270,.448,0,1,.000,67,85,.788,58,1.93333333333,75,2.5,133,4.43333333333,27,0.9,18,0.6,13,0.433333333333,52,1.73333333333,94,309,10.3,
Joe Smith,MIN,1998-1999, 6-10,C,23,43,1418,32.976744186,223,522,.427,0,3,.000,142,188,.755,154,3.58139534884,200,4.6511627907,354,8.23255813953,68,1.58139534884,32,0.744186046512,66,1.53488372093,66,1.53488372093,147,588,13.6744186047,
Joe Smith,MIN,1999-2000, 6-10,C,24,78,1975,25.3205128205,289,623,.464,1,1,1.000,195,258,.756,186,2.38461538462,298,3.82051282051,484,6.20512820513,88,1.12820512821,45,0.576923076923,85,1.08974358974,119,1.52564102564,302,774,9.92307692308,
Joe Smith,DET,2000-2001, 6-10,PF,25,69,1941,28.1304347826,308,765,.403,0,5,.000,231,287,.805,160,2.31884057971,331,4.79710144928,491,7.11594202899,79,1.14492753623,47,0.68115942029,50,0.724637681159,88,1.27536231884,258,847,12.2753623188,
Joe Smith,MIN,2001-2002, 6-10,C,26,72,1922,26.6944444444,297,581,.511,2,3,.667,171,206,.830,152,2.11111111111,301,4.18055555556,453,6.29166666667,82,1.13888888889,39,0.541666666667,59,0.819444444444,86,1.19444444444,250,767,10.6527777778,
Joe Smith,MIN,2002-2003, 6-10,SF,27,54,1117,20.6851851852,151,328,.460,0,2,.000,102,131,.779,111,2.05555555556,159,2.94444444444,270,5.0,38,0.703703703704,14,0.259259259259,55,1.01851851852,43,0.796296296296,171,404,7.48148148148,
