Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Joe Wolf,LAC,1987-1988, 6-11,C,23,42,1137,27.0714285714,136,334,.407,3,15,.200,45,54,.833,51,1.21428571429,136,3.2380952381,187,4.45238095238,98,2.33333333333,38,0.904761904762,16,0.380952380952,76,1.80952380952,139,320,7.61904761905,
Joe Wolf,LAC,1988-1989, 6-11,C,24,66,1450,21.9696969697,170,402,.423,2,14,.143,44,64,.688,83,1.25757575758,188,2.84848484848,271,4.10606060606,113,1.71212121212,32,0.484848484848,16,0.242424242424,94,1.42424242424,152,386,5.84848484848,
Joe Wolf,LAC,1989-1990, 6-11,C,25,77,1325,17.2077922078,155,392,.395,5,25,.200,55,71,.775,63,0.818181818182,169,2.19480519481,232,3.01298701299,62,0.805194805195,30,0.38961038961,24,0.311688311688,77,1.0,129,370,4.80519480519,
Joe Wolf,DEN,1990-1991, 6-11,C,26,74,1593,21.527027027,234,519,.451,2,15,.133,69,83,.831,136,1.83783783784,264,3.56756756757,400,5.40540540541,107,1.44594594595,60,0.810810810811,31,0.418918918919,95,1.28378378378,244,539,7.28378378378,
Joe Wolf,DEN,1991-1992, 6-11,C,27,67,1160,17.3134328358,100,277,.361,1,11,.091,53,66,.803,97,1.44776119403,143,2.13432835821,240,3.58208955224,61,0.910447761194,32,0.477611940299,14,0.208955223881,60,0.89552238806,124,254,3.79104477612,
Joe Wolf,TOT,1992-1993, 6-11,C,28,23,165,7.17391304348,20,44,.455,0,1,.000,13,16,.813,14,0.608695652174,34,1.47826086957,48,2.08695652174,5,0.217391304348,7,0.304347826087,1,0.0434782608696,7,0.304347826087,24,53,2.30434782609,
Joe Wolf,BOS,1992-1993, 6-11,C,28,2,9,4.5,0,1,.000,0,0,.000,1,2,.500,1,0.5,2,1.0,3,1.5,0,0.0,0,0.0,1,0.5,2,1.0,2,1,0.5,
Joe Wolf,POR,1992-1993, 6-11,C,28,21,156,7.42857142857,20,43,.465,0,1,.000,12,14,.857,13,0.619047619048,32,1.52380952381,45,2.14285714286,5,0.238095238095,7,0.333333333333,0,0.0,5,0.238095238095,22,52,2.47619047619,
Joe Wolf,CHH,1994-1995, 6-11,PF,30,63,583,9.25396825397,38,81,.469,2,6,.333,12,16,.750,34,0.539682539683,95,1.50793650794,129,2.04761904762,37,0.587301587302,9,0.142857142857,6,0.0952380952381,22,0.349206349206,101,90,1.42857142857,
Joe Wolf,TOT,1995-1996, 6-11,PF,31,64,1065,16.640625,135,263,.513,0,6,.000,21,29,.724,49,0.765625,138,2.15625,187,2.921875,63,0.984375,15,0.234375,5,0.078125,42,0.65625,163,291,4.546875,
Joe Wolf,CHH,1995-1996, 6-11,PF,31,1,18,18.0,0,1,.000,0,0,.000,0,0,.000,0,0.0,2,2.0,2,2.0,0,0.0,2,2.0,0,0.0,2,2.0,2,0,0.0,
Joe Wolf,ORL,1995-1996, 6-11,PF,31,63,1047,16.619047619,135,262,.515,0,6,.000,21,29,.724,49,0.777777777778,136,2.15873015873,185,2.93650793651,63,1.0,13,0.206349206349,5,0.0793650793651,40,0.634920634921,161,291,4.61904761905,
Joe Wolf,MIL,1996-1997, 6-11,C,32,56,525,9.375,40,89,.449,1,7,.143,14,19,.737,32,0.571428571429,80,1.42857142857,112,2.0,20,0.357142857143,14,0.25,11,0.196428571429,14,0.25,105,95,1.69642857143,
Joe Wolf,DEN,1997-1998, 6-11,PF,33,57,621,10.8947368421,40,121,.331,2,10,.200,5,10,.500,36,0.631578947368,90,1.57894736842,126,2.21052631579,30,0.526315789474,20,0.350877192982,7,0.122807017544,22,0.385964912281,92,87,1.52631578947,
Joe Wolf,CHH,1998-1999, 6-11,PF,34,3,12,4.0,0,1,.000,0,0,.000,0,2,.000,0,0.0,1,0.333333333333,1,0.333333333333,0,0.0,0,0.0,0,0.0,0,0.0,6,0,0.0,
