Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Johan Petro,SEA,2005-2006, 7-0,C,20,68,1282,18.8529411765,153,300,.510,0,0,.000,47,75,.627,109,1.60294117647,187,2.75,296,4.35294117647,15,0.220588235294,25,0.367647058824,51,0.75,60,0.882352941176,213,353,5.19117647059,
Johan Petro,SEA,2006-2007, 7-0,C,21,81,1510,18.6419753086,226,438,.516,0,0,.000,50,77,.649,92,1.13580246914,243,3.0,335,4.13580246914,45,0.555555555556,39,0.481481481481,47,0.58024691358,82,1.01234567901,237,502,6.1975308642,
Johan Petro,SEA,2007-2008, 7-0,C,22,72,1310,18.1944444444,184,439,.419,0,1,.000,64,87,.736,98,1.36111111111,272,3.77777777778,370,5.13888888889,32,0.444444444444,35,0.486111111111,42,0.583333333333,73,1.01388888889,173,432,6.0,
Johan Petro,TOT,2008-2009, 7-0,C,23,49,559,11.4081632653,73,176,.415,0,2,.000,16,29,.552,42,0.857142857143,116,2.36734693878,158,3.22448979592,16,0.326530612245,19,0.387755102041,15,0.30612244898,28,0.571428571429,107,162,3.30612244898,
Johan Petro,OKC,2008-2009, 7-0,C,23,22,342,15.5454545455,46,113,.407,0,1,.000,10,15,.667,27,1.22727272727,68,3.09090909091,95,4.31818181818,6,0.272727272727,16,0.727272727273,5,0.227272727273,15,0.681818181818,51,102,4.63636363636,
Johan Petro,DEN,2008-2009, 7-0,C,23,27,217,8.03703703704,27,63,.429,0,1,.000,6,14,.429,15,0.555555555556,48,1.77777777778,63,2.33333333333,10,0.37037037037,3,0.111111111111,10,0.37037037037,13,0.481481481481,56,60,2.22222222222,
Johan Petro,DEN,2009-2010, 7-0,C,24,36,436,12.1111111111,54,101,.535,0,1,.000,14,21,.667,32,0.888888888889,97,2.69444444444,129,3.58333333333,14,0.388888888889,10,0.277777777778,13,0.361111111111,23,0.638888888889,80,122,3.38888888889,
Johan Petro,NJN,2010-2011, 7-0,C,25,77,893,11.5974025974,129,290,.445,0,4,.000,15,28,.536,62,0.805194805195,150,1.94805194805,212,2.75324675325,44,0.571428571429,34,0.441558441558,34,0.441558441558,46,0.597402597403,178,273,3.54545454545,
Johan Petro,NJN,2011-2012, 7-0,C,26,59,920,15.593220339,109,260,.419,1,1,1.000,31,37,.838,68,1.15254237288,156,2.64406779661,224,3.79661016949,45,0.762711864407,21,0.35593220339,23,0.389830508475,38,0.64406779661,122,250,4.23728813559,
Johan Petro,ATL,2012-2013, 7-0,C,27,21,193,9.19047619048,31,66,.470,0,2,.000,3,3,1.000,14,0.666666666667,39,1.85714285714,53,2.52380952381,6,0.285714285714,6,0.285714285714,4,0.190476190476,11,0.52380952381,29,65,3.09523809524,
