Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
John Battle,ATL,1985-1986, 6-2,SG,23,64,639,9.984375,101,222,.455,0,7,.000,75,103,.728,12,0.1875,50,0.78125,62,0.96875,74,1.15625,23,0.359375,3,0.046875,47,0.734375,80,277,4.328125,
John Battle,ATL,1986-1987, 6-2,SG,24,64,804,12.5625,144,315,.457,0,10,.000,93,126,.738,16,0.25,44,0.6875,60,0.9375,124,1.9375,29,0.453125,5,0.078125,60,0.9375,76,381,5.953125,
John Battle,ATL,1987-1988, 6-2,SG,25,67,1227,18.3134328358,278,613,.454,16,41,.390,141,188,.750,26,0.388059701493,87,1.29850746269,113,1.68656716418,158,2.35820895522,31,0.462686567164,5,0.0746268656716,75,1.11940298507,84,713,10.6417910448,
John Battle,ATL,1988-1989, 6-2,SG,26,82,1672,20.3902439024,287,628,.457,11,34,.324,194,238,.815,30,0.365853658537,110,1.34146341463,140,1.70731707317,197,2.40243902439,42,0.512195121951,9,0.109756097561,104,1.26829268293,125,779,9.5,
John Battle,ATL,1989-1990, 6-2,SG,27,60,1477,24.6166666667,275,544,.506,2,13,.154,102,135,.756,27,0.45,72,1.2,99,1.65,154,2.56666666667,28,0.466666666667,3,0.05,89,1.48333333333,115,654,10.9,
John Battle,ATL,1990-1991, 6-2,SG,28,79,1863,23.582278481,397,862,.461,14,49,.286,270,316,.854,34,0.430379746835,125,1.58227848101,159,2.01265822785,217,2.74683544304,45,0.569620253165,6,0.0759493670886,113,1.43037974684,145,1078,13.6455696203,
John Battle,CLE,1991-1992, 6-2,SG,29,76,1637,21.5394736842,316,659,.480,2,17,.118,145,171,.848,19,0.25,93,1.22368421053,112,1.47368421053,159,2.09210526316,36,0.473684210526,5,0.0657894736842,91,1.19736842105,116,779,10.25,
John Battle,CLE,1992-1993, 6-2,SG,30,41,497,12.1219512195,83,200,.415,1,6,.167,56,72,.778,4,0.0975609756098,25,0.609756097561,29,0.707317073171,54,1.31707317073,9,0.219512195122,5,0.121951219512,22,0.536585365854,39,223,5.43902439024,
John Battle,CLE,1993-1994, 6-2,SG,31,51,814,15.9607843137,130,273,.476,5,19,.263,73,97,.753,7,0.137254901961,32,0.627450980392,39,0.764705882353,83,1.62745098039,22,0.43137254902,1,0.0196078431373,41,0.803921568627,66,338,6.62745098039,
John Battle,CLE,1994-1995, 6-2,SG,32,28,280,10.0,43,114,.377,11,31,.355,19,26,.731,3,0.107142857143,8,0.285714285714,11,0.392857142857,37,1.32142857143,8,0.285714285714,1,0.0357142857143,17,0.607142857143,28,116,4.14285714286,
