Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
John Salmons,PHI,2002-2003, 6-7,PG,23,64,504,7.875,48,116,.414,10,31,.323,26,35,.743,16,0.25,43,0.671875,59,0.921875,47,0.734375,17,0.265625,6,0.09375,29,0.453125,53,132,2.0625,
John Salmons,PHI,2003-2004, 6-7,SG,24,77,1603,20.8181818182,161,416,.387,50,147,.340,71,92,.772,38,0.493506493506,158,2.05194805195,196,2.54545454545,134,1.74025974026,62,0.805194805195,16,0.207792207792,77,1.0,122,443,5.75324675325,
John Salmons,PHI,2004-2005, 6-7,SG,25,58,993,17.1206896552,85,210,.405,31,91,.341,35,48,.729,12,0.206896551724,109,1.87931034483,121,2.08620689655,114,1.96551724138,40,0.689655172414,13,0.224137931034,51,0.879310344828,92,236,4.06896551724,
John Salmons,PHI,2005-2006, 6-7,SG,26,82,2059,25.1097560976,219,521,.420,26,87,.299,155,200,.775,48,0.585365853659,172,2.09756097561,220,2.68292682927,223,2.71951219512,73,0.890243902439,13,0.158536585366,125,1.5243902439,178,619,7.5487804878,
John Salmons,SAC,2006-2007, 6-7,SG,27,79,2135,27.0253164557,236,517,.456,40,112,.357,159,204,.779,47,0.594936708861,217,2.74683544304,264,3.3417721519,254,3.21518987342,73,0.924050632911,27,0.341772151899,119,1.50632911392,177,671,8.49367088608,
John Salmons,SAC,2007-2008, 6-7,SG,28,81,2517,31.0740740741,381,799,.477,39,120,.325,214,260,.823,76,0.938271604938,273,3.37037037037,349,4.30864197531,208,2.56790123457,93,1.14814814815,31,0.382716049383,170,2.0987654321,171,1015,12.5308641975,
John Salmons,TOT,2008-2009, 6-7,SF,29,79,2959,37.4556962025,516,1093,.472,126,302,.417,288,347,.830,59,0.746835443038,274,3.46835443038,333,4.21518987342,249,3.15189873418,83,1.05063291139,24,0.303797468354,165,2.08860759494,182,1446,18.3037974684,
John Salmons,SAC,2008-2009, 6-7,SF,29,53,1980,37.358490566,351,744,.472,77,184,.418,191,232,.823,43,0.811320754717,178,3.35849056604,221,4.16981132075,196,3.69811320755,58,1.09433962264,9,0.169811320755,122,2.30188679245,122,970,18.3018867925,
John Salmons,CHI,2008-2009, 6-7,SF,29,26,979,37.6538461538,165,349,.473,49,118,.415,97,115,.843,16,0.615384615385,96,3.69230769231,112,4.30769230769,53,2.03846153846,25,0.961538461538,15,0.576923076923,43,1.65384615385,60,476,18.3076923077,
John Salmons,TOT,2009-2010, 6-7,SG,30,81,2824,34.8641975309,437,991,.441,118,309,.382,253,305,.830,35,0.432098765432,235,2.9012345679,270,3.33333333333,223,2.75308641975,99,1.22222222222,26,0.320987654321,123,1.51851851852,166,1245,15.3703703704,
John Salmons,CHI,2009-2010, 6-7,SG,30,51,1695,33.2352941176,230,548,.420,73,192,.380,116,147,.789,18,0.352941176471,156,3.05882352941,174,3.41176470588,125,2.45098039216,65,1.27450980392,22,0.43137254902,70,1.37254901961,101,649,12.7254901961,
John Salmons,MIL,2009-2010, 6-7,SG,30,30,1129,37.6333333333,207,443,.467,45,117,.385,137,158,.867,17,0.566666666667,79,2.63333333333,96,3.2,98,3.26666666667,34,1.13333333333,4,0.133333333333,53,1.76666666667,65,596,19.8666666667,
John Salmons,MIL,2010-2011, 6-7,SG,31,73,2554,34.9863013699,373,898,.415,83,219,.379,195,240,.813,27,0.369863013699,239,3.27397260274,266,3.64383561644,252,3.45205479452,72,0.986301369863,28,0.383561643836,137,1.87671232877,157,1024,14.0273972603,
John Salmons,SAC,2011-2012, 6-7,SF,32,46,1250,27.1739130435,141,345,.409,33,112,.295,29,45,.644,20,0.434782608696,114,2.47826086957,134,2.91304347826,93,2.02173913043,37,0.804347826087,7,0.152173913043,45,0.978260869565,77,344,7.47826086957,
John Salmons,SAC,2012-2013, 6-7,SF,33,60,1770,29.5,199,491,.405,81,206,.393,68,89,.764,23,0.383333333333,138,2.3,161,2.68333333333,184,3.06666666667,45,0.75,21,0.35,72,1.2,116,547,9.11666666667,
