Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Johnny Moore,SAS,1980-1981, 6-1,PG,22,82,1578,19.243902439,249,520,.479,1,19,.053,105,172,.610,58,0.707317073171,138,1.68292682927,196,2.39024390244,373,4.5487804878,120,1.46341463415,22,0.268292682927,154,1.87804878049,178,604,7.36585365854,
Johnny Moore,SAS,1981-1982, 6-1,PG,23,79,2294,29.0379746835,309,667,.463,1,21,.048,122,182,.670,62,0.784810126582,213,2.69620253165,275,3.48101265823,762,9.64556962025,163,2.06329113924,12,0.151898734177,175,2.21518987342,254,741,9.37974683544,
Johnny Moore,SAS,1982-1983, 6-1,PG,24,77,2552,33.1428571429,394,841,.468,5,22,.227,148,199,.744,65,0.844155844156,212,2.75324675325,277,3.5974025974,753,9.77922077922,194,2.51948051948,32,0.415584415584,226,2.93506493506,247,941,12.2207792208,
Johnny Moore,SAS,1983-1984, 6-1,PG,25,59,1650,27.9661016949,231,518,.446,28,87,.322,105,139,.755,37,0.627118644068,141,2.38983050847,178,3.01694915254,566,9.59322033898,123,2.08474576271,20,0.338983050847,143,2.42372881356,168,595,10.0847457627,
Johnny Moore,SAS,1984-1985, 6-1,PG,26,82,2689,32.7926829268,416,910,.457,25,89,.281,189,248,.762,94,1.14634146341,284,3.46341463415,378,4.60975609756,816,9.9512195122,229,2.79268292683,18,0.219512195122,236,2.87804878049,247,1046,12.756097561,
Johnny Moore,SAS,1985-1986, 6-1,PG,27,28,856,30.5714285714,150,303,.495,4,22,.182,59,86,.686,25,0.892857142857,61,2.17857142857,86,3.07142857143,252,9.0,70,2.5,6,0.214285714286,81,2.89285714286,78,363,12.9642857143,
Johnny Moore,SAS,1986-1987, 6-1,PG,28,55,1234,22.4363636364,198,448,.442,22,79,.278,56,70,.800,32,0.581818181818,68,1.23636363636,100,1.81818181818,250,4.54545454545,83,1.50909090909,3,0.0545454545455,102,1.85454545455,97,474,8.61818181818,
Johnny Moore,TOT,1987-1988, 6-1,PG,29,5,61,12.2,4,10,.400,0,1,.000,0,0,.000,2,0.4,4,0.8,6,1.2,12,2.4,3,0.6,0,0.0,7,1.4,1,8,1.6,
Johnny Moore,SAS,1987-1988, 6-1,PG,29,4,51,12.75,4,9,.444,0,1,.000,0,0,.000,1,0.25,3,0.75,4,1.0,11,2.75,3,0.75,0,0.0,4,1.0,1,8,2.0,
Johnny Moore,NJN,1987-1988, 6-1,PG,29,1,10,10.0,0,1,.000,0,0,.000,0,0,.000,1,1.0,1,1.0,2,2.0,1,1.0,0,0.0,0,0.0,3,3.0,0,0,0.0,
Johnny Moore,SAS,1989-1990, 6-1,PG,31,53,516,9.7358490566,47,126,.373,8,34,.235,16,27,.593,16,0.301886792453,36,0.679245283019,52,0.981132075472,82,1.54716981132,32,0.603773584906,3,0.0566037735849,39,0.735849056604,55,118,2.22641509434,
