Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Johnny Neumann,MMP,1971-1972, 6-6,SG,20,77,1969,25.5714285714,545,1328,.410,26,128,.203,293,385,.761,196,2.54545454545,126,1.63636363636,322,4.18181818182,147,1.90909090909,.000,0.0,.000,0.0,239,3.1038961039,285,1409,18.2987012987,
Johnny Neumann,MMT,1972-1973, 6-6,SG,21,79,2787,35.2784810127,605,1283,.472,9,51,.176,329,423,.778,146,1.84810126582,164,2.07594936709,310,3.92405063291,470,5.94936708861,.000,0.0,.000,0.0,345,4.36708860759,304,1548,19.5949367089,
Johnny Neumann,TOT,1973-1974, 6-6,SG,22,87,2056,23.632183908,482,1070,.450,18,74,.243,166,215,.772,108,1.24137931034,118,1.35632183908,226,2.59770114943,254,2.91954022989,95,1.09195402299,26,0.298850574713,248,2.85057471264,283,1148,13.1954022989,
Johnny Neumann,MMT,1973-1974, 6-6,SF,22,43,1300,30.2325581395,292,665,.439,7,35,.200,113,145,.779,66,1.53488372093,70,1.62790697674,136,3.16279069767,178,4.13953488372,56,1.3023255814,13,0.302325581395,157,3.6511627907,160,704,16.3720930233,
Johnny Neumann,UTS,1973-1974, 6-6,SG,22,44,756,17.1818181818,190,405,.469,11,39,.282,53,70,.757,42,0.954545454545,48,1.09090909091,90,2.04545454545,76,1.72727272727,39,0.886363636364,13,0.295454545455,91,2.06818181818,123,444,10.0909090909,
Johnny Neumann,TOT,1974-1975, 6-6,SG,23,52,931,17.9038461538,186,445,.418,21,78,.269,52,75,.693,42,0.807692307692,47,0.903846153846,89,1.71153846154,135,2.59615384615,26,0.5,11,0.211538461538,82,1.57692307692,131,445,8.55769230769,
Johnny Neumann,VIR,1974-1975, 6-6,SG,23,4,96,24.0,22,67,.328,0,5,.000,3,8,.375,8,2.0,3,0.75,11,2.75,12,3.0,4,1.0,1,0.25,8,2.0,13,47,11.75,
Johnny Neumann,INA,1974-1975, 6-6,SG,23,48,835,17.3958333333,164,378,.434,21,73,.288,49,67,.731,34,0.708333333333,44,0.916666666667,78,1.625,123,2.5625,22,0.458333333333,10,0.208333333333,74,1.54166666667,118,398,8.29166666667,
Johnny Neumann,TOT,1975-1976, 6-6,SG,24,77,1589,20.6363636364,393,949,.414,71,208,.341,151,189,.799,80,1.03896103896,121,1.57142857143,201,2.61038961039,171,2.22077922078,68,0.883116883117,26,0.337662337662,174,2.25974025974,222,1008,13.0909090909,
Johnny Neumann,VIR,1975-1976, 6-6,SG,24,35,777,22.2,222,550,.404,42,122,.344,96,112,.857,41,1.17142857143,51,1.45714285714,92,2.62857142857,67,1.91428571429,37,1.05714285714,16,0.457142857143,81,2.31428571429,115,582,16.6285714286,
Johnny Neumann,KEN,1975-1976, 6-6,SG,24,42,812,19.3333333333,171,399,.429,29,86,.337,55,77,.714,39,0.928571428571,70,1.66666666667,109,2.59523809524,104,2.47619047619,31,0.738095238095,10,0.238095238095,93,2.21428571429,107,426,10.1428571429,
Johnny Neumann,TOT,1976-1977, 6-6,SG,25,63,937,14.873015873,161,397,.406,.000,.000,.000,59,87,.678,24,0.380952380952,48,0.761904761905,72,1.14285714286,141,2.2380952381,31,0.492063492063,10,0.15873015873,.000,0.0,134,381,6.04761904762,
Johnny Neumann,BUF,1976-1977, 6-6,SG,25,4,49,12.25,15,34,.441,.000,.000,.000,5,6,.833,5,1.25,4,1.0,9,2.25,4,1.0,3,0.75,2,0.5,.000,0.0,7,35,8.75,
Johnny Neumann,LAL,1976-1977, 6-6,SG,25,59,888,15.0508474576,146,363,.402,.000,.000,.000,54,81,.667,19,0.322033898305,44,0.745762711864,63,1.06779661017,137,2.32203389831,28,0.474576271186,8,0.135593220339,.000,0.0,127,346,5.86440677966,
Johnny Neumann,IND,1977-1978, 6-6,SG,26,20,216,10.8,35,86,.407,.000,.000,.000,13,18,.722,5,0.25,9,0.45,14,0.7,27,1.35,6,0.3,1,0.05,22,1.1,24,83,4.15,
