Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Jon Koncak,ATL,1985-1986, 7-0,C,22,82,1695,20.6707317073,263,519,.507,0,1,.000,156,257,.607,171,2.08536585366,296,3.60975609756,467,5.69512195122,55,0.670731707317,37,0.451219512195,69,0.841463414634,111,1.35365853659,296,682,8.31707317073,
Jon Koncak,ATL,1986-1987, 7-0,C,23,82,1684,20.5365853659,169,352,.480,0,1,.000,125,191,.654,153,1.86585365854,340,4.14634146341,493,6.01219512195,31,0.378048780488,52,0.634146341463,76,0.926829268293,92,1.12195121951,262,463,5.64634146341,
Jon Koncak,ATL,1987-1988, 7-0,C,24,49,1073,21.8979591837,98,203,.483,0,2,.000,83,136,.610,103,2.10204081633,230,4.69387755102,333,6.79591836735,19,0.387755102041,36,0.734693877551,56,1.14285714286,53,1.08163265306,161,279,5.69387755102,
Jon Koncak,ATL,1988-1989, 7-0,C,25,74,1531,20.6891891892,141,269,.524,0,3,.000,63,114,.553,147,1.98648648649,306,4.13513513514,453,6.12162162162,56,0.756756756757,54,0.72972972973,98,1.32432432432,60,0.810810810811,238,345,4.66216216216,
Jon Koncak,ATL,1989-1990, 7-0,C,26,54,977,18.0925925926,78,127,.614,0,1,.000,42,79,.532,58,1.07407407407,168,3.11111111111,226,4.18518518519,23,0.425925925926,38,0.703703703704,34,0.62962962963,47,0.87037037037,182,198,3.66666666667,
Jon Koncak,ATL,1990-1991, 7-0,C,27,77,1931,25.0779220779,140,321,.436,1,8,.125,32,54,.593,101,1.31168831169,274,3.55844155844,375,4.87012987013,124,1.61038961039,74,0.961038961039,76,0.987012987013,50,0.649350649351,265,313,4.06493506494,
Jon Koncak,ATL,1991-1992, 7-0,C,28,77,1489,19.3376623377,111,284,.391,0,12,.000,19,29,.655,62,0.805194805195,199,2.58441558442,261,3.38961038961,132,1.71428571429,50,0.649350649351,67,0.87012987013,54,0.701298701299,207,241,3.12987012987,
Jon Koncak,ATL,1992-1993, 7-0,C,29,78,1975,25.3205128205,124,267,.464,3,8,.375,24,50,.480,100,1.28205128205,327,4.19230769231,427,5.47435897436,140,1.79487179487,75,0.961538461538,100,1.28205128205,52,0.666666666667,264,275,3.52564102564,
Jon Koncak,ATL,1993-1994, 7-0,C,30,82,1823,22.2317073171,159,369,.431,0,3,.000,24,36,.667,83,1.01219512195,282,3.43902439024,365,4.4512195122,102,1.24390243902,63,0.768292682927,125,1.5243902439,44,0.536585365854,236,342,4.17073170732,
Jon Koncak,ATL,1994-1995, 7-0,C,31,62,943,15.2096774194,77,187,.412,12,36,.333,13,24,.542,23,0.370967741935,161,2.59677419355,184,2.96774193548,52,0.838709677419,36,0.58064516129,46,0.741935483871,20,0.322580645161,137,179,2.88709677419,
Jon Koncak,ORL,1995-1996, 7-0,C,32,67,1288,19.223880597,84,175,.480,3,9,.333,32,57,.561,63,0.940298507463,209,3.11940298507,272,4.05970149254,51,0.761194029851,27,0.402985074627,44,0.65671641791,41,0.611940298507,226,203,3.02985074627,
