Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Juan Dixon,WAS,2002-2003, 6-3,PG,24,42,647,15.4047619048,104,271,.384,25,84,.298,37,46,.804,13,0.309523809524,59,1.40476190476,72,1.71428571429,40,0.952380952381,26,0.619047619048,3,0.0714285714286,42,1.0,54,270,6.42857142857,
Juan Dixon,WAS,2003-2004, 6-3,SG,25,71,1478,20.8169014085,247,637,.388,59,198,.298,111,139,.799,30,0.422535211268,118,1.66197183099,148,2.08450704225,137,1.92957746479,82,1.15492957746,4,0.056338028169,104,1.46478873239,111,664,9.35211267606,
Juan Dixon,WAS,2004-2005, 6-3,SG,26,63,1054,16.7301587302,186,447,.416,48,147,.327,87,97,.897,32,0.507936507937,87,1.38095238095,119,1.88888888889,111,1.7619047619,43,0.68253968254,4,0.0634920634921,68,1.07936507937,98,507,8.04761904762,
Juan Dixon,POR,2005-2006, 6-3,SG,27,76,1920,25.2631578947,357,821,.435,65,170,.382,156,194,.804,30,0.394736842105,147,1.93421052632,177,2.32894736842,149,1.96052631579,58,0.763157894737,6,0.0789473684211,113,1.48684210526,157,935,12.3026315789,
Juan Dixon,TOT,2006-2007, 6-3,SG,28,81,1926,23.7777777778,299,703,.425,79,226,.350,101,116,.871,27,0.333333333333,131,1.61728395062,158,1.95061728395,123,1.51851851852,76,0.938271604938,9,0.111111111111,101,1.24691358025,177,778,9.6049382716,
Juan Dixon,POR,2006-2007, 6-3,SG,28,55,1243,22.6,189,444,.426,52,143,.364,60,72,.833,16,0.290909090909,69,1.25454545455,85,1.54545454545,82,1.49090909091,49,0.890909090909,7,0.127272727273,77,1.4,112,490,8.90909090909,
Juan Dixon,TOR,2006-2007, 6-3,SG,28,26,683,26.2692307692,110,259,.425,27,83,.325,41,44,.932,11,0.423076923077,62,2.38461538462,73,2.80769230769,41,1.57692307692,27,1.03846153846,2,0.0769230769231,24,0.923076923077,65,288,11.0769230769,
Juan Dixon,TOT,2007-2008, 6-3,PG,29,53,668,12.6037735849,106,258,.411,30,72,.417,21,26,.808,15,0.283018867925,60,1.1320754717,75,1.41509433962,97,1.83018867925,21,0.396226415094,2,0.0377358490566,54,1.01886792453,62,263,4.96226415094,
Juan Dixon,TOR,2007-2008, 6-3,PG,29,36,424,11.7777777778,59,160,.369,17,39,.436,18,19,.947,9,0.25,38,1.05555555556,47,1.30555555556,65,1.80555555556,21,0.583333333333,2,0.0555555555556,35,0.972222222222,38,153,4.25,
Juan Dixon,DET,2007-2008, 6-3,PG,29,17,244,14.3529411765,47,98,.480,13,33,.394,3,7,.429,6,0.352941176471,22,1.29411764706,28,1.64705882353,32,1.88235294118,0,0.0,0,0.0,19,1.11764705882,24,110,6.47058823529,
Juan Dixon,WAS,2008-2009, 6-3,PG,30,50,816,16.32,101,256,.395,25,75,.333,34,39,.872,8,0.16,59,1.18,67,1.34,118,2.36,35,0.7,6,0.12,70,1.4,74,261,5.22,
