Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Kenny Carr,LAL,1977-1978, 6-7,PF,22,52,733,14.0961538462,134,302,.444,.000,.000,.000,55,85,.647,53,1.01923076923,155,2.98076923077,208,4.0,26,0.5,18,0.346153846154,14,0.269230769231,89,1.71153846154,127,323,6.21153846154,
Kenny Carr,LAL,1978-1979, 6-7,PF,23,72,1149,15.9583333333,225,450,.500,.000,.000,.000,83,137,.606,70,0.972222222222,222,3.08333333333,292,4.05555555556,60,0.833333333333,38,0.527777777778,31,0.430555555556,116,1.61111111111,152,533,7.40277777778,
Kenny Carr,TOT,1979-1980, 6-7,PF,24,79,1838,23.2658227848,378,768,.492,0,4,.000,173,263,.658,199,2.51898734177,389,4.92405063291,588,7.44303797468,77,0.974683544304,66,0.835443037975,52,0.658227848101,154,1.94936708861,246,929,11.7594936709,
Kenny Carr,LAL,1979-1980, 6-7,PF,24,5,57,11.4,7,16,.438,0,0,.000,2,2,1.000,5,1.0,12,2.4,17,3.4,1,0.2,2,0.4,1,0.2,9,1.8,6,16,3.2,
Kenny Carr,CLE,1979-1980, 6-7,PF,24,74,1781,24.0675675676,371,752,.493,0,4,.000,171,261,.655,194,2.62162162162,377,5.09459459459,571,7.71621621622,76,1.02702702703,64,0.864864864865,51,0.689189189189,145,1.95945945946,240,913,12.3378378378,
Kenny Carr,CLE,1980-1981, 6-7,PF,25,81,2615,32.2839506173,469,918,.511,0,4,.000,292,409,.714,260,3.20987654321,575,7.0987654321,835,10.3086419753,192,2.37037037037,76,0.938271604938,42,0.518518518519,231,2.85185185185,296,1230,15.1851851852,
Kenny Carr,TOT,1981-1982, 6-7,PF,26,74,1926,26.027027027,348,692,.503,1,10,.100,198,302,.656,167,2.25675675676,364,4.91891891892,531,7.17567567568,86,1.16216216216,64,0.864864864865,22,0.297297297297,152,2.05405405405,249,895,12.0945945946,
Kenny Carr,CLE,1981-1982, 6-7,PF,26,46,1482,32.2173913043,271,524,.517,1,9,.111,145,220,.659,114,2.47826086957,280,6.08695652174,394,8.5652173913,63,1.36956521739,58,1.26086956522,16,0.347826086957,112,2.4347826087,180,688,14.9565217391,
Kenny Carr,DET,1981-1982, 6-7,PF,26,28,444,15.8571428571,77,168,.458,0,1,.000,53,82,.646,53,1.89285714286,84,3.0,137,4.89285714286,23,0.821428571429,6,0.214285714286,6,0.214285714286,40,1.42857142857,69,207,7.39285714286,
Kenny Carr,POR,1982-1983, 6-7,PF,27,82,2331,28.4268292683,362,717,.505,2,6,.333,255,366,.697,182,2.21951219512,407,4.96341463415,589,7.18292682927,116,1.41463414634,62,0.756097560976,42,0.512195121951,185,2.25609756098,306,981,11.9634146341,
Kenny Carr,POR,1983-1984, 6-7,PF,28,82,2455,29.9390243902,518,923,.561,0,5,.000,247,367,.673,208,2.53658536585,434,5.29268292683,642,7.82926829268,157,1.91463414634,68,0.829268292683,33,0.40243902439,202,2.46341463415,274,1283,15.6463414634,
Kenny Carr,POR,1984-1985, 6-7,PF,29,48,1120,23.3333333333,190,363,.523,0,3,.000,118,164,.720,90,1.875,233,4.85416666667,323,6.72916666667,56,1.16666666667,25,0.520833333333,17,0.354166666667,100,2.08333333333,141,498,10.375,
Kenny Carr,POR,1985-1986, 6-7,PF,30,55,1557,28.3090909091,232,466,.498,0,4,.000,149,217,.687,146,2.65454545455,346,6.29090909091,492,8.94545454545,70,1.27272727273,38,0.690909090909,30,0.545454545455,106,1.92727272727,203,613,11.1454545455,
Kenny Carr,POR,1986-1987, 6-7,PF,31,49,1443,29.4489795918,201,399,.504,0,2,.000,126,169,.746,131,2.67346938776,368,7.51020408163,499,10.1836734694,83,1.69387755102,29,0.591836734694,13,0.265306122449,103,2.10204081633,159,528,10.7755102041,
