Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Kenny Sailors,CLR,1946-1947, 5-10,,25,58,.000,0.0,229,741,.309,.000,.000,.000,119,200,.595,.000,0.0,.000,0.0,.000,0.0,134,2.31034482759,.000,0.0,.000,0.0,.000,0.0,177,577,9.94827586207,
Kenny Sailors,TOT,1947-1948, 5-10,,26,44,.000,0.0,207,689,.300,.000,.000,.000,110,159,.692,.000,0.0,.000,0.0,.000,0.0,59,1.34090909091,.000,0.0,.000,0.0,.000,0.0,162,524,11.9090909091,
Kenny Sailors,CHS,1947-1948, 5-10,,26,1,.000,0.0,0,3,.000,.000,.000,.000,0,0,.000,.000,0.0,.000,0.0,.000,0.0,0,0.0,.000,0.0,.000,0.0,.000,0.0,1,0,0.0,
Kenny Sailors,PHW,1947-1948, 5-10,,26,2,.000,0.0,2,3,.667,.000,.000,.000,0,0,.000,.000,0.0,.000,0.0,.000,0.0,0,0.0,.000,0.0,.000,0.0,.000,0.0,4,4,2.0,
Kenny Sailors,PRO,1947-1948, 5-10,,26,41,.000,0.0,205,683,.300,.000,.000,.000,110,159,.692,.000,0.0,.000,0.0,.000,0.0,59,1.43902439024,.000,0.0,.000,0.0,.000,0.0,157,520,12.6829268293,
Kenny Sailors,PRO,1948-1949, 5-10,,27,57,.000,0.0,309,906,.341,.000,.000,.000,281,367,.766,.000,0.0,.000,0.0,.000,0.0,209,3.66666666667,.000,0.0,.000,0.0,.000,0.0,239,899,15.7719298246,
Kenny Sailors,DNN,1949-1950, 5-10,,28,57,.000,0.0,329,944,.349,.000,.000,.000,329,456,.721,.000,0.0,.000,0.0,.000,0.0,229,4.01754385965,.000,0.0,.000,0.0,.000,0.0,242,987,17.3157894737,
Kenny Sailors,TOT,1950-1951, 5-10,,29,60,.000,0.0,181,533,.340,.000,.000,.000,131,180,.728,.000,0.0,.000,0.0,120,2.0,150,2.5,.000,0.0,.000,0.0,.000,0.0,196,493,8.21666666667,
Kenny Sailors,BOS,1950-1951, 5-10,,29,10,.000,0.0,4,25,.160,.000,.000,.000,10,16,.625,.000,0.0,.000,0.0,3,0.3,8,0.8,.000,0.0,.000,0.0,.000,0.0,14,18,1.8,
Kenny Sailors,BLB,1950-1951, 5-10,,29,50,.000,0.0,177,508,.348,.000,.000,.000,121,164,.738,.000,0.0,.000,0.0,117,2.34,142,2.84,.000,0.0,.000,0.0,.000,0.0,182,475,9.5,
