Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Kenny Sears,NYK,1955-1956, 6-9,PF,22,70,2069,29.5571428571,319,728,.438,.000,.000,.000,258,324,.796,.000,0.0,.000,0.0,616,8.8,114,1.62857142857,.000,0.0,.000,0.0,.000,0.0,201,896,12.8,
Kenny Sears,NYK,1956-1957, 6-9,SF,23,72,2516,34.9444444444,343,821,.418,.000,.000,.000,383,485,.790,.000,0.0,.000,0.0,614,8.52777777778,101,1.40277777778,.000,0.0,.000,0.0,.000,0.0,226,1069,14.8472222222,
Kenny Sears,NYK,1957-1958, 6-9,PF,24,72,2685,37.2916666667,445,1014,.439,.000,.000,.000,452,550,.822,.000,0.0,.000,0.0,785,10.9027777778,126,1.75,.000,0.0,.000,0.0,.000,0.0,251,1342,18.6388888889,
Kenny Sears,NYK,1958-1959, 6-9,PF,25,71,2498,35.1830985915,491,1002,.490,.000,.000,.000,506,588,.861,.000,0.0,.000,0.0,658,9.2676056338,136,1.91549295775,.000,0.0,.000,0.0,.000,0.0,237,1488,20.9577464789,
Kenny Sears,NYK,1959-1960, 6-9,PF,26,64,2099,32.796875,412,863,.477,.000,.000,.000,363,418,.868,.000,0.0,.000,0.0,876,13.6875,127,1.984375,.000,0.0,.000,0.0,.000,0.0,191,1187,18.546875,
Kenny Sears,NYK,1960-1961, 6-9,SF,27,52,1396,26.8461538462,241,568,.424,.000,.000,.000,268,325,.825,.000,0.0,.000,0.0,293,5.63461538462,102,1.96153846154,.000,0.0,.000,0.0,.000,0.0,165,750,14.4230769231,
Kenny Sears,TOT,1962-1963, 6-9,SF,29,77,1141,14.8181818182,161,304,.530,.000,.000,.000,131,168,.780,.000,0.0,.000,0.0,206,2.67532467532,95,1.23376623377,.000,0.0,.000,0.0,.000,0.0,128,453,5.88311688312,
Kenny Sears,NYK,1962-1963, 6-9,,29,23,359,15.6086956522,48,92,.522,.000,.000,.000,26,46,.565,.000,0.0,.000,0.0,67,2.91304347826,40,1.73913043478,.000,0.0,.000,0.0,.000,0.0,29,122,5.30434782609,
Kenny Sears,SFW,1962-1963, 6-9,SF,29,54,782,14.4814814815,113,212,.533,.000,.000,.000,105,122,.861,.000,0.0,.000,0.0,139,2.57407407407,55,1.01851851852,.000,0.0,.000,0.0,.000,0.0,99,331,6.12962962963,
Kenny Sears,SFW,1963-1964, 6-9,SF,30,51,519,10.1764705882,53,120,.442,.000,.000,.000,64,79,.810,.000,0.0,.000,0.0,94,1.8431372549,42,0.823529411765,.000,0.0,.000,0.0,.000,0.0,71,170,3.33333333333,
