Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Kenny Smith,SAC,1987-1988, 6-3,PG,22,61,2170,35.5737704918,331,694,.477,12,39,.308,167,204,.819,40,0.655737704918,98,1.60655737705,138,2.26229508197,434,7.11475409836,92,1.50819672131,8,0.131147540984,184,3.01639344262,140,841,13.7868852459,
Kenny Smith,SAC,1988-1989, 6-3,PG,23,81,3145,38.8271604938,547,1183,.462,46,128,.359,263,357,.737,49,0.604938271605,177,2.18518518519,226,2.79012345679,621,7.66666666667,102,1.25925925926,7,0.0864197530864,249,3.07407407407,173,1403,17.3209876543,
Kenny Smith,TOT,1989-1990, 6-3,PG,24,79,2421,30.6455696203,378,811,.466,26,83,.313,161,196,.821,18,0.227848101266,139,1.75949367089,157,1.98734177215,445,5.63291139241,79,1.0,8,0.101265822785,169,2.13924050633,143,943,11.9367088608,
Kenny Smith,SAC,1989-1990, 6-3,PG,24,46,1747,37.9782608696,280,607,.461,22,59,.373,106,131,.809,11,0.239130434783,109,2.36956521739,120,2.60869565217,303,6.58695652174,57,1.23913043478,7,0.152173913043,122,2.65217391304,98,688,14.9565217391,
Kenny Smith,ATL,1989-1990, 6-3,PG,24,33,674,20.4242424242,98,204,.480,4,24,.167,55,65,.846,7,0.212121212121,30,0.909090909091,37,1.12121212121,142,4.30303030303,22,0.666666666667,1,0.030303030303,47,1.42424242424,45,255,7.72727272727,
Kenny Smith,HOU,1990-1991, 6-3,PG,25,78,2699,34.6025641026,522,1003,.520,49,135,.363,287,340,.844,36,0.461538461538,127,1.62820512821,163,2.08974358974,554,7.10256410256,106,1.35897435897,11,0.141025641026,237,3.03846153846,131,1380,17.6923076923,
Kenny Smith,HOU,1991-1992, 6-3,PG,26,81,2735,33.7654320988,432,910,.475,54,137,.394,219,253,.866,34,0.41975308642,143,1.76543209877,177,2.18518518519,562,6.93827160494,104,1.28395061728,7,0.0864197530864,227,2.8024691358,112,1137,14.037037037,
Kenny Smith,HOU,1992-1993, 6-3,PG,27,82,2422,29.5365853659,387,744,.520,96,219,.438,195,222,.878,28,0.341463414634,132,1.60975609756,160,1.9512195122,446,5.43902439024,80,0.975609756098,7,0.0853658536585,163,1.98780487805,110,1065,12.987804878,
Kenny Smith,HOU,1993-1994, 6-3,PG,28,78,2209,28.3205128205,341,711,.480,89,220,.405,135,155,.871,24,0.307692307692,114,1.46153846154,138,1.76923076923,327,4.19230769231,59,0.75641025641,4,0.0512820512821,126,1.61538461538,121,906,11.6153846154,
Kenny Smith,HOU,1994-1995, 6-3,PG,29,81,2030,25.0617283951,287,593,.484,142,331,.429,126,148,.851,27,0.333333333333,128,1.58024691358,155,1.91358024691,323,3.98765432099,71,0.876543209877,10,0.123456790123,123,1.51851851852,109,842,10.3950617284,
Kenny Smith,HOU,1995-1996, 6-3,PG,30,68,1617,23.7794117647,201,464,.433,91,238,.382,87,106,.821,21,0.308823529412,75,1.10294117647,96,1.41176470588,245,3.60294117647,47,0.691176470588,3,0.0441176470588,100,1.47058823529,116,580,8.52941176471,
Kenny Smith,TOT,1996-1997, 6-3,PG,31,48,765,15.9375,101,239,.423,59,135,.437,39,45,.867,4,0.0833333333333,40,0.833333333333,44,0.916666666667,116,2.41666666667,19,0.395833333333,0,0.0,71,1.47916666667,30,300,6.25,
Kenny Smith,DET,1996-1997, 6-3,PG,31,9,64,7.11111111111,8,20,.400,5,10,.500,2,2,1.000,0,0.0,5,0.555555555556,5,0.555555555556,10,1.11111111111,1,0.111111111111,0,0.0,3,0.333333333333,2,23,2.55555555556,
Kenny Smith,ORL,1996-1997, 6-3,PG,31,6,47,7.83333333333,6,13,.462,3,5,.600,2,2,1.000,1,0.166666666667,1,0.166666666667,2,0.333333333333,4,0.666666666667,0,0.0,0,0.0,6,1.0,3,17,2.83333333333,
Kenny Smith,DEN,1996-1997, 6-3,PG,31,33,654,19.8181818182,87,206,.422,51,120,.425,35,41,.854,3,0.0909090909091,34,1.0303030303,37,1.12121212121,102,3.09090909091,18,0.545454545455,0,0.0,62,1.87878787879,25,260,7.87878787879,
