Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Kermit Washington,LAL,1973-1974, 6-8,PF,22,45,400,8.88888888889,73,151,.483,.000,.000,.000,26,49,.531,62,1.37777777778,85,1.88888888889,147,3.26666666667,19,0.422222222222,21,0.466666666667,18,0.4,.000,0.0,77,172,3.82222222222,
Kermit Washington,LAL,1974-1975, 6-8,PF,23,55,949,17.2545454545,87,207,.420,.000,.000,.000,72,122,.590,106,1.92727272727,244,4.43636363636,350,6.36363636364,66,1.2,25,0.454545454545,32,0.581818181818,.000,0.0,155,246,4.47272727273,
Kermit Washington,LAL,1975-1976, 6-8,PF,24,36,492,13.6666666667,39,90,.433,.000,.000,.000,45,66,.682,51,1.41666666667,114,3.16666666667,165,4.58333333333,20,0.555555555556,11,0.305555555556,26,0.722222222222,.000,0.0,76,123,3.41666666667,
Kermit Washington,LAL,1976-1977, 6-8,PF,25,53,1342,25.320754717,191,380,.503,.000,.000,.000,132,187,.706,182,3.43396226415,310,5.84905660377,492,9.28301886792,48,0.905660377358,43,0.811320754717,52,0.981132075472,.000,0.0,183,514,9.69811320755,
Kermit Washington,TOT,1977-1978, 6-8,PF,26,57,1617,28.3684210526,247,507,.487,.000,.000,.000,170,246,.691,215,3.77192982456,399,7.0,614,10.7719298246,72,1.26315789474,47,0.824561403509,64,1.12280701754,107,1.87719298246,188,664,11.649122807,
Kermit Washington,LAL,1977-1978, 6-8,PF,26,25,751,30.04,110,244,.451,.000,.000,.000,68,110,.618,110,4.4,169,6.76,279,11.16,30,1.2,19,0.76,24,0.96,53,2.12,74,288,11.52,
Kermit Washington,BOS,1977-1978, 6-8,PF,26,32,866,27.0625,137,263,.521,.000,.000,.000,102,136,.750,105,3.28125,230,7.1875,335,10.46875,42,1.3125,28,0.875,40,1.25,54,1.6875,114,376,11.75,
Kermit Washington,SDC,1978-1979, 6-8,PF,27,82,2764,33.7073170732,350,623,.562,.000,.000,.000,227,330,.688,296,3.60975609756,504,6.14634146341,800,9.75609756098,125,1.5243902439,85,1.03658536585,121,1.4756097561,185,2.25609756098,317,927,11.3048780488,
Kermit Washington,POR,1979-1980, 6-8,PF,28,80,2657,33.2125,421,761,.553,0,3,.000,231,360,.642,325,4.0625,517,6.4625,842,10.525,167,2.0875,73,0.9125,131,1.6375,170,2.125,307,1073,13.4125,
Kermit Washington,POR,1980-1981, 6-8,PF,29,73,2120,29.0410958904,325,571,.569,0,1,.000,181,288,.628,236,3.23287671233,450,6.16438356164,686,9.39726027397,149,2.04109589041,85,1.16438356164,86,1.17808219178,144,1.97260273973,258,831,11.3835616438,
Kermit Washington,POR,1981-1982, 6-8,PF,30,20,418,20.9,38,78,.487,0,0,.000,24,41,.585,40,2.0,77,3.85,117,5.85,29,1.45,9,0.45,16,0.8,19,0.95,56,100,5.0,
Kermit Washington,GSW,1987-1988, 6-8,PF,36,6,56,9.33333333333,7,14,.500,0,0,.000,2,2,1.000,9,1.5,10,1.66666666667,19,3.16666666667,0,0.0,4,0.666666666667,4,0.666666666667,4,0.666666666667,13,16,2.66666666667,
