Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Kevin Grevey,WSB,1975-1976, 6-5,SF,22,56,504,9.0,79,213,.371,.000,.000,.000,52,58,.897,24,0.428571428571,36,0.642857142857,60,1.07142857143,27,0.482142857143,13,0.232142857143,3,0.0535714285714,.000,0.0,65,210,3.75,
Kevin Grevey,WSB,1976-1977, 6-5,SF,23,76,1306,17.1842105263,224,530,.423,.000,.000,.000,79,119,.664,73,0.960526315789,105,1.38157894737,178,2.34210526316,68,0.894736842105,29,0.381578947368,9,0.118421052632,.000,0.0,148,527,6.93421052632,
Kevin Grevey,WSB,1977-1978, 6-5,SF,24,81,2121,26.1851851852,505,1128,.448,.000,.000,.000,243,308,.789,124,1.53086419753,166,2.04938271605,290,3.58024691358,155,1.91358024691,61,0.753086419753,17,0.20987654321,159,1.96296296296,203,1253,15.4691358025,
Kevin Grevey,WSB,1978-1979, 6-5,SF,25,65,1856,28.5538461538,418,922,.453,.000,.000,.000,173,224,.772,90,1.38461538462,142,2.18461538462,232,3.56923076923,153,2.35384615385,46,0.707692307692,14,0.215384615385,120,1.84615384615,159,1009,15.5230769231,
Kevin Grevey,WSB,1979-1980, 6-5,SF,26,65,1818,27.9692307692,331,804,.412,34,92,.370,216,249,.867,80,1.23076923077,107,1.64615384615,187,2.87692307692,177,2.72307692308,56,0.861538461538,16,0.246153846154,102,1.56923076923,158,912,14.0307692308,
Kevin Grevey,WSB,1980-1981, 6-5,SG,27,75,2616,34.88,500,1103,.453,45,136,.331,244,290,.841,67,0.893333333333,152,2.02666666667,219,2.92,300,4.0,68,0.906666666667,17,0.226666666667,144,1.92,161,1289,17.1866666667,
Kevin Grevey,WSB,1981-1982, 6-5,SG,28,71,2164,30.4788732394,376,857,.439,28,82,.341,165,193,.855,57,0.802816901408,138,1.94366197183,195,2.74647887324,149,2.0985915493,44,0.619718309859,23,0.323943661972,96,1.35211267606,151,945,13.3098591549,
Kevin Grevey,WSB,1982-1983, 6-5,SF,29,41,756,18.4390243902,114,294,.388,15,38,.395,54,69,.783,18,0.439024390244,31,0.756097560976,49,1.19512195122,49,1.19512195122,18,0.439024390244,7,0.170731707317,27,0.658536585366,61,297,7.24390243902,
Kevin Grevey,MIL,1983-1984, 6-5,SG,30,64,923,14.421875,178,395,.451,15,53,.283,75,84,.893,30,0.46875,51,0.796875,81,1.265625,75,1.171875,27,0.421875,4,0.0625,45,0.703125,95,446,6.96875,
Kevin Grevey,MIL,1984-1985, 6-5,SF,31,78,1182,15.1538461538,190,424,.448,8,33,.242,88,107,.822,27,0.346153846154,76,0.974358974359,103,1.32051282051,94,1.20512820513,30,0.384615384615,2,0.025641025641,55,0.705128205128,85,476,6.10256410256,
