Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Kevin Johnson,TOT,1987-1988, 6-1,PG,21,80,1917,23.9625,275,596,.461,5,24,.208,177,211,.839,36,0.45,155,1.9375,191,2.3875,437,5.4625,103,1.2875,24,0.3,146,1.825,155,732,9.15,
Kevin Johnson,CLE,1987-1988, 6-1,PG,21,52,1043,20.0576923077,143,311,.460,2,9,.222,92,112,.821,10,0.192307692308,62,1.19230769231,72,1.38461538462,193,3.71153846154,60,1.15384615385,17,0.326923076923,82,1.57692307692,96,380,7.30769230769,
Kevin Johnson,PHO,1987-1988, 6-1,PG,21,28,874,31.2142857143,132,285,.463,3,15,.200,85,99,.859,26,0.928571428571,93,3.32142857143,119,4.25,244,8.71428571429,43,1.53571428571,7,0.25,64,2.28571428571,59,352,12.5714285714,
Kevin Johnson,PHO,1988-1989, 6-1,PG,22,81,3179,39.2469135802,570,1128,.505,2,22,.091,508,576,.882,46,0.567901234568,294,3.62962962963,340,4.1975308642,991,12.2345679012,135,1.66666666667,24,0.296296296296,322,3.97530864198,226,1650,20.3703703704,
Kevin Johnson,PHO,1989-1990, 6-1,PG,23,74,2782,37.5945945946,578,1159,.499,8,41,.195,501,598,.838,42,0.567567567568,228,3.08108108108,270,3.64864864865,846,11.4324324324,95,1.28378378378,14,0.189189189189,263,3.55405405405,143,1665,22.5,
Kevin Johnson,PHO,1990-1991, 6-1,PG,24,77,2772,36.0,591,1145,.516,9,44,.205,519,616,.843,54,0.701298701299,217,2.81818181818,271,3.51948051948,781,10.1428571429,163,2.11688311688,11,0.142857142857,269,3.49350649351,174,1710,22.2077922078,
Kevin Johnson,PHO,1991-1992, 6-1,PG,25,78,2899,37.1666666667,539,1125,.479,10,46,.217,448,555,.807,61,0.782051282051,231,2.96153846154,292,3.74358974359,836,10.7179487179,116,1.48717948718,23,0.294871794872,272,3.48717948718,180,1536,19.6923076923,
Kevin Johnson,PHO,1992-1993, 6-1,PG,26,49,1643,33.5306122449,282,565,.499,1,8,.125,226,276,.819,30,0.612244897959,74,1.51020408163,104,2.12244897959,384,7.83673469388,85,1.73469387755,19,0.387755102041,151,3.08163265306,100,791,16.1428571429,
Kevin Johnson,PHO,1993-1994, 6-1,PG,27,67,2449,36.552238806,477,980,.487,6,27,.222,380,464,.819,55,0.820895522388,112,1.67164179104,167,2.49253731343,637,9.50746268657,125,1.86567164179,10,0.149253731343,235,3.50746268657,127,1340,20.0,
Kevin Johnson,PHO,1994-1995, 6-1,PG,28,47,1352,28.7659574468,246,523,.470,4,26,.154,234,289,.810,32,0.68085106383,83,1.76595744681,115,2.44680851064,360,7.65957446809,47,1.0,18,0.382978723404,105,2.23404255319,88,730,15.5319148936,
Kevin Johnson,PHO,1995-1996, 6-1,PG,29,56,2007,35.8392857143,342,674,.507,21,57,.368,342,398,.859,42,0.75,179,3.19642857143,221,3.94642857143,517,9.23214285714,82,1.46428571429,13,0.232142857143,170,3.03571428571,144,1047,18.6964285714,
Kevin Johnson,PHO,1996-1997, 6-1,PG,30,70,2658,37.9714285714,441,890,.496,89,202,.441,439,515,.852,54,0.771428571429,199,2.84285714286,253,3.61428571429,653,9.32857142857,102,1.45714285714,12,0.171428571429,217,3.1,141,1410,20.1428571429,
Kevin Johnson,PHO,1997-1998, 6-1,PG,31,50,1290,25.8,155,347,.447,4,26,.154,162,186,.871,35,0.7,129,2.58,164,3.28,245,4.9,27,0.54,8,0.16,101,2.02,57,476,9.52,
Kevin Johnson,PHO,1999-2000, 6-1,PG,33,6,113,18.8333333333,16,28,.571,1,1,1.000,7,7,1.000,0,0.0,16,2.66666666667,16,2.66666666667,24,4.0,2,0.333333333333,0,0.0,7,1.16666666667,6,40,6.66666666667,
