Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Kevin McHale,BOS,1980-1981, 6-10,PF,23,82,1645,20.0609756098,355,666,.533,0,2,.000,108,159,.679,155,1.89024390244,204,2.48780487805,359,4.37804878049,55,0.670731707317,27,0.329268292683,151,1.84146341463,110,1.34146341463,260,818,9.9756097561,
Kevin McHale,BOS,1981-1982, 6-10,PF,24,82,2332,28.4390243902,465,875,.531,0,0,.000,187,248,.754,191,2.32926829268,365,4.4512195122,556,6.78048780488,91,1.10975609756,30,0.365853658537,185,2.25609756098,137,1.67073170732,264,1117,13.6219512195,
Kevin McHale,BOS,1982-1983, 6-10,PF,25,82,2345,28.5975609756,483,893,.541,0,1,.000,193,269,.717,215,2.62195121951,338,4.12195121951,553,6.74390243902,104,1.26829268293,34,0.414634146341,192,2.34146341463,159,1.93902439024,241,1159,14.1341463415,
Kevin McHale,BOS,1983-1984, 6-10,PF,26,82,2577,31.4268292683,587,1055,.556,1,3,.333,336,439,.765,208,2.53658536585,402,4.90243902439,610,7.43902439024,104,1.26829268293,23,0.280487804878,126,1.53658536585,150,1.82926829268,243,1511,18.4268292683,
Kevin McHale,BOS,1984-1985, 6-10,PF,27,79,2653,33.582278481,605,1062,.570,0,6,.000,355,467,.760,229,2.89873417722,483,6.11392405063,712,9.01265822785,141,1.78481012658,28,0.354430379747,120,1.51898734177,157,1.98734177215,234,1565,19.8101265823,
Kevin McHale,BOS,1985-1986, 6-10,PF,28,68,2397,35.25,561,978,.574,0,0,.000,326,420,.776,171,2.51470588235,380,5.58823529412,551,8.10294117647,181,2.66176470588,29,0.426470588235,134,1.97058823529,149,2.19117647059,192,1448,21.2941176471,
Kevin McHale,BOS,1986-1987, 6-10,PF,29,77,3060,39.7402597403,790,1307,.604,0,4,.000,428,512,.836,247,3.20779220779,516,6.7012987013,763,9.90909090909,198,2.57142857143,38,0.493506493506,172,2.23376623377,197,2.55844155844,240,2008,26.0779220779,
Kevin McHale,BOS,1987-1988, 6-10,PF,30,64,2390,37.34375,550,911,.604,0,0,.000,346,434,.797,159,2.484375,377,5.890625,536,8.375,171,2.671875,27,0.421875,92,1.4375,141,2.203125,179,1446,22.59375,
Kevin McHale,BOS,1988-1989, 6-10,PF,31,78,2876,36.8717948718,661,1211,.546,0,4,.000,436,533,.818,223,2.85897435897,414,5.30769230769,637,8.16666666667,172,2.20512820513,26,0.333333333333,97,1.24358974359,196,2.51282051282,223,1758,22.5384615385,
Kevin McHale,BOS,1989-1990, 6-10,PF,32,82,2722,33.1951219512,648,1181,.549,23,69,.333,393,440,.893,201,2.4512195122,476,5.80487804878,677,8.25609756098,172,2.09756097561,30,0.365853658537,157,1.91463414634,183,2.23170731707,250,1712,20.8780487805,
Kevin McHale,BOS,1990-1991, 6-10,PF,33,68,2067,30.3970588235,504,912,.553,15,37,.405,228,275,.829,145,2.13235294118,335,4.92647058824,480,7.05882352941,126,1.85294117647,25,0.367647058824,146,2.14705882353,140,2.05882352941,194,1251,18.3970588235,
Kevin McHale,BOS,1991-1992, 6-10,PF,34,56,1398,24.9642857143,323,634,.509,0,13,.000,134,163,.822,119,2.125,211,3.76785714286,330,5.89285714286,82,1.46428571429,11,0.196428571429,59,1.05357142857,82,1.46428571429,112,780,13.9285714286,
Kevin McHale,BOS,1992-1993, 6-10,PF,35,71,1656,23.323943662,298,649,.459,2,18,.111,164,195,.841,95,1.33802816901,263,3.70422535211,358,5.04225352113,73,1.02816901408,16,0.225352112676,59,0.830985915493,92,1.29577464789,126,762,10.7323943662,
