Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Kevin Restani,MIL,1974-1975, 6-9,PF,23,76,1755,23.0921052632,188,427,.440,.000,.000,.000,35,49,.714,131,1.72368421053,272,3.57894736842,403,5.30263157895,119,1.56578947368,36,0.473684210526,19,0.25,.000,0.0,172,411,5.40789473684,
Kevin Restani,MIL,1975-1976, 6-9,PF,24,82,1650,20.1219512195,234,493,.475,.000,.000,.000,24,42,.571,115,1.40243902439,261,3.18292682927,376,4.58536585366,96,1.17073170732,36,0.439024390244,12,0.146341463415,.000,0.0,151,492,6.0,
Kevin Restani,MIL,1976-1977, 6-9,PF,25,64,1116,17.4375,173,334,.518,.000,.000,.000,12,24,.500,81,1.265625,181,2.828125,262,4.09375,88,1.375,33,0.515625,11,0.171875,.000,0.0,102,358,5.59375,
Kevin Restani,TOT,1977-1978, 6-9,PF,26,54,547,10.1296296296,72,167,.431,.000,.000,.000,9,13,.692,36,0.666666666667,72,1.33333333333,108,2.0,30,0.555555555556,5,0.0925925925926,5,0.0925925925926,17,0.314814814815,41,153,2.83333333333,
Kevin Restani,MIL,1977-1978, 6-9,PF,26,8,84,10.5,13,28,.464,.000,.000,.000,0,2,.000,4,0.5,10,1.25,14,1.75,9,1.125,0,0.0,1,0.125,2,0.25,4,26,3.25,
Kevin Restani,KCK,1977-1978, 6-9,PF,26,46,463,10.0652173913,59,139,.424,.000,.000,.000,9,11,.818,32,0.695652173913,62,1.34782608696,94,2.04347826087,21,0.45652173913,5,0.108695652174,4,0.0869565217391,15,0.326086956522,37,127,2.76086956522,
Kevin Restani,MIL,1978-1979, 6-9,PF,27,81,1598,19.7283950617,262,529,.495,.000,.000,.000,51,73,.699,141,1.74074074074,244,3.01234567901,385,4.75308641975,122,1.50617283951,30,0.37037037037,27,0.333333333333,96,1.18518518519,155,575,7.0987654321,
Kevin Restani,SAS,1979-1980, 6-9,SF,28,82,1966,23.9756097561,369,727,.508,5,29,.172,131,161,.814,142,1.73170731707,244,2.9756097561,386,4.70731707317,189,2.30487804878,54,0.658536585366,12,0.146341463415,129,1.57317073171,186,874,10.6585365854,
Kevin Restani,SAS,1980-1981, 6-9,SF,29,64,999,15.609375,192,369,.520,3,8,.375,62,88,.705,71,1.109375,103,1.609375,174,2.71875,81,1.265625,16,0.25,14,0.21875,68,1.0625,103,449,7.015625,
Kevin Restani,TOT,1981-1982, 6-9,PF,30,47,483,10.2765957447,32,88,.364,0,2,.000,10,16,.625,39,0.829787234043,73,1.55319148936,112,2.3829787234,22,0.468085106383,11,0.234042553191,11,0.234042553191,20,0.425531914894,56,74,1.57446808511,
Kevin Restani,SAS,1981-1982, 6-9,PF,30,13,145,11.1538461538,9,28,.321,0,1,.000,3,4,.750,8,0.615384615385,27,2.07692307692,35,2.69230769231,7,0.538461538462,1,0.0769230769231,4,0.307692307692,6,0.461538461538,16,21,1.61538461538,
Kevin Restani,CLE,1981-1982, 6-9,PF,30,34,338,9.94117647059,23,60,.383,0,1,.000,7,12,.583,31,0.911764705882,46,1.35294117647,77,2.26470588235,15,0.441176470588,10,0.294117647059,7,0.205882352941,14,0.411764705882,40,53,1.55882352941,
