Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Keyon Dooling,LAC,2000-2001, 6-3,PG,20,76,1237,16.2763157895,148,362,.409,28,80,.350,125,179,.698,8,0.105263157895,81,1.06578947368,89,1.17105263158,177,2.32894736842,41,0.539473684211,11,0.144736842105,94,1.23684210526,107,449,5.90789473684,
Keyon Dooling,LAC,2001-2002, 6-3,PG,21,14,155,11.0714285714,22,57,.386,4,14,.286,10,12,.833,0,0.0,3,0.214285714286,3,0.214285714286,12,0.857142857143,4,0.285714285714,3,0.214285714286,10,0.714285714286,20,58,4.14285714286,
Keyon Dooling,LAC,2002-2003, 6-3,SG,22,55,969,17.6181818182,128,329,.389,50,139,.360,44,57,.772,9,0.163636363636,63,1.14545454545,72,1.30909090909,89,1.61818181818,24,0.436363636364,6,0.109090909091,60,1.09090909091,93,350,6.36363636364,
Keyon Dooling,LAC,2003-2004, 6-3,PG,23,58,1137,19.6034482759,137,352,.389,8,46,.174,78,94,.830,17,0.293103448276,62,1.06896551724,79,1.36206896552,130,2.24137931034,45,0.775862068966,6,0.103448275862,65,1.12068965517,108,360,6.20689655172,
Keyon Dooling,MIA,2004-2005, 6-3,PG,24,74,1184,16.0,139,345,.403,19,75,.253,85,109,.780,11,0.148648648649,79,1.06756756757,90,1.21621621622,132,1.78378378378,39,0.527027027027,11,0.148648648649,65,0.878378378378,120,382,5.16216216216,
Keyon Dooling,ORL,2005-2006, 6-3,PG,25,50,1137,22.74,178,405,.440,13,43,.302,101,121,.835,11,0.22,67,1.34,78,1.56,109,2.18,49,0.98,4,0.08,82,1.64,116,470,9.4,
Keyon Dooling,ORL,2006-2007, 6-3,SG,26,66,1435,21.7424242424,188,458,.410,31,96,.323,114,141,.809,22,0.333333333333,64,0.969696969697,86,1.30303030303,112,1.69696969697,52,0.787878787879,15,0.227272727273,72,1.09090909091,125,521,7.89393939394,
Keyon Dooling,ORL,2007-2008, 6-3,PG,27,72,1334,18.5277777778,198,423,.468,22,65,.338,163,193,.845,7,0.0972222222222,94,1.30555555556,101,1.40277777778,133,1.84722222222,36,0.5,5,0.0694444444444,61,0.847222222222,131,581,8.06944444444,
Keyon Dooling,NJN,2008-2009, 6-3,PG,28,77,2074,26.9350649351,261,598,.436,99,235,.421,127,154,.825,24,0.311688311688,131,1.7012987013,155,2.01298701299,270,3.50649350649,71,0.922077922078,8,0.103896103896,105,1.36363636364,135,748,9.71428571429,
Keyon Dooling,NJN,2009-2010, 6-3,PG,29,53,971,18.320754717,129,324,.398,59,157,.376,47,61,.770,8,0.150943396226,46,0.867924528302,54,1.01886792453,135,2.54716981132,34,0.641509433962,0,0.0,59,1.11320754717,82,364,6.8679245283,
Keyon Dooling,MIL,2010-2011, 6-3,PG,30,80,1757,21.9625,206,519,.397,81,234,.346,78,94,.830,12,0.15,105,1.3125,117,1.4625,243,3.0375,54,0.675,4,0.05,91,1.1375,119,571,7.1375,
Keyon Dooling,BOS,2011-2012, 6-3,SG,31,46,662,14.3913043478,66,163,.405,27,81,.333,23,31,.742,3,0.0652173913043,36,0.782608695652,39,0.847826086957,51,1.10869565217,13,0.282608695652,2,0.0434782608696,34,0.739130434783,57,182,3.95652173913,
