Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Khalid Reeves,MIA,1994-1995, 6-3,PG,22,67,1462,21.8208955224,206,465,.443,67,171,.392,140,196,.714,52,0.776119402985,134,2.0,186,2.77611940299,288,4.29850746269,77,1.14925373134,10,0.149253731343,132,1.97014925373,139,619,9.23880597015,
Khalid Reeves,TOT,1995-1996, 6-3,PG,23,51,833,16.3333333333,95,227,.419,28,91,.308,61,82,.744,18,0.352941176471,61,1.19607843137,79,1.54901960784,118,2.3137254902,37,0.725490196078,3,0.0588235294118,63,1.23529411765,115,279,5.47058823529,
Khalid Reeves,CHH,1995-1996, 6-3,PG,23,20,418,20.9,54,118,.458,11,36,.306,43,51,.843,11,0.55,29,1.45,40,2.0,72,3.6,16,0.8,1,0.05,30,1.5,46,162,8.1,
Khalid Reeves,NJN,1995-1996, 6-3,PG,23,31,415,13.3870967742,41,109,.376,17,55,.309,18,31,.581,7,0.225806451613,32,1.03225806452,39,1.25806451613,46,1.48387096774,21,0.677419354839,2,0.0645161290323,33,1.06451612903,69,117,3.77419354839,
Khalid Reeves,TOT,1996-1997, 6-3,PG,24,63,1432,22.7301587302,184,470,.391,83,227,.366,65,87,.747,34,0.539682539683,85,1.34920634921,119,1.88888888889,226,3.5873015873,34,0.539682539683,9,0.142857142857,108,1.71428571429,159,516,8.19047619048,
Khalid Reeves,NJN,1996-1997, 6-3,PG,24,50,1048,20.96,141,359,.393,76,192,.396,56,75,.747,22,0.44,66,1.32,88,1.76,170,3.4,23,0.46,7,0.14,82,1.64,119,414,8.28,
Khalid Reeves,DAL,1996-1997, 6-3,PG,24,13,384,29.5384615385,43,111,.387,7,35,.200,9,12,.750,12,0.923076923077,19,1.46153846154,31,2.38461538462,56,4.30769230769,11,0.846153846154,2,0.153846153846,26,2.0,40,102,7.84615384615,
Khalid Reeves,DAL,1997-1998, 6-3,PG,25,82,1950,23.7804878049,248,593,.418,56,152,.368,165,213,.775,54,0.658536585366,131,1.59756097561,185,2.25609756098,230,2.80487804878,80,0.975609756098,10,0.121951219512,130,1.58536585366,195,717,8.74390243902,
Khalid Reeves,DET,1998-1999, 6-3,PG,26,11,112,10.1818181818,8,21,.381,1,3,.333,8,14,.571,3,0.272727272727,4,0.363636363636,7,0.636363636364,11,1.0,4,0.363636363636,0,0.0,7,0.636363636364,13,25,2.27272727273,
Khalid Reeves,CHI,1999-2000, 6-3,PG,27,3,48,16.0,3,12,.250,0,3,.000,5,5,1.000,2,0.666666666667,2,0.666666666667,4,1.33333333333,13,4.33333333333,2,0.666666666667,0,0.0,6,2.0,8,11,3.66666666667,
