Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Kirk Hinrich,CHI,2003-2004, 6-3,PG,23,76,2706,35.6052631579,318,823,.386,144,369,.390,135,168,.804,42,0.552631578947,217,2.85526315789,259,3.40789473684,517,6.80263157895,101,1.32894736842,21,0.276315789474,204,2.68421052632,276,915,12.0394736842,
Kirk Hinrich,CHI,2004-2005, 6-3,PG,24,77,2800,36.3636363636,445,1122,.397,145,408,.355,171,216,.792,32,0.415584415584,272,3.53246753247,304,3.94805194805,494,6.41558441558,122,1.58441558442,21,0.272727272727,176,2.28571428571,244,1206,15.6623376623,
Kirk Hinrich,CHI,2005-2006, 6-3,PG,25,81,2955,36.4814814815,451,1078,.418,126,341,.370,256,314,.815,29,0.358024691358,259,3.1975308642,288,3.55555555556,514,6.34567901235,94,1.16049382716,21,0.259259259259,188,2.32098765432,251,1284,15.8518518519,
Kirk Hinrich,CHI,2006-2007, 6-3,PG,26,80,2839,35.4875,475,1061,.448,140,337,.415,237,284,.835,32,0.4,242,3.025,274,3.425,500,6.25,100,1.25,23,0.2875,191,2.3875,274,1327,16.5875,
Kirk Hinrich,CHI,2007-2008, 6-3,PG,27,75,2380,31.7333333333,330,797,.414,84,240,.350,118,142,.831,28,0.373333333333,216,2.88,244,3.25333333333,452,6.02666666667,87,1.16,19,0.253333333333,157,2.09333333333,224,862,11.4933333333,
Kirk Hinrich,CHI,2008-2009, 6-3,SG,28,51,1339,26.2549019608,183,419,.437,69,169,.408,68,86,.791,16,0.313725490196,107,2.09803921569,123,2.41176470588,197,3.86274509804,66,1.29411764706,19,0.372549019608,87,1.70588235294,126,503,9.86274509804,
Kirk Hinrich,CHI,2009-2010, 6-3,SG,29,74,2481,33.527027027,308,753,.409,104,280,.371,85,113,.752,24,0.324324324324,236,3.18918918919,260,3.51351351351,330,4.45945945946,85,1.14864864865,24,0.324324324324,113,1.52702702703,204,805,10.8783783784,
Kirk Hinrich,TOT,2010-2011, 6-3,SG,30,72,2157,29.9583333333,278,623,.446,75,188,.399,106,126,.841,21,0.291666666667,161,2.23611111111,182,2.52777777778,288,4.0,75,1.04166666667,17,0.236111111111,121,1.68055555556,185,737,10.2361111111,
Kirk Hinrich,WAS,2010-2011, 6-3,SG,30,48,1471,30.6458333333,198,438,.452,43,112,.384,92,105,.876,14,0.291666666667,115,2.39583333333,129,2.6875,210,4.375,56,1.16666666667,10,0.208333333333,84,1.75,119,531,11.0625,
Kirk Hinrich,ATL,2010-2011, 6-3,PG,30,24,686,28.5833333333,80,185,.432,32,76,.421,14,21,.667,7,0.291666666667,46,1.91666666667,53,2.20833333333,78,3.25,19,0.791666666667,7,0.291666666667,37,1.54166666667,66,206,8.58333333333,
Kirk Hinrich,ATL,2011-2012, 6-3,SG,31,48,1237,25.7708333333,122,295,.414,47,136,.346,25,32,.781,11,0.229166666667,90,1.875,101,2.10416666667,132,2.75,38,0.791666666667,11,0.229166666667,58,1.20833333333,100,316,6.58333333333,
Kirk Hinrich,CHI,2012-2013, 6-3,PG,32,44,1275,28.9772727273,112,291,.385,49,123,.398,51,73,.699,11,0.25,106,2.40909090909,117,2.65909090909,238,5.40909090909,41,0.931818181818,22,0.5,72,1.63636363636,150,324,7.36363636364,
