Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Kwame Brown,WAS,2001-2002, 6-11,PF,19,57,817,14.3333333333,94,243,.387,0,1,.000,70,99,.707,63,1.10526315789,135,2.36842105263,198,3.47368421053,43,0.754385964912,16,0.280701754386,26,0.456140350877,43,0.754385964912,105,258,4.52631578947,
Kwame Brown,WAS,2002-2003, 6-11,C,20,80,1773,22.1625,224,502,.446,0,3,.000,145,217,.668,128,1.6,298,3.725,426,5.325,58,0.725,50,0.625,80,1.0,110,1.375,159,593,7.4125,
Kwame Brown,WAS,2003-2004, 6-11,PF,21,74,2239,30.2567567568,288,589,.489,1,2,.500,228,334,.683,178,2.40540540541,372,5.02702702703,550,7.43243243243,112,1.51351351351,66,0.891891891892,52,0.702702702703,140,1.89189189189,144,805,10.8783783784,
Kwame Brown,WAS,2004-2005, 6-11,PF,22,42,908,21.619047619,109,237,.460,0,0,.000,74,129,.574,72,1.71428571429,134,3.19047619048,206,4.90476190476,39,0.928571428571,25,0.595238095238,15,0.357142857143,67,1.59523809524,112,292,6.95238095238,
Kwame Brown,LAL,2005-2006, 6-11,C,23,72,1978,27.4722222222,204,388,.526,0,1,.000,128,235,.545,182,2.52777777778,291,4.04166666667,473,6.56944444444,72,1.0,27,0.375,46,0.638888888889,100,1.38888888889,196,536,7.44444444444,
Kwame Brown,LAL,2006-2007, 6-11,C,24,41,1132,27.6097560976,143,242,.591,0,1,.000,59,134,.440,81,1.9756097561,163,3.9756097561,244,5.9512195122,75,1.82926829268,39,0.951219512195,49,1.19512195122,76,1.85365853659,124,345,8.41463414634,
Kwame Brown,TOT,2007-2008, 6-11,C,25,38,713,18.7631578947,72,142,.507,0,0,.000,40,98,.408,51,1.34210526316,137,3.60526315789,188,4.94736842105,45,1.18421052632,22,0.578947368421,23,0.605263157895,51,1.34210526316,82,184,4.84210526316,
Kwame Brown,LAL,2007-2008, 6-11,C,25,23,509,22.1304347826,53,103,.515,0,0,.000,26,64,.406,31,1.34782608696,100,4.34782608696,131,5.69565217391,28,1.21739130435,16,0.695652173913,19,0.826086956522,37,1.60869565217,58,132,5.73913043478,
Kwame Brown,MEM,2007-2008, 6-11,C,25,15,204,13.6,19,39,.487,0,0,.000,14,34,.412,20,1.33333333333,37,2.46666666667,57,3.8,17,1.13333333333,6,0.4,4,0.266666666667,14,0.933333333333,24,52,3.46666666667,
Kwame Brown,DET,2008-2009, 6-11,C,26,58,999,17.224137931,90,169,.533,0,0,.000,63,122,.516,91,1.56896551724,199,3.43103448276,290,5.0,32,0.551724137931,24,0.413793103448,24,0.413793103448,50,0.862068965517,138,243,4.18965517241,
Kwame Brown,DET,2009-2010, 6-11,C,27,48,660,13.75,62,124,.500,0,1,.000,33,98,.337,53,1.10416666667,124,2.58333333333,177,3.6875,22,0.458333333333,15,0.3125,12,0.25,43,0.895833333333,93,157,3.27083333333,
Kwame Brown,CHA,2010-2011, 6-11,C,28,66,1714,25.9696969697,194,375,.517,0,0,.000,136,231,.589,147,2.22727272727,303,4.59090909091,450,6.81818181818,43,0.651515151515,26,0.393939393939,39,0.590909090909,69,1.04545454545,174,524,7.93939393939,
Kwame Brown,GSW,2011-2012, 6-11,C,29,9,187,20.7777777778,21,40,.525,0,0,.000,15,34,.441,16,1.77777777778,41,4.55555555556,57,6.33333333333,4,0.444444444444,8,0.888888888889,0,0.0,14,1.55555555556,21,57,6.33333333333,
Kwame Brown,PHI,2012-2013, 6-11,C,30,22,269,12.2272727273,17,37,.459,0,0,.000,7,19,.368,23,1.04545454545,51,2.31818181818,74,3.36363636364,9,0.409090909091,6,0.272727272727,10,0.454545454545,8,0.363636363636,37,41,1.86363636364,
