Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Lamond Murray,LAC,1994-1995, 6-7,SF,21,81,2556,31.5555555556,439,1093,.402,65,218,.298,199,264,.754,132,1.62962962963,222,2.74074074074,354,4.37037037037,133,1.64197530864,72,0.888888888889,55,0.679012345679,163,2.01234567901,180,1142,14.0987654321,
Lamond Murray,LAC,1995-1996, 6-7,SF,22,77,1816,23.5844155844,257,575,.447,37,116,.319,99,132,.750,89,1.15584415584,157,2.03896103896,246,3.19480519481,84,1.09090909091,61,0.792207792208,25,0.324675324675,108,1.4025974026,151,650,8.44155844156,
Lamond Murray,LAC,1996-1997, 6-7,SF,23,74,1295,17.5,181,435,.416,31,91,.341,156,211,.739,85,1.14864864865,148,2.0,233,3.14864864865,57,0.77027027027,53,0.716216216216,29,0.391891891892,86,1.16216216216,113,549,7.41891891892,
Lamond Murray,LAC,1997-1998, 6-7,SF,24,79,2579,32.6455696203,473,984,.481,54,153,.353,220,294,.748,172,2.17721518987,312,3.94936708861,484,6.12658227848,142,1.79746835443,118,1.49367088608,54,0.683544303797,171,2.16455696203,193,1220,15.4430379747,
Lamond Murray,LAC,1998-1999, 6-7,SF,25,50,1317,26.34,226,578,.391,34,103,.330,126,157,.803,59,1.18,136,2.72,195,3.9,61,1.22,58,1.16,20,0.4,99,1.98,107,612,12.24,
Lamond Murray,CLE,1999-2000, 6-7,SF,26,74,2365,31.9594594595,460,1019,.451,51,139,.367,204,268,.761,127,1.71621621622,296,4.0,423,5.71621621622,132,1.78378378378,105,1.41891891892,36,0.486486486486,184,2.48648648649,208,1175,15.8783783784,
Lamond Murray,CLE,2000-2001, 6-7,SF,27,78,2225,28.5256410256,391,925,.423,61,165,.370,155,211,.735,104,1.33333333333,236,3.02564102564,340,4.35897435897,124,1.58974358974,83,1.0641025641,27,0.346153846154,141,1.80769230769,173,998,12.7948717949,
Lamond Murray,CLE,2001-2002, 6-7,SF,28,71,2312,32.5633802817,430,986,.436,101,238,.424,215,263,.817,81,1.14084507042,291,4.0985915493,372,5.23943661972,157,2.21126760563,70,0.985915492958,43,0.605633802817,141,1.98591549296,148,1176,16.5633802817,
Lamond Murray,TOR,2003-2004, 6-7,SF,30,33,518,15.696969697,76,215,.353,21,60,.350,24,35,.686,14,0.424242424242,76,2.30303030303,90,2.72727272727,28,0.848484848485,15,0.454545454545,7,0.212121212121,38,1.15151515152,47,197,5.9696969697,
Lamond Murray,TOR,2004-2005, 6-7,SF,31,62,918,14.8064516129,132,310,.426,46,105,.438,61,80,.763,44,0.709677419355,120,1.93548387097,164,2.64516129032,47,0.758064516129,32,0.516129032258,16,0.258064516129,54,0.870967741935,85,371,5.98387096774,
Lamond Murray,NJN,2005-2006, 6-7,SF,32,57,576,10.1052631579,72,181,.398,27,78,.346,25,40,.625,29,0.508771929825,103,1.80701754386,132,2.31578947368,13,0.228070175439,17,0.298245614035,7,0.122807017544,22,0.385964912281,66,196,3.43859649123,
