Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Larry Bird,BOS,1979-1980, 6-9,PF,23,82,2955,36.0365853659,693,1463,.474,58,143,.406,301,360,.836,216,2.63414634146,636,7.75609756098,852,10.3902439024,370,4.51219512195,143,1.74390243902,53,0.646341463415,263,3.20731707317,279,1745,21.2804878049,
Larry Bird,BOS,1980-1981, 6-9,PF,24,82,3239,39.5,719,1503,.478,20,74,.270,283,328,.863,191,2.32926829268,704,8.58536585366,895,10.9146341463,451,5.5,161,1.96341463415,63,0.768292682927,289,3.5243902439,239,1741,21.2317073171,
Larry Bird,BOS,1981-1982, 6-9,PF,25,77,2923,37.961038961,711,1414,.503,11,52,.212,328,380,.863,200,2.5974025974,637,8.27272727273,837,10.8701298701,447,5.80519480519,143,1.85714285714,66,0.857142857143,254,3.2987012987,244,1761,22.8701298701,
Larry Bird,BOS,1982-1983, 6-9,PF,26,79,2982,37.746835443,747,1481,.504,22,77,.286,351,418,.840,193,2.44303797468,677,8.56962025316,870,11.0126582278,458,5.79746835443,148,1.87341772152,71,0.898734177215,240,3.03797468354,197,1867,23.6329113924,
Larry Bird,BOS,1983-1984, 6-9,PF,27,79,3028,38.3291139241,758,1542,.492,18,73,.247,374,421,.888,181,2.29113924051,615,7.78481012658,796,10.0759493671,520,6.58227848101,144,1.82278481013,69,0.873417721519,237,3.0,197,1908,24.1518987342,
Larry Bird,BOS,1984-1985, 6-9,SF,28,80,3161,39.5125,918,1760,.522,56,131,.427,403,457,.882,164,2.05,678,8.475,842,10.525,531,6.6375,129,1.6125,98,1.225,248,3.1,208,2295,28.6875,
Larry Bird,BOS,1985-1986, 6-9,SF,29,82,3113,37.9634146341,796,1606,.496,82,194,.423,441,492,.896,190,2.31707317073,615,7.5,805,9.81707317073,557,6.79268292683,166,2.0243902439,51,0.621951219512,266,3.24390243902,182,2115,25.7926829268,
Larry Bird,BOS,1986-1987, 6-9,SF,30,74,3005,40.6081081081,786,1497,.525,90,225,.400,414,455,.910,124,1.67567567568,558,7.54054054054,682,9.21621621622,566,7.64864864865,135,1.82432432432,70,0.945945945946,240,3.24324324324,185,2076,28.0540540541,
Larry Bird,BOS,1987-1988, 6-9,SF,31,76,2965,39.0131578947,881,1672,.527,98,237,.414,415,453,.916,108,1.42105263158,595,7.82894736842,703,9.25,467,6.14473684211,125,1.64473684211,57,0.75,213,2.80263157895,157,2275,29.9342105263,
Larry Bird,BOS,1988-1989, 6-9,SF,32,6,189,31.5,49,104,.471,0,0,.000,18,19,.947,1,0.166666666667,36,6.0,37,6.16666666667,29,4.83333333333,6,1.0,5,0.833333333333,11,1.83333333333,18,116,19.3333333333,
Larry Bird,BOS,1989-1990, 6-9,SF,33,75,2944,39.2533333333,718,1517,.473,65,195,.333,319,343,.930,90,1.2,622,8.29333333333,712,9.49333333333,562,7.49333333333,106,1.41333333333,61,0.813333333333,243,3.24,173,1820,24.2666666667,
Larry Bird,BOS,1990-1991, 6-9,SF,34,60,2277,37.95,462,1017,.454,77,198,.389,163,183,.891,53,0.883333333333,456,7.6,509,8.48333333333,431,7.18333333333,108,1.8,58,0.966666666667,187,3.11666666667,118,1164,19.4,
Larry Bird,BOS,1991-1992, 6-9,SF,35,45,1662,36.9333333333,353,758,.466,52,128,.406,150,162,.926,46,1.02222222222,388,8.62222222222,434,9.64444444444,306,6.8,42,0.933333333333,33,0.733333333333,125,2.77777777778,82,908,20.1777777778,
