Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Larry Jones,PHI,1964-1965, 6-2,SG,22,23,359,15.6086956522,47,153,.307,.000,.000,.000,37,52,.712,.000,0.0,.000,0.0,57,2.47826086957,40,1.73913043478,.000,0.0,.000,0.0,.000,0.0,46,131,5.69565217391,
Larry Jones,DNR,1967-1968, 6-2,PG,25,76,3085,40.5921052632,602,1409,.427,8,42,.190,530,683,.776,.000,0.0,.000,0.0,599,7.88157894737,270,3.55263157895,.000,0.0,.000,0.0,232,3.05263157895,268,1742,22.9210526316,
Larry Jones,DNR,1968-1969, 6-2,PG,26,75,3042,40.56,759,1631,.465,24,100,.240,591,760,.778,165,2.2,328,4.37333333333,493,6.57333333333,258,3.44,.000,0.0,.000,0.0,218,2.90666666667,273,2133,28.44,
Larry Jones,DNR,1969-1970, 6-2,SG,27,75,3027,40.36,625,1441,.434,41,165,.248,579,732,.791,143,1.90666666667,248,3.30666666667,391,5.21333333333,426,5.68,.000,0.0,.000,0.0,237,3.16,228,1870,24.9333333333,
Larry Jones,FLO,1970-1971, 6-2,SG,28,84,3611,42.9880952381,764,1636,.467,45,124,.363,471,587,.802,177,2.10714285714,276,3.28571428571,453,5.39285714286,390,4.64285714286,.000,0.0,.000,0.0,247,2.94047619048,269,2044,24.3333333333,
Larry Jones,FLO,1971-1972, 6-2,SG,29,66,2255,34.1666666667,423,797,.531,18,60,.300,300,373,.804,133,2.01515151515,176,2.66666666667,309,4.68181818182,210,3.18181818182,.000,0.0,.000,0.0,135,2.04545454545,203,1164,17.6363636364,
Larry Jones,TOT,1972-1973, 6-2,PG,30,80,1701,21.2625,240,521,.461,16,57,.281,202,244,.828,88,1.1,151,1.8875,239,2.9875,206,2.575,.000,0.0,.000,0.0,104,1.3,184,698,8.725,
Larry Jones,UTS,1972-1973, 6-2,PG,30,27,447,16.5555555556,53,121,.438,4,11,.364,58,71,.817,25,0.925925925926,36,1.33333333333,61,2.25925925926,43,1.59259259259,.000,0.0,.000,0.0,21,0.777777777778,43,168,6.22222222222,
Larry Jones,DLC,1972-1973, 6-2,PG,30,53,1254,23.6603773585,187,400,.468,12,46,.261,144,173,.832,63,1.18867924528,115,2.16981132075,178,3.35849056604,163,3.07547169811,.000,0.0,.000,0.0,83,1.56603773585,141,530,10.0,
Larry Jones,PHI,1973-1974, 6-2,PG,31,72,1876,26.0555555556,263,622,.423,.000,.000,.000,197,235,.838,71,0.986111111111,113,1.56944444444,184,2.55555555556,230,3.19444444444,85,1.18055555556,18,0.25,.000,0.0,116,723,10.0416666667,
