Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Larry Robinson,TOT,1990-1991, 6-3,SG,23,36,425,11.8055555556,62,150,.413,0,1,.000,15,27,.556,29,0.805555555556,22,0.611111111111,51,1.41666666667,35,0.972222222222,16,0.444444444444,1,0.0277777777778,27,0.75,49,139,3.86111111111,
Larry Robinson,GSW,1990-1991, 6-3,SG,23,24,170,7.08333333333,24,59,.407,0,0,.000,8,15,.533,15,0.625,8,0.333333333333,23,0.958333333333,11,0.458333333333,9,0.375,1,0.0416666666667,16,0.666666666667,23,56,2.33333333333,
Larry Robinson,WSB,1990-1991, 6-3,SG,23,12,255,21.25,38,91,.418,0,1,.000,7,12,.583,14,1.16666666667,14,1.16666666667,28,2.33333333333,24,2.0,7,0.583333333333,0,0.0,11,0.916666666667,26,83,6.91666666667,
Larry Robinson,BOS,1991-1992, 6-3,SG,24,1,6,6.0,1,5,.200,0,0,.000,0,0,.000,2,2.0,0,0.0,2,2.0,1,1.0,0,0.0,0,0.0,1,1.0,3,2,2.0,
Larry Robinson,WSB,1992-1993, 6-3,SG,25,4,33,8.25,6,16,.375,0,1,.000,3,5,.600,1,0.25,2,0.5,3,0.75,3,0.75,1,0.25,1,0.25,1,0.25,0,15,3.75,
Larry Robinson,HOU,1993-1994, 6-3,SG,26,6,55,9.16666666667,10,20,.500,2,8,.250,3,8,.375,4,0.666666666667,6,1.0,10,1.66666666667,6,1.0,7,1.16666666667,0,0.0,10,1.66666666667,8,25,4.16666666667,
Larry Robinson,VAN,1997-1998, 6-3,SF,30,6,41,6.83333333333,6,19,.316,3,6,.500,2,2,1.000,2,0.333333333333,10,1.66666666667,12,2.0,1,0.166666666667,4,0.666666666667,0,0.0,2,0.333333333333,0,17,2.83333333333,
Larry Robinson,TOT,2000-2001, 6-3,PG,33,34,632,18.5882352941,67,184,.364,44,116,.379,21,24,.875,23,0.676470588235,64,1.88235294118,87,2.55882352941,36,1.05882352941,28,0.823529411765,2,0.0588235294118,25,0.735294117647,46,199,5.85294117647,
Larry Robinson,CLE,2000-2001, 6-3,SG,33,1,1,1.0,0,0,.000,0,0,.000,0,0,.000,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.0,0,0,0.0,
Larry Robinson,ATL,2000-2001, 6-3,PG,33,33,631,19.1212121212,67,184,.364,44,116,.379,21,24,.875,23,0.69696969697,64,1.93939393939,87,2.63636363636,36,1.09090909091,28,0.848484848485,2,0.0606060606061,24,0.727272727273,46,199,6.0303030303,
Larry Robinson,NYK,2001-2002, 6-3,SG,34,2,10,5.0,1,4,.250,1,2,.500,0,0,.000,0,0.0,2,1.0,2,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1,3,1.5,
