Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Larry Siegfried,BOS,1963-1964, 6-3,SG,24,31,261,8.41935483871,35,110,.318,.000,.000,.000,31,39,.795,.000,0.0,.000,0.0,51,1.64516129032,40,1.29032258065,.000,0.0,.000,0.0,.000,0.0,33,101,3.25806451613,
Larry Siegfried,BOS,1964-1965, 6-3,SG,25,72,996,13.8333333333,173,417,.415,.000,.000,.000,109,140,.779,.000,0.0,.000,0.0,134,1.86111111111,119,1.65277777778,.000,0.0,.000,0.0,.000,0.0,108,455,6.31944444444,
Larry Siegfried,BOS,1965-1966, 6-3,PG,26,71,1675,23.5915492958,349,825,.423,.000,.000,.000,274,311,.881,.000,0.0,.000,0.0,196,2.76056338028,165,2.32394366197,.000,0.0,.000,0.0,.000,0.0,157,972,13.6901408451,
Larry Siegfried,BOS,1966-1967, 6-3,PG,27,73,1891,25.904109589,368,833,.442,.000,.000,.000,294,347,.847,.000,0.0,.000,0.0,228,3.12328767123,250,3.42465753425,.000,0.0,.000,0.0,.000,0.0,207,1030,14.1095890411,
Larry Siegfried,BOS,1967-1968, 6-3,PG,28,62,1937,31.2419354839,261,629,.415,.000,.000,.000,236,272,.868,.000,0.0,.000,0.0,215,3.46774193548,289,4.66129032258,.000,0.0,.000,0.0,.000,0.0,194,758,12.2258064516,
Larry Siegfried,BOS,1968-1969, 6-3,PG,29,79,2560,32.4050632911,392,1031,.380,.000,.000,.000,336,389,.864,.000,0.0,.000,0.0,282,3.56962025316,370,4.6835443038,.000,0.0,.000,0.0,.000,0.0,222,1120,14.1772151899,
Larry Siegfried,BOS,1969-1970, 6-3,PG,30,78,2081,26.6794871795,382,902,.424,.000,.000,.000,220,257,.856,.000,0.0,.000,0.0,212,2.71794871795,299,3.83333333333,.000,0.0,.000,0.0,.000,0.0,187,984,12.6153846154,
Larry Siegfried,SDR,1970-1971, 6-3,PG,31,53,1673,31.5660377358,146,378,.386,.000,.000,.000,130,153,.850,.000,0.0,.000,0.0,207,3.90566037736,346,6.52830188679,.000,0.0,.000,0.0,.000,0.0,146,422,7.96226415094,
Larry Siegfried,TOT,1971-1972, 6-3,PG,32,31,558,18.0,43,123,.350,.000,.000,.000,32,37,.865,.000,0.0,.000,0.0,42,1.35483870968,72,2.32258064516,.000,0.0,.000,0.0,.000,0.0,53,118,3.8064516129,
Larry Siegfried,HOU,1971-1972, 6-3,PG,32,10,223,22.3,18,46,.391,.000,.000,.000,12,14,.857,.000,0.0,.000,0.0,10,1.0,20,2.0,.000,0.0,.000,0.0,.000,0.0,21,48,4.8,
Larry Siegfried,ATL,1971-1972, 6-3,PG,32,21,335,15.9523809524,25,77,.325,.000,.000,.000,20,23,.870,.000,0.0,.000,0.0,32,1.52380952381,52,2.47619047619,.000,0.0,.000,0.0,.000,0.0,32,70,3.33333333333,
