Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Latrell Sprewell,GSW,1992-1993, 6-5,SG,22,77,2741,35.5974025974,449,968,.464,73,198,.369,211,283,.746,79,1.02597402597,192,2.49350649351,271,3.51948051948,295,3.83116883117,126,1.63636363636,49,0.636363636364,203,2.63636363636,166,1182,15.3506493506,
Latrell Sprewell,GSW,1993-1994, 6-5,SG,23,82,3533,43.0853658537,613,1417,.433,141,391,.361,353,456,.774,80,0.975609756098,321,3.91463414634,401,4.89024390244,385,4.69512195122,180,2.19512195122,76,0.926829268293,226,2.75609756098,158,1720,20.9756097561,
Latrell Sprewell,GSW,1994-1995, 6-5,SG,24,69,2771,40.1594202899,490,1171,.418,90,326,.276,350,448,.781,58,0.840579710145,198,2.86956521739,256,3.71014492754,279,4.04347826087,112,1.6231884058,46,0.666666666667,230,3.33333333333,108,1420,20.5797101449,
Latrell Sprewell,GSW,1995-1996, 6-5,SG,25,78,3064,39.2820512821,515,1202,.428,91,282,.323,352,446,.789,124,1.58974358974,256,3.28205128205,380,4.87179487179,328,4.20512820513,127,1.62820512821,45,0.576923076923,222,2.84615384615,150,1473,18.8846153846,
Latrell Sprewell,GSW,1996-1997, 6-5,SG,26,80,3353,41.9125,649,1444,.449,147,415,.354,493,585,.843,58,0.725,308,3.85,366,4.575,507,6.3375,132,1.65,45,0.5625,322,4.025,153,1938,24.225,
Latrell Sprewell,GSW,1997-1998, 6-5,SG,27,14,547,39.0714285714,110,277,.397,9,48,.188,70,94,.745,7,0.5,44,3.14285714286,51,3.64285714286,68,4.85714285714,19,1.35714285714,5,0.357142857143,44,3.14285714286,26,299,21.3571428571,
Latrell Sprewell,NYK,1998-1999, 6-5,SF,28,37,1233,33.3243243243,215,518,.415,21,77,.273,155,191,.812,41,1.10810810811,115,3.10810810811,156,4.21621621622,91,2.45945945946,46,1.24324324324,2,0.0540540540541,79,2.13513513514,65,606,16.3783783784,
Latrell Sprewell,NYK,1999-2000, 6-5,SF,29,82,3276,39.9512195122,568,1305,.435,44,127,.346,344,397,.866,49,0.59756097561,300,3.65853658537,349,4.25609756098,332,4.0487804878,109,1.32926829268,22,0.268292682927,226,2.75609756098,184,1524,18.5853658537,
Latrell Sprewell,NYK,2000-2001, 6-5,SF,30,77,3017,39.1818181818,524,1219,.430,41,135,.304,275,351,.783,49,0.636363636364,298,3.87012987013,347,4.50649350649,269,3.49350649351,106,1.37662337662,28,0.363636363636,218,2.83116883117,159,1364,17.7142857143,
Latrell Sprewell,NYK,2001-2002, 6-5,SF,31,81,3326,41.0617283951,573,1419,.404,145,403,.360,284,346,.821,59,0.728395061728,239,2.95061728395,298,3.67901234568,313,3.86419753086,94,1.16049382716,14,0.172839506173,223,2.75308641975,161,1575,19.4444444444,
Latrell Sprewell,NYK,2002-2003, 6-5,SF,32,74,2859,38.6351351351,454,1127,.403,134,360,.372,173,218,.794,45,0.608108108108,240,3.24324324324,285,3.85135135135,332,4.48648648649,102,1.37837837838,22,0.297297297297,172,2.32432432432,134,1215,16.4189189189,
Latrell Sprewell,MIN,2003-2004, 6-5,SF,33,82,3100,37.8048780488,518,1266,.409,99,299,.331,240,295,.814,56,0.682926829268,254,3.09756097561,310,3.78048780488,286,3.48780487805,88,1.07317073171,21,0.256097560976,158,1.92682926829,101,1375,16.7682926829,
Latrell Sprewell,MIN,2004-2005, 6-5,SF,34,80,2450,30.625,398,961,.414,69,211,.327,156,188,.830,65,0.8125,189,2.3625,254,3.175,179,2.2375,53,0.6625,21,0.2625,127,1.5875,124,1021,12.7625,
