Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
LeBron James,CLE,2003-2004, 6-8,SG,19,79,3122,39.5189873418,622,1492,.417,63,217,.290,347,460,.754,99,1.25316455696,333,4.21518987342,432,5.46835443038,465,5.88607594937,130,1.64556962025,58,0.73417721519,273,3.45569620253,149,1654,20.9367088608,
LeBron James,CLE,2004-2005, 6-8,SF,20,80,3388,42.35,795,1684,.472,108,308,.351,477,636,.750,111,1.3875,477,5.9625,588,7.35,577,7.2125,177,2.2125,52,0.65,262,3.275,146,2175,27.1875,
LeBron James,CLE,2005-2006, 6-8,SF,21,79,3361,42.5443037975,875,1823,.480,127,379,.335,601,814,.738,75,0.949367088608,481,6.08860759494,556,7.03797468354,521,6.59493670886,123,1.55696202532,66,0.835443037975,260,3.29113924051,181,2478,31.3670886076,
LeBron James,CLE,2006-2007, 6-8,SF,22,78,3190,40.8974358974,772,1621,.476,99,310,.319,489,701,.698,83,1.0641025641,443,5.67948717949,526,6.74358974359,470,6.02564102564,125,1.60256410256,55,0.705128205128,250,3.20512820513,171,2132,27.3333333333,
LeBron James,CLE,2007-2008, 6-8,SF,23,75,3027,40.36,794,1642,.484,113,359,.315,549,771,.712,133,1.77333333333,459,6.12,592,7.89333333333,539,7.18666666667,138,1.84,81,1.08,255,3.4,165,2250,30.0,
LeBron James,CLE,2008-2009, 6-8,SF,24,81,3054,37.7037037037,789,1613,.489,132,384,.344,594,762,.780,106,1.30864197531,507,6.25925925926,613,7.56790123457,587,7.24691358025,137,1.69135802469,93,1.14814814815,241,2.97530864198,139,2304,28.4444444444,
LeBron James,CLE,2009-2010, 6-8,SF,25,76,2966,39.0263157895,768,1528,.503,129,387,.333,593,773,.767,71,0.934210526316,483,6.35526315789,554,7.28947368421,651,8.56578947368,125,1.64473684211,77,1.01315789474,261,3.43421052632,119,2258,29.7105263158,
LeBron James,MIA,2010-2011, 6-8,SF,26,79,3063,38.7721518987,758,1485,.510,92,279,.330,503,663,.759,80,1.01265822785,510,6.45569620253,590,7.46835443038,554,7.01265822785,124,1.56962025316,50,0.632911392405,284,3.59493670886,163,2111,26.7215189873,
LeBron James,MIA,2011-2012, 6-8,SF,27,62,2326,37.5161290323,621,1169,.531,54,149,.362,387,502,.771,94,1.51612903226,398,6.41935483871,492,7.93548387097,387,6.24193548387,115,1.85483870968,50,0.806451612903,213,3.43548387097,96,1683,27.1451612903,
LeBron James,MIA,2012-2013, 6-8,PF,28,63,2412,38.2857142857,629,1130,.557,85,214,.397,329,438,.751,83,1.31746031746,426,6.7619047619,509,8.07936507937,449,7.12698412698,108,1.71428571429,53,0.84126984127,187,2.96825396825,96,1672,26.5396825397,
