Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Len Chappell,SYR,1962-1963, 6-8,PF,22,80,1241,15.5125,281,604,.465,.000,.000,.000,148,238,.622,.000,0.0,.000,0.0,461,5.7625,56,0.7,.000,0.0,.000,0.0,.000,0.0,171,710,8.875,
Len Chappell,TOT,1963-1964, 6-8,PF,23,79,2505,31.7088607595,531,1185,.448,.000,.000,.000,288,403,.715,.000,0.0,.000,0.0,771,9.75949367089,83,1.05063291139,.000,0.0,.000,0.0,.000,0.0,214,1350,17.0886075949,
Len Chappell,PHI,1963-1964, 6-8,,23,1,16,16.0,0,2,.000,.000,.000,.000,1,2,.500,.000,0.0,.000,0.0,4,4.0,0,0.0,.000,0.0,.000,0.0,.000,0.0,2,1,1.0,
Len Chappell,NYK,1963-1964, 6-8,PF,23,78,2489,31.9102564103,531,1183,.449,.000,.000,.000,287,401,.716,.000,0.0,.000,0.0,767,9.83333333333,83,1.0641025641,.000,0.0,.000,0.0,.000,0.0,212,1349,17.2948717949,
Len Chappell,NYK,1964-1965, 6-8,C,24,43,655,15.2325581395,145,367,.395,.000,.000,.000,68,100,.680,.000,0.0,.000,0.0,140,3.25581395349,15,0.348837209302,.000,0.0,.000,0.0,.000,0.0,73,358,8.32558139535,
Len Chappell,NYK,1965-1966, 6-8,PF,25,46,545,11.847826087,100,238,.420,.000,.000,.000,46,78,.590,.000,0.0,.000,0.0,127,2.76086956522,26,0.565217391304,.000,0.0,.000,0.0,.000,0.0,64,246,5.34782608696,
Len Chappell,TOT,1966-1967, 6-8,C-,26,73,708,9.69863013699,132,313,.422,.000,.000,.000,53,81,.654,.000,0.0,.000,0.0,189,2.58904109589,33,0.452054794521,.000,0.0,.000,0.0,.000,0.0,104,317,4.34246575342,
Len Chappell,CHI,1966-1967, 6-8,PF,26,19,179,9.42105263158,40,89,.449,.000,.000,.000,14,21,.667,.000,0.0,.000,0.0,38,2.0,12,0.631578947368,.000,0.0,.000,0.0,.000,0.0,31,94,4.94736842105,
Len Chappell,CIN,1966-1967, 6-8,C,26,54,529,9.7962962963,92,224,.411,.000,.000,.000,39,60,.650,.000,0.0,.000,0.0,151,2.7962962963,21,0.388888888889,.000,0.0,.000,0.0,.000,0.0,73,223,4.12962962963,
Len Chappell,TOT,1967-1968, 6-8,C-,27,67,1064,15.8805970149,235,458,.513,.000,.000,.000,138,194,.711,.000,0.0,.000,0.0,361,5.38805970149,53,0.791044776119,.000,0.0,.000,0.0,.000,0.0,119,608,9.07462686567,
Len Chappell,CIN,1967-1968, 6-8,PF,27,10,65,6.5,15,30,.500,.000,.000,.000,8,10,.800,.000,0.0,.000,0.0,15,1.5,5,0.5,.000,0.0,.000,0.0,.000,0.0,6,38,3.8,
Len Chappell,DET,1967-1968, 6-8,C,27,57,999,17.5263157895,220,428,.514,.000,.000,.000,130,184,.707,.000,0.0,.000,0.0,346,6.0701754386,48,0.842105263158,.000,0.0,.000,0.0,.000,0.0,113,570,10.0,
Len Chappell,MIL,1968-1969, 6-8,PF,28,80,2207,27.5875,459,1011,.454,.000,.000,.000,250,339,.737,.000,0.0,.000,0.0,637,7.9625,95,1.1875,.000,0.0,.000,0.0,.000,0.0,247,1168,14.6,
Len Chappell,MIL,1969-1970, 6-8,SF,29,75,1134,15.12,243,523,.465,.000,.000,.000,135,211,.640,.000,0.0,.000,0.0,276,3.68,56,0.746666666667,.000,0.0,.000,0.0,.000,0.0,127,621,8.28,
Len Chappell,TOT,1970-1971, 6-8,PF,30,48,537,11.1875,86,199,.432,.000,.000,.000,71,88,.807,.000,0.0,.000,0.0,151,3.14583333333,17,0.354166666667,.000,0.0,.000,0.0,.000,0.0,72,243,5.0625,
Len Chappell,CLE,1970-1971, 6-8,,30,6,86,14.3333333333,15,38,.395,.000,.000,.000,11,14,.786,.000,0.0,.000,0.0,18,3.0,1,0.166666666667,.000,0.0,.000,0.0,.000,0.0,9,41,6.83333333333,
Len Chappell,ATL,1970-1971, 6-8,PF,30,42,451,10.7380952381,71,161,.441,.000,.000,.000,60,74,.811,.000,0.0,.000,0.0,133,3.16666666667,16,0.380952380952,.000,0.0,.000,0.0,.000,0.0,63,202,4.80952380952,
Len Chappell,DLC,1971-1972, 6-8,PF,31,79,1403,17.7594936709,231,511,.452,0,0,.000,144,193,.746,146,1.84810126582,172,2.17721518987,318,4.0253164557,69,0.873417721519,.000,0.0,.000,0.0,63,0.79746835443,158,606,7.67088607595,
