Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Leon Wood,PHI,1984-1985, 6-3,PG,22,38,269,7.07894736842,50,134,.373,4,30,.133,18,26,.692,3,0.0789473684211,15,0.394736842105,18,0.473684210526,45,1.18421052632,8,0.210526315789,0,0.0,25,0.657894736842,17,122,3.21052631579,
Leon Wood,TOT,1985-1986, 6-3,PG,23,68,1198,17.6176470588,184,466,.395,41,114,.360,123,155,.794,25,0.367647058824,65,0.955882352941,90,1.32352941176,182,2.67647058824,34,0.5,0,0.0,74,1.08823529412,70,532,7.82352941176,
Leon Wood,PHI,1985-1986, 6-3,PG,23,29,455,15.6896551724,57,136,.419,13,29,.448,27,34,.794,9,0.310344827586,18,0.620689655172,27,0.931034482759,75,2.58620689655,14,0.48275862069,0,0.0,7,0.241379310345,24,154,5.31034482759,
Leon Wood,WSB,1985-1986, 6-3,PG,23,39,743,19.0512820513,127,330,.385,28,85,.329,96,121,.793,16,0.410256410256,47,1.20512820513,63,1.61538461538,107,2.74358974359,20,0.512820512821,0,0.0,67,1.71794871795,46,378,9.69230769231,
Leon Wood,NJN,1986-1987, 6-3,PG,24,76,1733,22.8026315789,187,501,.373,60,200,.300,123,154,.799,23,0.302631578947,97,1.27631578947,120,1.57894736842,370,4.86842105263,48,0.631578947368,3,0.0394736842105,108,1.42105263158,126,557,7.32894736842,
Leon Wood,TOT,1987-1988, 6-3,PG,25,52,909,17.4807692308,136,312,.436,52,127,.409,76,99,.768,17,0.326923076923,40,0.769230769231,57,1.09615384615,174,3.34615384615,26,0.5,1,0.0192307692308,39,0.75,50,400,7.69230769231,
Leon Wood,SAS,1987-1988, 6-3,PG,25,38,830,21.8421052632,120,282,.426,43,108,.398,69,91,.758,16,0.421052631579,35,0.921052631579,51,1.34210526316,155,4.07894736842,22,0.578947368421,1,0.0263157894737,34,0.894736842105,44,352,9.26315789474,
Leon Wood,ATL,1987-1988, 6-3,PG,25,14,79,5.64285714286,16,30,.533,9,19,.474,7,8,.875,1,0.0714285714286,5,0.357142857143,6,0.428571428571,19,1.35714285714,4,0.285714285714,0,0.0,5,0.357142857143,6,48,3.42857142857,
Leon Wood,NJN,1989-1990, 6-3,SG,27,28,200,7.14285714286,16,49,.327,4,21,.190,14,16,.875,1,0.0357142857143,11,0.392857142857,12,0.428571428571,47,1.67857142857,6,0.214285714286,0,0.0,8,0.285714285714,16,50,1.78571428571,
Leon Wood,SAC,1990-1991, 6-3,SG,28,12,222,18.5,25,63,.397,12,38,.316,19,21,.905,5,0.416666666667,14,1.16666666667,19,1.58333333333,49,4.08333333333,5,0.416666666667,0,0.0,12,1.0,10,81,6.75,
