Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Linton Johnson,CHI,2003-2004, 6-8,SF,23,41,734,17.9024390244,72,203,.355,7,33,.212,22,37,.595,59,1.43902439024,124,3.0243902439,183,4.46341463415,27,0.658536585366,37,0.90243902439,32,0.780487804878,37,0.90243902439,90,173,4.21951219512,
Linton Johnson,SAS,2004-2005, 6-8,SF,24,2,15,7.5,0,2,.000,0,1,.000,0,0,.000,0,0.0,3,1.5,3,1.5,0,0.0,1,0.5,0,0.0,1,0.5,1,0,0.0,
Linton Johnson,TOT,2005-2006, 6-8,SF,25,36,524,14.5555555556,61,149,.409,13,36,.361,18,27,.667,40,1.11111111111,82,2.27777777778,122,3.38888888889,14,0.388888888889,12,0.333333333333,12,0.333333333333,28,0.777777777778,61,153,4.25,
Linton Johnson,NJN,2005-2006, 6-8,SF,25,9,35,3.88888888889,5,10,.500,0,0,.000,1,4,.250,0,0.0,7,0.777777777778,7,0.777777777778,2,0.222222222222,2,0.222222222222,0,0.0,4,0.444444444444,7,11,1.22222222222,
Linton Johnson,NOK,2005-2006, 6-8,SF,25,27,489,18.1111111111,56,139,.403,13,36,.361,17,23,.739,40,1.48148148148,75,2.77777777778,115,4.25925925926,12,0.444444444444,10,0.37037037037,12,0.444444444444,24,0.888888888889,54,142,5.25925925926,
Linton Johnson,NOK,2006-2007, 6-8,PF,26,54,720,13.3333333333,93,190,.489,10,30,.333,30,37,.811,52,0.962962962963,111,2.05555555556,163,3.01851851852,18,0.333333333333,33,0.611111111111,18,0.333333333333,27,0.5,101,226,4.18518518519,
Linton Johnson,TOT,2007-2008, 6-8,PF,27,8,63,7.875,9,19,.474,1,3,.333,2,2,1.000,5,0.625,9,1.125,14,1.75,4,0.5,0,0.0,1,0.125,5,0.625,11,21,2.625,
Linton Johnson,PHO,2007-2008, 6-8,PF,27,6,53,8.83333333333,7,14,.500,1,2,.500,0,0,.000,5,0.833333333333,8,1.33333333333,13,2.16666666667,3,0.5,0,0.0,1,0.166666666667,2,0.333333333333,10,15,2.5,
Linton Johnson,TOR,2007-2008, 6-8,PF,27,2,10,5.0,2,5,.400,0,1,.000,2,2,1.000,0,0.0,1,0.5,1,0.5,1,0.5,0,0.0,0,0.0,3,1.5,1,6,3.0,
Linton Johnson,TOT,2008-2009, 6-8,PF,28,10,55,5.5,4,11,.364,1,2,.500,0,0,.000,3,0.3,5,0.5,8,0.8,2,0.2,1,0.1,0,0.0,2,0.2,7,9,0.9,
Linton Johnson,CHA,2008-2009, 6-8,PF,28,2,13,6.5,0,0,.000,0,0,.000,0,0,.000,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0,0.0,
Linton Johnson,CHI,2008-2009, 6-8,PF,28,8,42,5.25,4,11,.364,1,2,.500,0,0,.000,3,0.375,5,0.625,8,1.0,2,0.25,1,0.125,0,0.0,2,0.25,6,9,1.125,
