Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Lionel Hollins,POR,1975-1976, 6-3,PG,22,74,1891,25.5540540541,311,738,.421,.000,.000,.000,178,247,.721,39,0.527027027027,136,1.83783783784,175,2.36486486486,306,4.13513513514,131,1.77027027027,28,0.378378378378,.000,0.0,235,800,10.8108108108,
Lionel Hollins,POR,1976-1977, 6-3,PG,23,76,2224,29.2631578947,452,1046,.432,.000,.000,.000,215,287,.749,52,0.684210526316,158,2.07894736842,210,2.76315789474,313,4.11842105263,166,2.18421052632,38,0.5,.000,0.0,265,1119,14.7236842105,
Lionel Hollins,POR,1977-1978, 6-3,PG,24,81,2741,33.8395061728,531,1202,.442,.000,.000,.000,223,300,.743,81,1.0,196,2.41975308642,277,3.41975308642,380,4.69135802469,157,1.93827160494,29,0.358024691358,241,2.97530864198,268,1285,15.8641975309,
Lionel Hollins,POR,1978-1979, 6-3,PG,25,64,1967,30.734375,402,886,.454,.000,.000,.000,172,221,.778,32,0.5,117,1.828125,149,2.328125,325,5.078125,114,1.78125,24,0.375,223,3.484375,199,976,15.25,
Lionel Hollins,TOT,1979-1980, 6-3,SG,26,47,1209,25.7234042553,212,526,.403,3,20,.150,101,140,.721,29,0.617021276596,60,1.27659574468,89,1.89361702128,162,3.44680851064,76,1.6170212766,10,0.212765957447,128,2.72340425532,103,528,11.2340425532,
Lionel Hollins,POR,1979-1980, 6-3,PG,26,20,413,20.65,82,213,.385,1,10,.100,34,53,.642,5,0.25,15,0.75,20,1.0,50,2.5,30,1.5,1,0.05,60,3.0,35,199,9.95,
Lionel Hollins,PHI,1979-1980, 6-3,SG,26,27,796,29.4814814815,130,313,.415,2,10,.200,67,87,.770,24,0.888888888889,45,1.66666666667,69,2.55555555556,112,4.14814814815,46,1.7037037037,9,0.333333333333,68,2.51851851852,68,329,12.1851851852,
Lionel Hollins,PHI,1980-1981, 6-3,PG,27,82,2154,26.2682926829,327,696,.470,2,15,.133,125,171,.731,47,0.573170731707,144,1.75609756098,191,2.32926829268,352,4.29268292683,104,1.26829268293,18,0.219512195122,207,2.5243902439,205,781,9.5243902439,
Lionel Hollins,PHI,1981-1982, 6-3,PG,28,81,2257,27.8641975309,380,797,.477,2,16,.125,132,188,.702,35,0.432098765432,152,1.87654320988,187,2.30864197531,316,3.9012345679,103,1.27160493827,20,0.246913580247,146,1.8024691358,198,894,11.037037037,
Lionel Hollins,SDC,1982-1983, 6-3,PG,29,56,1844,32.9285714286,313,717,.437,3,21,.143,129,179,.721,30,0.535714285714,98,1.75,128,2.28571428571,373,6.66071428571,111,1.98214285714,14,0.25,198,3.53571428571,155,758,13.5357142857,
Lionel Hollins,DET,1983-1984, 6-3,PG,30,32,216,6.75,24,63,.381,0,2,.000,11,13,.846,4,0.125,18,0.5625,22,0.6875,62,1.9375,13,0.40625,1,0.03125,24,0.75,26,59,1.84375,
Lionel Hollins,HOU,1984-1985, 6-3,PG,31,80,1950,24.375,249,540,.461,3,13,.231,108,136,.794,33,0.4125,140,1.75,173,2.1625,417,5.2125,78,0.975,10,0.125,170,2.125,187,609,7.6125,
