Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Lorenzen Wright,LAC,1996-1997, 6-11,C,21,77,1936,25.1428571429,236,491,.481,1,4,.250,88,150,.587,206,2.67532467532,265,3.44155844156,471,6.11688311688,49,0.636363636364,48,0.623376623377,60,0.779220779221,79,1.02597402597,211,561,7.28571428571,
Lorenzen Wright,LAC,1997-1998, 6-11,C,22,69,2067,29.9565217391,241,542,.445,0,2,.000,141,214,.659,180,2.60869565217,426,6.17391304348,606,8.78260869565,55,0.797101449275,55,0.797101449275,87,1.26086956522,81,1.17391304348,237,623,9.02898550725,
Lorenzen Wright,LAC,1998-1999, 6-11,C,23,48,1135,23.6458333333,119,260,.458,0,1,.000,81,117,.692,142,2.95833333333,219,4.5625,361,7.52083333333,33,0.6875,26,0.541666666667,36,0.75,48,1.0,162,319,6.64583333333,
Lorenzen Wright,ATL,1999-2000, 6-11,C,24,75,1205,16.0666666667,180,361,.499,1,3,.333,87,135,.644,117,1.56,188,2.50666666667,305,4.06666666667,21,0.28,29,0.386666666667,40,0.533333333333,66,0.88,203,448,5.97333333333,
Lorenzen Wright,ATL,2000-2001, 6-11,C,25,71,1988,28.0,363,811,.448,0,2,.000,155,216,.718,180,2.53521126761,355,5.0,535,7.53521126761,87,1.22535211268,42,0.591549295775,63,0.887323943662,125,1.76056338028,232,881,12.4084507042,
Lorenzen Wright,MEM,2001-2002, 6-11,C,26,43,1251,29.0930232558,223,486,.459,0,2,.000,70,123,.569,130,3.02325581395,275,6.39534883721,405,9.41860465116,44,1.02325581395,30,0.697674418605,23,0.53488372093,72,1.67441860465,126,516,12.0,
Lorenzen Wright,MEM,2002-2003, 6-11,C,27,70,1982,28.3142857143,325,716,.454,0,5,.000,147,223,.659,170,2.42857142857,358,5.11428571429,528,7.54285714286,80,1.14285714286,51,0.728571428571,54,0.771428571429,110,1.57142857143,209,797,11.3857142857,
Lorenzen Wright,MEM,2003-2004, 6-11,C,28,65,1674,25.7538461538,257,586,.439,0,5,.000,96,131,.733,144,2.21538461538,301,4.63076923077,445,6.84615384615,71,1.09230769231,45,0.692307692308,58,0.892307692308,77,1.18461538462,192,610,9.38461538462,
Lorenzen Wright,MEM,2004-2005, 6-11,C,29,80,2287,28.5875,320,683,.469,0,3,.000,131,198,.662,177,2.2125,436,5.45,613,7.6625,87,1.0875,58,0.725,69,0.8625,100,1.25,251,771,9.6375,
Lorenzen Wright,MEM,2005-2006, 6-11,C,30,78,1689,21.6538461538,194,406,.478,0,2,.000,66,117,.564,142,1.82051282051,253,3.24358974359,395,5.0641025641,48,0.615384615385,52,0.666666666667,46,0.589743589744,67,0.858974358974,201,454,5.82051282051,
Lorenzen Wright,ATL,2006-2007, 6-11,C,31,67,1035,15.447761194,82,183,.448,0,0,.000,9,32,.281,85,1.26865671642,131,1.9552238806,216,3.22388059701,40,0.597014925373,28,0.417910447761,28,0.417910447761,39,0.582089552239,204,173,2.58208955224,
Lorenzen Wright,TOT,2007-2008, 6-11,C,32,18,161,8.94444444444,6,21,.286,0,0,.000,3,6,.500,8,0.444444444444,30,1.66666666667,38,2.11111111111,4,0.222222222222,3,0.166666666667,3,0.166666666667,4,0.222222222222,31,15,0.833333333333,
Lorenzen Wright,ATL,2007-2008, 6-11,C,32,13,148,11.3846153846,5,17,.294,0,0,.000,3,6,.500,7,0.538461538462,30,2.30769230769,37,2.84615384615,3,0.230769230769,3,0.230769230769,3,0.230769230769,2,0.153846153846,26,13,1.0,
Lorenzen Wright,SAC,2007-2008, 6-11,C,32,5,13,2.6,1,4,.250,0,0,.000,0,0,.000,1,0.2,0,0.0,1,0.2,1,0.2,0,0.0,0,0.0,2,0.4,5,2,0.4,
Lorenzen Wright,CLE,2008-2009, 6-11,C,33,17,125,7.35294117647,10,27,.370,0,0,.000,3,8,.375,7,0.411764705882,18,1.05882352941,25,1.47058823529,3,0.176470588235,4,0.235294117647,5,0.294117647059,9,0.529411764706,17,23,1.35294117647,
