Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Luc Longley,MIN,1991-1992, 7-2,C,23,66,991,15.0151515152,114,249,.458,0,0,.000,53,80,.663,67,1.01515151515,190,2.87878787879,257,3.89393939394,53,0.80303030303,35,0.530303030303,64,0.969696969697,83,1.25757575758,157,281,4.25757575758,
Luc Longley,MIN,1992-1993, 7-2,C,24,55,1045,19.0,133,292,.455,0,0,.000,53,74,.716,71,1.29090909091,169,3.07272727273,240,4.36363636364,51,0.927272727273,47,0.854545454545,77,1.4,88,1.6,169,319,5.8,
Luc Longley,TOT,1993-1994, 7-2,C,25,76,1502,19.7631578947,219,465,.471,0,1,.000,90,125,.720,129,1.69736842105,304,4.0,433,5.69736842105,109,1.43421052632,45,0.592105263158,79,1.03947368421,119,1.56578947368,216,528,6.94736842105,
Luc Longley,MIN,1993-1994, 7-2,C,25,49,989,20.1836734694,134,289,.464,0,1,.000,56,80,.700,87,1.77551020408,208,4.24489795918,295,6.02040816327,46,0.938775510204,35,0.714285714286,58,1.18367346939,79,1.61224489796,131,324,6.61224489796,
Luc Longley,CHI,1993-1994, 7-2,C,25,27,513,19.0,85,176,.483,0,0,.000,34,45,.756,42,1.55555555556,96,3.55555555556,138,5.11111111111,63,2.33333333333,10,0.37037037037,21,0.777777777778,40,1.48148148148,85,204,7.55555555556,
Luc Longley,CHI,1994-1995, 7-2,C,26,55,1001,18.2,135,302,.447,0,2,.000,88,107,.822,82,1.49090909091,181,3.29090909091,263,4.78181818182,73,1.32727272727,24,0.436363636364,45,0.818181818182,86,1.56363636364,177,358,6.50909090909,
Luc Longley,CHI,1995-1996, 7-2,C,27,62,1641,26.4677419355,242,502,.482,0,0,.000,80,103,.777,104,1.67741935484,214,3.45161290323,318,5.12903225806,119,1.91935483871,22,0.354838709677,84,1.35483870968,114,1.83870967742,223,564,9.09677419355,
Luc Longley,CHI,1996-1997, 7-2,C,28,59,1472,24.9491525424,221,485,.456,0,2,.000,95,120,.792,121,2.05084745763,211,3.57627118644,332,5.62711864407,141,2.38983050847,23,0.389830508475,66,1.1186440678,111,1.8813559322,191,537,9.10169491525,
Luc Longley,CHI,1997-1998, 7-2,C,29,58,1703,29.3620689655,277,609,.455,0,0,.000,109,148,.736,113,1.94827586207,228,3.93103448276,341,5.87931034483,161,2.77586206897,34,0.586206896552,62,1.06896551724,130,2.24137931034,206,663,11.4310344828,
Luc Longley,PHO,1998-1999, 7-2,C,30,39,933,23.9230769231,140,290,.483,0,0,.000,59,76,.776,59,1.51282051282,162,4.15384615385,221,5.66666666667,45,1.15384615385,23,0.589743589744,21,0.538461538462,53,1.35897435897,119,339,8.69230769231,
Luc Longley,PHO,1999-2000, 7-2,C,31,72,1417,19.6805555556,186,399,.466,0,0,.000,80,97,.825,100,1.38888888889,223,3.09722222222,323,4.48611111111,77,1.06944444444,22,0.305555555556,42,0.583333333333,136,1.88888888889,221,452,6.27777777778,
Luc Longley,NYK,2000-2001, 7-2,C,32,25,301,12.04,18,54,.333,0,0,.000,13,17,.765,26,1.04,40,1.6,66,2.64,7,0.28,3,0.12,9,0.36,22,0.88,51,49,1.96,
