Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Luke Ridnour,SEA,2003-2004, 6-2,PG,22,69,1114,16.1449275362,145,350,.414,27,80,.338,65,79,.823,35,0.507246376812,73,1.05797101449,108,1.5652173913,163,2.36231884058,52,0.753623188406,7,0.101449275362,80,1.15942028986,105,382,5.53623188406,
Luke Ridnour,SEA,2004-2005, 6-2,PG,23,82,2571,31.3536585366,299,739,.405,67,178,.376,159,180,.883,55,0.670731707317,149,1.81707317073,204,2.48780487805,483,5.89024390244,94,1.14634146341,23,0.280487804878,149,1.81707317073,185,824,10.0487804878,
Luke Ridnour,SEA,2005-2006, 6-2,PG,24,79,2625,33.2278481013,334,799,.418,43,149,.289,199,227,.877,47,0.594936708861,188,2.37974683544,235,2.9746835443,550,6.96202531646,123,1.55696202532,22,0.278481012658,162,2.05063291139,178,910,11.5189873418,
Luke Ridnour,SEA,2006-2007, 6-2,PG,25,71,2091,29.4507042254,301,695,.433,49,139,.353,128,159,.805,28,0.394366197183,136,1.91549295775,164,2.30985915493,368,5.18309859155,83,1.16901408451,19,0.267605633803,156,2.19718309859,181,779,10.9718309859,
Luke Ridnour,SEA,2007-2008, 6-2,PG,26,61,1223,20.0491803279,147,368,.399,21,71,.296,78,91,.857,13,0.213114754098,81,1.32786885246,94,1.54098360656,241,3.95081967213,37,0.606557377049,14,0.229508196721,80,1.31147540984,120,393,6.44262295082,
Luke Ridnour,MIL,2008-2009, 6-2,PG,27,72,2033,28.2361111111,250,621,.403,55,157,.350,133,153,.869,33,0.458333333333,185,2.56944444444,218,3.02777777778,365,5.06944444444,92,1.27777777778,16,0.222222222222,128,1.77777777778,200,688,9.55555555556,
Luke Ridnour,MIL,2009-2010, 6-2,PG,28,82,1759,21.4512195122,328,686,.478,69,181,.381,127,140,.907,24,0.292682926829,119,1.4512195122,143,1.74390243902,324,3.9512195122,54,0.658536585366,7,0.0853658536585,106,1.29268292683,182,852,10.3902439024,
Luke Ridnour,MIN,2010-2011, 6-2,PG,29,71,2159,30.4084507042,319,681,.468,81,184,.440,121,137,.883,37,0.521126760563,162,2.28169014085,199,2.80281690141,384,5.40845070423,89,1.25352112676,10,0.140845070423,158,2.22535211268,146,840,11.8309859155,
Luke Ridnour,MIN,2011-2012, 6-2,SG,30,53,1750,33.0188679245,242,550,.440,49,152,.322,106,119,.891,19,0.358490566038,122,2.30188679245,141,2.66037735849,252,4.75471698113,56,1.05660377358,16,0.301886792453,96,1.81132075472,136,639,12.0566037736,
Luke Ridnour,MIN,2012-2013, 6-2,PG,31,62,1944,31.3548387097,301,662,.455,56,177,.316,107,128,.836,31,0.5,137,2.20967741935,168,2.70967741935,240,3.87096774194,65,1.04838709677,14,0.225806451613,103,1.66129032258,146,765,12.3387096774,
