Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Magic Johnson,LAL,1979-1980, 6-8,SG,20,77,2795,36.2987012987,503,949,.530,7,31,.226,374,462,.810,166,2.15584415584,430,5.58441558442,596,7.74025974026,563,7.31168831169,187,2.42857142857,41,0.532467532468,305,3.96103896104,218,1387,18.012987013,
Magic Johnson,LAL,1980-1981, 6-8,SG,21,37,1371,37.0540540541,312,587,.532,3,17,.176,171,225,.760,101,2.72972972973,219,5.91891891892,320,8.64864864865,317,8.56756756757,127,3.43243243243,27,0.72972972973,143,3.86486486486,100,798,21.5675675676,
Magic Johnson,LAL,1981-1982, 6-8,SG,22,78,2991,38.3461538462,556,1036,.537,6,29,.207,329,433,.760,252,3.23076923077,499,6.39743589744,751,9.62820512821,743,9.52564102564,208,2.66666666667,34,0.435897435897,286,3.66666666667,223,1447,18.5512820513,
Magic Johnson,LAL,1982-1983, 6-8,SG,23,79,2907,36.7974683544,511,933,.548,0,21,.000,304,380,.800,214,2.70886075949,469,5.93670886076,683,8.64556962025,829,10.4936708861,176,2.22784810127,47,0.594936708861,301,3.81012658228,200,1326,16.7848101266,
Magic Johnson,LAL,1983-1984, 6-8,PG,24,67,2567,38.3134328358,441,780,.565,6,29,.207,290,358,.810,99,1.4776119403,392,5.85074626866,491,7.32835820896,875,13.0597014925,150,2.23880597015,49,0.731343283582,306,4.5671641791,169,1178,17.5820895522,
Magic Johnson,LAL,1984-1985, 6-8,PG,25,77,2781,36.1168831169,504,899,.561,7,37,.189,391,464,.843,90,1.16883116883,386,5.01298701299,476,6.18181818182,968,12.5714285714,113,1.46753246753,25,0.324675324675,305,3.96103896104,155,1406,18.2597402597,
Magic Johnson,LAL,1985-1986, 6-8,PG,26,72,2578,35.8055555556,483,918,.526,10,43,.233,378,434,.871,85,1.18055555556,341,4.73611111111,426,5.91666666667,907,12.5972222222,113,1.56944444444,16,0.222222222222,273,3.79166666667,133,1354,18.8055555556,
Magic Johnson,LAL,1986-1987, 6-8,PG,27,80,2904,36.3,683,1308,.522,8,39,.205,535,631,.848,122,1.525,382,4.775,504,6.3,977,12.2125,138,1.725,36,0.45,300,3.75,168,1909,23.8625,
Magic Johnson,LAL,1987-1988, 6-8,PG,28,72,2637,36.625,490,996,.492,11,56,.196,417,489,.853,88,1.22222222222,361,5.01388888889,449,6.23611111111,858,11.9166666667,114,1.58333333333,13,0.180555555556,269,3.73611111111,147,1408,19.5555555556,
Magic Johnson,LAL,1988-1989, 6-8,PG,29,77,2886,37.4805194805,579,1137,.509,59,188,.314,513,563,.911,111,1.44155844156,496,6.44155844156,607,7.88311688312,988,12.8311688312,138,1.79220779221,22,0.285714285714,312,4.05194805195,172,1730,22.4675324675,
Magic Johnson,LAL,1989-1990, 6-8,PG,30,79,2937,37.1772151899,546,1138,.480,106,276,.384,567,637,.890,128,1.62025316456,394,4.98734177215,522,6.60759493671,907,11.4810126582,132,1.67088607595,34,0.430379746835,289,3.6582278481,167,1765,22.3417721519,
Magic Johnson,LAL,1990-1991, 6-8,PG,31,79,2933,37.1265822785,466,976,.477,80,250,.320,519,573,.906,105,1.32911392405,446,5.64556962025,551,6.9746835443,989,12.5189873418,102,1.29113924051,17,0.215189873418,314,3.9746835443,150,1531,19.3797468354,
Magic Johnson,LAL,1995-1996, 6-8,PF,36,32,958,29.9375,137,294,.466,22,58,.379,172,201,.856,40,1.25,143,4.46875,183,5.71875,220,6.875,26,0.8125,13,0.40625,103,3.21875,48,468,14.625,
