Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Manny Leaks,TOT,1968-1969, 6-8,C,23,78,2089,26.7820512821,299,756,.396,0,1,.000,160,229,.699,322,4.12820512821,441,5.65384615385,763,9.78205128205,92,1.17948717949,.000,0.0,.000,0.0,97,1.24358974359,253,758,9.71794871795,
Manny Leaks,KEN,1968-1969, 6-8,C,23,31,674,21.7419354839,88,238,.370,0,0,.000,46,67,.687,87,2.8064516129,147,4.74193548387,234,7.54838709677,32,1.03225806452,.000,0.0,.000,0.0,31,1.0,103,222,7.16129032258,
Manny Leaks,NYA,1968-1969, 6-8,C,23,20,713,35.65,96,289,.332,0,1,.000,58,81,.716,133,6.65,150,7.5,283,14.15,40,2.0,.000,0.0,.000,0.0,34,1.7,62,250,12.5,
Manny Leaks,DLC,1968-1969, 6-8,C,23,27,702,26.0,115,229,.502,0,0,.000,56,81,.691,102,3.77777777778,144,5.33333333333,246,9.11111111111,20,0.740740740741,.000,0.0,.000,0.0,32,1.18518518519,88,286,10.5925925926,
Manny Leaks,DLC,1969-1970, 6-8,C,24,84,3086,36.7380952381,636,1287,.494,0,2,.000,305,428,.713,427,5.08333333333,620,7.38095238095,1047,12.4642857143,100,1.19047619048,.000,0.0,.000,0.0,181,2.15476190476,283,1577,18.7738095238,
Manny Leaks,TOT,1970-1971, 6-8,C,25,80,2614,32.675,510,1080,.472,0,1,.000,279,381,.732,317,3.9625,538,6.725,855,10.6875,104,1.3,.000,0.0,.000,0.0,170,2.125,211,1299,16.2375,
Manny Leaks,TEX,1970-1971, 6-8,C,25,40,1187,29.675,236,527,.448,0,0,.000,149,202,.738,181,4.525,289,7.225,470,11.75,55,1.375,.000,0.0,.000,0.0,70,1.75,103,621,15.525,
Manny Leaks,NYA,1970-1971, 6-8,C,25,40,1427,35.675,274,553,.495,0,1,.000,130,179,.726,136,3.4,249,6.225,385,9.625,49,1.225,.000,0.0,.000,0.0,100,2.5,108,678,16.95,
Manny Leaks,TOT,1971-1972, 6-8,C,26,69,1443,20.9130434783,240,580,.414,0,1,.000,74,121,.612,145,2.10144927536,267,3.86956521739,412,5.97101449275,55,0.797101449275,.000,0.0,.000,0.0,73,1.05797101449,136,554,8.02898550725,
Manny Leaks,NYA,1971-1972, 6-8,C,26,9,142,15.7777777778,24,71,.338,0,0,.000,6,9,.667,11,1.22222222222,32,3.55555555556,43,4.77777777778,4,0.444444444444,.000,0.0,.000,0.0,5,0.555555555556,10,54,6.0,
Manny Leaks,UTS,1971-1972, 6-8,C,26,42,575,13.6904761905,92,251,.367,0,0,.000,39,65,.600,83,1.97619047619,110,2.61904761905,193,4.59523809524,25,0.595238095238,.000,0.0,.000,0.0,29,0.690476190476,71,223,5.30952380952,
Manny Leaks,FLO,1971-1972, 6-8,C,26,18,726,40.3333333333,124,258,.481,0,1,.000,29,47,.617,51,2.83333333333,125,6.94444444444,176,9.77777777778,26,1.44444444444,.000,0.0,.000,0.0,39,2.16666666667,55,277,15.3888888889,
Manny Leaks,PHI,1972-1973, 6-8,C,27,82,2530,30.8536585366,377,933,.404,.000,.000,.000,144,200,.720,.000,0.0,.000,0.0,677,8.25609756098,95,1.15853658537,.000,0.0,.000,0.0,.000,0.0,191,898,10.9512195122,
Manny Leaks,CAP,1973-1974, 6-8,C,28,53,845,15.9433962264,79,232,.341,.000,.000,.000,58,83,.699,94,1.77358490566,150,2.83018867925,244,4.60377358491,25,0.471698113208,10,0.188679245283,39,0.735849056604,.000,0.0,95,216,4.07547169811,
