Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Mark Olberding,TOT,1975-1976, 6-8,PF,19,81,2055,25.3703703704,302,607,.498,0,0,.000,191,247,.773,184,2.27160493827,346,4.27160493827,530,6.54320987654,142,1.75308641975,50,0.617283950617,37,0.456790123457,141,1.74074074074,249,795,9.81481481481,
Mark Olberding,SDS,1975-1976, 6-8,SF,19,11,434,39.4545454545,69,144,.479,0,0,.000,30,43,.698,35,3.18181818182,70,6.36363636364,105,9.54545454545,18,1.63636363636,10,0.909090909091,7,0.636363636364,27,2.45454545455,52,168,15.2727272727,
Mark Olberding,SAA,1975-1976, 6-8,PF,19,70,1621,23.1571428571,233,463,.503,0,0,.000,161,204,.789,149,2.12857142857,276,3.94285714286,425,6.07142857143,124,1.77142857143,40,0.571428571429,30,0.428571428571,114,1.62857142857,197,627,8.95714285714,
Mark Olberding,SAS,1976-1977, 6-8,PF,20,82,1949,23.7682926829,301,598,.503,.000,.000,.000,251,316,.794,162,1.9756097561,287,3.5,449,5.4756097561,119,1.4512195122,59,0.719512195122,29,0.353658536585,.000,0.0,277,853,10.4024390244,
Mark Olberding,SAS,1977-1978, 6-8,PF,21,79,1773,22.4430379747,231,480,.481,.000,.000,.000,184,227,.811,104,1.3164556962,269,3.40506329114,373,4.72151898734,131,1.6582278481,45,0.569620253165,26,0.329113924051,118,1.49367088608,235,646,8.17721518987,
Mark Olberding,SAS,1978-1979, 6-8,PF,22,80,1885,23.5625,261,551,.474,.000,.000,.000,233,290,.803,96,1.2,333,4.1625,429,5.3625,211,2.6375,53,0.6625,18,0.225,163,2.0375,282,755,9.4375,
Mark Olberding,SAS,1979-1980, 6-8,SF,23,75,2111,28.1466666667,291,609,.478,0,3,.000,210,264,.795,83,1.10666666667,335,4.46666666667,418,5.57333333333,327,4.36,67,0.893333333333,22,0.293333333333,180,2.4,274,792,10.56,
Mark Olberding,SAS,1980-1981, 6-8,SF,24,82,2408,29.3658536585,348,685,.508,1,7,.143,315,380,.829,146,1.78048780488,325,3.96341463415,471,5.74390243902,277,3.37804878049,75,0.914634146341,31,0.378048780488,202,2.46341463415,307,1012,12.3414634146,
Mark Olberding,SAS,1981-1982, 6-8,PF,25,68,2098,30.8529411765,333,705,.472,2,12,.167,273,338,.808,118,1.73529411765,321,4.72058823529,439,6.45588235294,202,2.97058823529,57,0.838235294118,29,0.426470588235,139,2.04411764706,253,941,13.8382352941,
Mark Olberding,CHI,1982-1983, 6-8,PF,26,80,1817,22.7125,251,522,.481,2,12,.167,194,248,.782,108,1.35,250,3.125,358,4.475,131,1.6375,50,0.625,9,0.1125,152,1.9,246,698,8.725,
Mark Olberding,KCK,1983-1984, 6-8,PF,27,81,2160,26.6666666667,249,504,.494,0,1,.000,261,318,.821,119,1.46913580247,326,4.02469135802,445,5.49382716049,192,2.37037037037,50,0.617283950617,28,0.345679012346,166,2.04938271605,291,759,9.37037037037,
Mark Olberding,KCK,1984-1985, 6-8,PF,28,81,2277,28.1111111111,265,528,.502,0,3,.000,293,352,.832,139,1.71604938272,374,4.61728395062,513,6.33333333333,243,3.0,56,0.691358024691,11,0.135802469136,185,2.28395061728,298,823,10.1604938272,
Mark Olberding,SAC,1985-1986, 6-8,PF,29,81,2157,26.6296296296,225,403,.558,0,2,.000,162,210,.771,113,1.3950617284,310,3.82716049383,423,5.22222222222,266,3.28395061728,43,0.530864197531,23,0.283950617284,148,1.82716049383,276,612,7.55555555556,
Mark Olberding,SAC,1986-1987, 6-8,PF,30,76,1002,13.1842105263,69,165,.418,0,1,.000,116,131,.885,50,0.657894736842,135,1.77631578947,185,2.43421052632,91,1.19736842105,18,0.236842105263,9,0.118421052632,56,0.736842105263,144,254,3.34210526316,
