Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Mark Price,CLE,1986-1987, 6-0,PG,22,67,1217,18.1641791045,173,424,.408,23,70,.329,95,114,.833,33,0.492537313433,84,1.25373134328,117,1.74626865672,202,3.01492537313,43,0.641791044776,4,0.0597014925373,105,1.5671641791,75,464,6.92537313433,
Mark Price,CLE,1987-1988, 6-0,PG,23,80,2626,32.825,493,974,.506,72,148,.486,221,252,.877,54,0.675,126,1.575,180,2.25,480,6.0,99,1.2375,12,0.15,184,2.3,119,1279,15.9875,
Mark Price,CLE,1988-1989, 6-0,PG,24,75,2728,36.3733333333,529,1006,.526,93,211,.441,263,292,.901,48,0.64,178,2.37333333333,226,3.01333333333,631,8.41333333333,115,1.53333333333,7,0.0933333333333,212,2.82666666667,98,1414,18.8533333333,
Mark Price,CLE,1989-1990, 6-0,PG,25,73,2706,37.0684931507,489,1066,.459,152,374,.406,300,338,.888,66,0.904109589041,185,2.53424657534,251,3.43835616438,666,9.12328767123,114,1.56164383562,5,0.0684931506849,214,2.93150684932,89,1430,19.5890410959,
Mark Price,CLE,1990-1991, 6-0,PG,26,16,571,35.6875,97,195,.497,18,53,.340,59,62,.952,8,0.5,37,2.3125,45,2.8125,166,10.375,42,2.625,2,0.125,56,3.5,23,271,16.9375,
Mark Price,CLE,1991-1992, 6-0,PG,27,72,2138,29.6944444444,438,897,.488,101,261,.387,270,285,.947,38,0.527777777778,135,1.875,173,2.40277777778,535,7.43055555556,94,1.30555555556,12,0.166666666667,159,2.20833333333,113,1247,17.3194444444,
Mark Price,CLE,1992-1993, 6-0,PG,28,75,2380,31.7333333333,477,986,.484,122,293,.416,289,305,.948,37,0.493333333333,164,2.18666666667,201,2.68,602,8.02666666667,89,1.18666666667,11,0.146666666667,196,2.61333333333,105,1365,18.2,
Mark Price,CLE,1993-1994, 6-0,PG,29,76,2386,31.3947368421,480,1005,.478,118,297,.397,238,268,.888,39,0.513157894737,189,2.48684210526,228,3.0,589,7.75,103,1.35526315789,11,0.144736842105,189,2.48684210526,93,1316,17.3157894737,
Mark Price,CLE,1994-1995, 6-0,PG,30,48,1375,28.6458333333,253,612,.413,103,253,.407,148,162,.914,25,0.520833333333,87,1.8125,112,2.33333333333,335,6.97916666667,35,0.729166666667,4,0.0833333333333,142,2.95833333333,50,757,15.7708333333,
Mark Price,WSB,1995-1996, 6-0,PG,31,7,127,18.1428571429,18,60,.300,10,30,.333,10,10,1.000,1,0.142857142857,6,0.857142857143,7,1.0,18,2.57142857143,6,0.857142857143,0,0.0,10,1.42857142857,7,56,8.0,
Mark Price,GSW,1996-1997, 6-0,PG,32,70,1876,26.8,263,589,.447,112,283,.396,155,171,.906,36,0.514285714286,143,2.04285714286,179,2.55714285714,342,4.88571428571,67,0.957142857143,3,0.0428571428571,161,2.3,100,793,11.3285714286,
Mark Price,ORL,1997-1998, 6-0,PG,33,63,1430,22.6984126984,229,531,.431,52,155,.335,87,103,.845,24,0.380952380952,105,1.66666666667,129,2.04761904762,297,4.71428571429,53,0.84126984127,5,0.0793650793651,162,2.57142857143,92,597,9.47619047619,
