Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Mark Strickland,IND,1994-1995, 6-9,PF,24,4,9,2.25,1,3,.333,0,0,.000,1,2,.500,2,0.5,2,0.5,4,1.0,0,0.0,0,0.0,1,0.25,1,0.25,0,3,0.75,
Mark Strickland,MIA,1996-1997, 6-9,PF,26,31,153,4.93548387097,25,60,.417,0,1,.000,12,21,.571,16,0.516129032258,21,0.677419354839,37,1.1935483871,1,0.0322580645161,4,0.129032258065,10,0.322580645161,15,0.483870967742,17,62,2.0,
Mark Strickland,MIA,1997-1998, 6-9,PF,27,51,847,16.6078431373,145,269,.539,0,1,.000,59,82,.720,80,1.56862745098,133,2.60784313725,213,4.17647058824,26,0.509803921569,18,0.352941176471,34,0.666666666667,47,0.921568627451,87,349,6.8431372549,
Mark Strickland,MIA,1998-1999, 6-9,PF,28,32,357,11.15625,50,101,.495,0,1,.000,19,26,.731,26,0.8125,52,1.625,78,2.4375,9,0.28125,7,0.21875,8,0.25,13,0.40625,28,119,3.71875,
Mark Strickland,MIA,1999-2000, 6-9,SF,29,58,663,11.4310344828,122,224,.545,0,0,.000,40,56,.714,44,0.758620689655,96,1.65517241379,140,2.41379310345,22,0.379310344828,15,0.258620689655,18,0.310344827586,24,0.413793103448,68,284,4.89655172414,
Mark Strickland,TOT,2000-2001, 6-9,SF,30,55,719,13.0727272727,103,239,.431,1,2,.500,45,70,.643,54,0.981818181818,107,1.94545454545,161,2.92727272727,24,0.436363636364,16,0.290909090909,22,0.4,34,0.618181818182,72,252,4.58181818182,
Mark Strickland,DEN,2000-2001, 6-9,SF,30,46,517,11.2391304348,82,185,.443,0,1,.000,37,59,.627,43,0.934782608696,77,1.67391304348,120,2.60869565217,17,0.369565217391,12,0.260869565217,19,0.413043478261,24,0.521739130435,58,201,4.36956521739,
Mark Strickland,NJN,2000-2001, 6-9,SF,30,9,202,22.4444444444,21,54,.389,1,1,1.000,8,11,.727,11,1.22222222222,30,3.33333333333,41,4.55555555556,7,0.777777777778,4,0.444444444444,3,0.333333333333,10,1.11111111111,14,51,5.66666666667,
Mark Strickland,ATL,2001-2002, 6-9,SF,31,46,654,14.2173913043,91,204,.446,1,4,.250,25,44,.568,41,0.891304347826,90,1.95652173913,131,2.84782608696,20,0.434782608696,19,0.413043478261,17,0.369565217391,28,0.608695652174,48,208,4.52173913043,
Mark Strickland,DAL,2002-2003, 6-9,SF,32,4,13,3.25,2,5,.400,0,0,.000,0,0,.000,5,1.25,2,0.5,7,1.75,0,0.0,0,0.0,0,0.0,1,0.25,1,4,1.0,
