Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Marques Johnson,MIL,1977-1978, 6-7,SF,21,80,2765,34.5625,628,1204,.522,.000,.000,.000,301,409,.736,292,3.65,555,6.9375,847,10.5875,190,2.375,92,1.15,103,1.2875,175,2.1875,221,1557,19.4625,
Marques Johnson,MIL,1978-1979, 6-7,SF,22,77,2779,36.0909090909,820,1491,.550,.000,.000,.000,332,437,.760,212,2.75324675325,374,4.85714285714,586,7.61038961039,234,3.03896103896,116,1.50649350649,89,1.15584415584,170,2.20779220779,186,1972,25.6103896104,
Marques Johnson,MIL,1979-1980, 6-7,SF,23,77,2686,34.8831168831,689,1267,.544,2,9,.222,291,368,.791,217,2.81818181818,349,4.53246753247,566,7.35064935065,273,3.54545454545,100,1.2987012987,70,0.909090909091,185,2.4025974026,173,1671,21.7012987013,
Marques Johnson,MIL,1980-1981, 6-7,SF,24,76,2542,33.4473684211,636,1153,.552,0,9,.000,269,381,.706,225,2.96052631579,293,3.85526315789,518,6.81578947368,346,4.55263157895,115,1.51315789474,41,0.539473684211,190,2.5,196,1541,20.2763157895,
Marques Johnson,MIL,1981-1982, 6-7,SF,25,60,1900,31.6666666667,404,760,.532,0,4,.000,182,260,.700,153,2.55,211,3.51666666667,364,6.06666666667,213,3.55,59,0.983333333333,35,0.583333333333,145,2.41666666667,142,990,16.5,
Marques Johnson,MIL,1982-1983, 6-7,SF,26,80,2853,35.6625,723,1420,.509,4,20,.200,264,359,.735,196,2.45,366,4.575,562,7.025,363,4.5375,100,1.25,56,0.7,196,2.45,211,1714,21.425,
Marques Johnson,MIL,1983-1984, 6-7,SF,27,74,2715,36.6891891892,646,1288,.502,2,13,.154,241,340,.709,173,2.33783783784,307,4.14864864865,480,6.48648648649,315,4.25675675676,115,1.55405405405,45,0.608108108108,180,2.43243243243,194,1535,20.7432432432,
Marques Johnson,LAC,1984-1985, 6-7,SF,28,72,2448,34.0,494,1094,.452,3,13,.231,190,260,.731,188,2.61111111111,240,3.33333333333,428,5.94444444444,248,3.44444444444,72,1.0,30,0.416666666667,176,2.44444444444,193,1181,16.4027777778,
Marques Johnson,LAC,1985-1986, 6-7,SG,29,75,2605,34.7333333333,613,1201,.510,1,15,.067,298,392,.760,156,2.08,260,3.46666666667,416,5.54666666667,283,3.77333333333,107,1.42666666667,50,0.666666666667,183,2.44,214,1525,20.3333333333,
Marques Johnson,LAC,1986-1987, 6-7,SF,30,10,302,30.2,68,155,.439,0,6,.000,30,42,.714,9,0.9,24,2.4,33,3.3,28,2.8,12,1.2,5,0.5,17,1.7,24,166,16.6,
Marques Johnson,GSW,1989-1990, 6-7,SF,33,10,99,9.9,12,32,.375,2,3,.667,14,17,.824,8,0.8,9,0.9,17,1.7,9,0.9,0,0.0,1,0.1,10,1.0,12,40,4.0,
