Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Matt Bullard,HOU,1990-1991, 6-10,PF,23,18,63,3.5,14,31,.452,0,3,.000,11,17,.647,6,0.333333333333,8,0.444444444444,14,0.777777777778,2,0.111111111111,3,0.166666666667,0,0.0,3,0.166666666667,10,39,2.16666666667,
Matt Bullard,HOU,1991-1992, 6-10,PF,24,80,1278,15.975,205,447,.459,64,166,.386,38,50,.760,73,0.9125,150,1.875,223,2.7875,75,0.9375,26,0.325,21,0.2625,56,0.7,129,512,6.4,
Matt Bullard,HOU,1992-1993, 6-10,PF,25,79,1356,17.164556962,213,494,.431,91,243,.374,58,74,.784,66,0.835443037975,156,1.9746835443,222,2.81012658228,110,1.39240506329,30,0.379746835443,11,0.139240506329,57,0.721518987342,129,575,7.27848101266,
Matt Bullard,HOU,1993-1994, 6-10,PF,26,65,725,11.1538461538,78,226,.345,50,154,.325,20,26,.769,23,0.353846153846,61,0.938461538462,84,1.29230769231,64,0.984615384615,14,0.215384615385,6,0.0923076923077,28,0.430769230769,67,226,3.47692307692,
Matt Bullard,ATL,1995-1996, 6-10,PF,28,46,460,10.0,66,162,.407,26,72,.361,16,20,.800,18,0.391304347826,42,0.913043478261,60,1.30434782609,18,0.391304347826,17,0.369565217391,11,0.239130434783,24,0.521739130435,50,174,3.78260869565,
Matt Bullard,HOU,1996-1997, 6-10,PF,29,71,1025,14.4366197183,114,284,.401,67,183,.366,25,34,.735,13,0.183098591549,104,1.46478873239,117,1.64788732394,67,0.943661971831,21,0.295774647887,18,0.253521126761,38,0.535211267606,68,320,4.50704225352,
Matt Bullard,HOU,1997-1998, 6-10,SF,30,67,1190,17.7611940299,175,389,.450,96,231,.416,20,27,.741,25,0.373134328358,121,1.80597014925,146,2.17910447761,60,0.89552238806,31,0.462686567164,24,0.358208955224,39,0.582089552239,104,466,6.9552238806,
Matt Bullard,HOU,1998-1999, 6-10,PF,31,41,413,10.0731707317,43,114,.377,24,62,.387,7,10,.700,9,0.219512195122,33,0.80487804878,42,1.0243902439,18,0.439024390244,13,0.317073170732,4,0.0975609756098,14,0.341463414634,28,117,2.85365853659,
Matt Bullard,HOU,1999-2000, 6-10,PF,32,56,1024,18.2857142857,139,340,.409,79,177,.446,25,30,.833,13,0.232142857143,125,2.23214285714,138,2.46428571429,63,1.125,19,0.339285714286,13,0.232142857143,36,0.642857142857,85,382,6.82142857143,
Matt Bullard,HOU,2000-2001, 6-10,PF,33,61,1000,16.393442623,129,305,.423,86,213,.404,10,14,.714,22,0.360655737705,108,1.77049180328,130,2.13114754098,42,0.688524590164,10,0.16393442623,9,0.147540983607,12,0.196721311475,76,354,5.80327868852,
Matt Bullard,CHH,2001-2002, 6-10,PF,34,31,350,11.2903225806,39,115,.339,16,57,.281,11,12,.917,10,0.322580645161,37,1.1935483871,47,1.51612903226,16,0.516129032258,2,0.0645161290323,2,0.0645161290323,12,0.387096774194,29,105,3.38709677419,
