Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Matt Carroll,TOT,2003-2004, 6-6,SG,23,16,70,4.375,7,16,.438,1,3,.333,4,6,.667,1,0.0625,5,0.3125,6,0.375,2,0.125,1,0.0625,0,0.0,6,0.375,8,19,1.1875,
Matt Carroll,POR,2003-2004, 6-6,SG,23,13,48,3.69230769231,5,11,.455,1,3,.333,2,2,1.000,0,0.0,3,0.230769230769,3,0.230769230769,1,0.0769230769231,0,0.0,0,0.0,2,0.153846153846,3,13,1.0,
Matt Carroll,SAS,2003-2004, 6-6,SG,23,3,22,7.33333333333,2,5,.400,0,0,.000,2,4,.500,1,0.333333333333,2,0.666666666667,3,1.0,1,0.333333333333,1,0.333333333333,0,0.0,4,1.33333333333,5,6,2.0,
Matt Carroll,CHA,2004-2005, 6-6,SG,24,25,430,17.2,70,180,.389,13,39,.333,71,83,.855,13,0.52,47,1.88,60,2.4,17,0.68,17,0.68,2,0.08,25,1.0,37,224,8.96,
Matt Carroll,CHA,2005-2006, 6-6,SG,25,78,1275,16.3461538462,192,476,.403,72,185,.389,138,168,.821,34,0.435897435897,123,1.57692307692,157,2.01282051282,35,0.448717948718,47,0.602564102564,11,0.141025641026,48,0.615384615385,120,594,7.61538461538,
Matt Carroll,CHA,2006-2007, 6-6,SG,26,72,1878,26.0833333333,285,658,.433,111,267,.416,188,208,.904,35,0.486111111111,172,2.38888888889,207,2.875,91,1.26388888889,53,0.736111111111,9,0.125,73,1.01388888889,176,869,12.0694444444,
Matt Carroll,CHA,2007-2008, 6-6,SG,27,80,2016,25.2,252,589,.428,105,241,.436,111,138,.804,33,0.4125,193,2.4125,226,2.825,73,0.9125,46,0.575,19,0.2375,58,0.725,187,720,9.0,
Matt Carroll,TOT,2008-2009, 6-6,SG,28,55,616,11.2,65,171,.380,13,53,.245,21,25,.840,7,0.127272727273,62,1.12727272727,69,1.25454545455,27,0.490909090909,21,0.381818181818,6,0.109090909091,33,0.6,67,164,2.98181818182,
Matt Carroll,CHA,2008-2009, 6-6,SG,28,34,475,13.9705882353,56,138,.406,12,45,.267,15,19,.789,5,0.147058823529,50,1.47058823529,55,1.61764705882,24,0.705882352941,18,0.529411764706,5,0.147058823529,26,0.764705882353,53,139,4.08823529412,
Matt Carroll,DAL,2008-2009, 6-6,SG,28,21,141,6.71428571429,9,33,.273,1,8,.125,6,6,1.000,2,0.0952380952381,12,0.571428571429,14,0.666666666667,3,0.142857142857,3,0.142857142857,1,0.047619047619,7,0.333333333333,14,25,1.19047619048,
Matt Carroll,DAL,2009-2010, 6-6,SG,29,25,121,4.84,18,50,.360,4,19,.211,6,6,1.000,4,0.16,8,0.32,12,0.48,6,0.24,5,0.2,0,0.0,7,0.28,13,46,1.84,
Matt Carroll,CHA,2010-2011, 6-6,SG,30,54,582,10.7777777778,89,199,.447,17,46,.370,40,52,.769,12,0.222222222222,56,1.03703703704,68,1.25925925926,23,0.425925925926,17,0.314814814815,6,0.111111111111,23,0.425925925926,43,235,4.35185185185,
Matt Carroll,CHA,2011-2012, 6-6,SG,31,53,596,11.2452830189,52,157,.331,8,43,.186,30,38,.789,8,0.150943396226,50,0.943396226415,58,1.09433962264,38,0.716981132075,16,0.301886792453,7,0.132075471698,24,0.452830188679,52,142,2.67924528302,
Matt Carroll,CHA,2012-2013, 6-6,SG,32,1,6,6.0,0,0,.000,0,0,.000,0,0,.000,0,0.0,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,1,0,0.0,
