Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Maurice Lucas,SSL,1974-1975, 6-9,C,22,80,2464,30.8,438,937,.467,2,9,.222,180,229,.786,282,3.525,534,6.675,816,10.2,287,3.5875,89,1.1125,64,0.8,208,2.6,301,1058,13.225,
Maurice Lucas,TOT,1975-1976, 6-9,PF,23,86,2861,33.2674418605,620,1346,.461,3,18,.167,217,283,.767,297,3.45348837209,673,7.82558139535,970,11.2790697674,224,2.60465116279,75,0.872093023256,57,0.662790697674,298,3.46511627907,332,1460,16.976744186,
Maurice Lucas,SSL,1975-1976, 6-9,C,23,28,1065,38.0357142857,252,548,.460,0,11,.000,68,93,.731,106,3.78571428571,316,11.2857142857,422,15.0714285714,77,2.75,19,0.678571428571,21,0.75,112,4.0,104,572,20.4285714286,
Maurice Lucas,KEN,1975-1976, 6-9,PF,23,58,1796,30.9655172414,368,798,.461,3,7,.429,149,190,.784,191,3.29310344828,357,6.15517241379,548,9.44827586207,147,2.53448275862,56,0.965517241379,36,0.620689655172,186,3.20689655172,228,888,15.3103448276,
Maurice Lucas,POR,1976-1977, 6-9,PF,24,79,2863,36.2405063291,632,1357,.466,.000,.000,.000,335,438,.765,271,3.43037974684,628,7.94936708861,899,11.3797468354,229,2.89873417722,83,1.05063291139,56,0.708860759494,.000,0.0,294,1599,20.2405063291,
Maurice Lucas,POR,1977-1978, 6-9,PF,25,68,2119,31.1617647059,453,989,.458,.000,.000,.000,207,270,.767,186,2.73529411765,435,6.39705882353,621,9.13235294118,173,2.54411764706,61,0.897058823529,56,0.823529411765,192,2.82352941176,221,1113,16.3676470588,
Maurice Lucas,POR,1978-1979, 6-9,PF,26,69,2462,35.6811594203,568,1208,.470,.000,.000,.000,270,345,.783,192,2.78260869565,524,7.59420289855,716,10.3768115942,215,3.11594202899,66,0.95652173913,81,1.17391304348,233,3.3768115942,254,1406,20.3768115942,
Maurice Lucas,TOT,1979-1980, 6-9,PF,27,63,1884,29.9047619048,371,813,.456,2,9,.222,179,239,.749,143,2.26984126984,394,6.25396825397,537,8.52380952381,208,3.30158730159,42,0.666666666667,62,0.984126984127,218,3.46031746032,223,923,14.6507936508,
Maurice Lucas,POR,1979-1980, 6-9,PF,27,41,1176,28.6829268293,243,552,.440,2,5,.400,100,137,.730,85,2.07317073171,240,5.85365853659,325,7.92682926829,125,3.0487804878,23,0.560975609756,35,0.853658536585,148,3.60975609756,141,588,14.3414634146,
Maurice Lucas,NJN,1979-1980, 6-9,PF,27,22,708,32.1818181818,128,261,.490,0,4,.000,79,102,.775,58,2.63636363636,154,7.0,212,9.63636363636,83,3.77272727273,19,0.863636363636,27,1.22727272727,70,3.18181818182,82,335,15.2272727273,
Maurice Lucas,NJN,1980-1981, 6-9,PF,28,68,2162,31.7941176471,404,835,.484,0,2,.000,191,254,.752,153,2.25,422,6.20588235294,575,8.45588235294,173,2.54411764706,57,0.838235294118,59,0.867647058824,176,2.58823529412,260,999,14.6911764706,
Maurice Lucas,NYK,1981-1982, 6-9,PF,29,80,2671,33.3875,505,1001,.504,0,3,.000,253,349,.725,274,3.425,629,7.8625,903,11.2875,179,2.2375,68,0.85,70,0.875,173,2.1625,309,1263,15.7875,
Maurice Lucas,PHO,1982-1983, 6-9,PF,30,77,2586,33.5844155844,495,1045,.474,1,3,.333,278,356,.781,201,2.61038961039,598,7.76623376623,799,10.3766233766,219,2.84415584416,56,0.727272727273,43,0.558441558442,221,2.87012987013,274,1269,16.4805194805,
Maurice Lucas,PHO,1983-1984, 6-9,PF,31,75,2309,30.7866666667,451,908,.497,0,5,.000,293,383,.765,208,2.77333333333,517,6.89333333333,725,9.66666666667,203,2.70666666667,55,0.733333333333,39,0.52,177,2.36,235,1195,15.9333333333,
Maurice Lucas,PHO,1984-1985, 6-9,PF,32,63,1670,26.5079365079,346,727,.476,0,4,.000,150,200,.750,138,2.19047619048,419,6.65079365079,557,8.84126984127,145,2.30158730159,39,0.619047619048,17,0.269841269841,151,2.39682539683,183,842,13.3650793651,
Maurice Lucas,LAL,1985-1986, 6-9,PF,33,77,1750,22.7272727273,302,653,.462,1,2,.500,180,230,.783,164,2.12987012987,402,5.22077922078,566,7.35064935065,84,1.09090909091,45,0.584415584416,24,0.311688311688,121,1.57142857143,253,785,10.1948051948,
Maurice Lucas,SEA,1986-1987, 6-9,PF,34,63,1120,17.7777777778,175,388,.451,0,5,.000,150,187,.802,88,1.39682539683,219,3.47619047619,307,4.87301587302,65,1.03174603175,34,0.539682539683,21,0.333333333333,75,1.19047619048,171,500,7.93650793651,
Maurice Lucas,POR,1987-1988, 6-9,PF,35,73,1191,16.3150684932,168,373,.450,0,3,.000,109,148,.736,101,1.38356164384,214,2.93150684932,315,4.31506849315,94,1.28767123288,33,0.452054794521,10,0.13698630137,73,1.0,188,445,6.09589041096,
