Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
McCoy McLemore,SFW,1964-1965, 6-7,SF,22,78,1731,22.1923076923,244,725,.337,.000,.000,.000,157,220,.714,.000,0.0,.000,0.0,488,6.25641025641,81,1.03846153846,.000,0.0,.000,0.0,.000,0.0,224,645,8.26923076923,
McCoy McLemore,SFW,1965-1966, 6-7,SF,23,80,1467,18.3375,225,528,.426,.000,.000,.000,142,191,.743,.000,0.0,.000,0.0,488,6.1,55,0.6875,.000,0.0,.000,0.0,.000,0.0,197,592,7.4,
McCoy McLemore,CHI,1966-1967, 6-7,SF,24,79,1382,17.4936708861,258,670,.385,.000,.000,.000,210,272,.772,.000,0.0,.000,0.0,374,4.73417721519,62,0.784810126582,.000,0.0,.000,0.0,.000,0.0,189,726,9.18987341772,
McCoy McLemore,CHI,1967-1968, 6-7,SF,25,76,2100,27.6315789474,374,940,.398,.000,.000,.000,215,276,.779,.000,0.0,.000,0.0,430,5.65789473684,130,1.71052631579,.000,0.0,.000,0.0,.000,0.0,219,963,12.6710526316,
McCoy McLemore,TOT,1968-1969, 6-7,SF,26,81,1620,20.0,282,722,.391,.000,.000,.000,169,214,.790,.000,0.0,.000,0.0,404,4.98765432099,94,1.16049382716,.000,0.0,.000,0.0,.000,0.0,186,733,9.04938271605,
McCoy McLemore,PHO,1968-1969, 6-7,SF,26,31,710,22.9032258065,141,366,.385,.000,.000,.000,85,110,.773,.000,0.0,.000,0.0,168,5.41935483871,50,1.61290322581,.000,0.0,.000,0.0,.000,0.0,73,367,11.8387096774,
McCoy McLemore,DET,1968-1969, 6-7,SF,26,50,910,18.2,141,356,.396,.000,.000,.000,84,104,.808,.000,0.0,.000,0.0,236,4.72,44,0.88,.000,0.0,.000,0.0,.000,0.0,113,366,7.32,
McCoy McLemore,DET,1969-1970, 6-7,SF,27,73,1421,19.4657534247,233,500,.466,.000,.000,.000,119,145,.821,.000,0.0,.000,0.0,336,4.60273972603,83,1.13698630137,.000,0.0,.000,0.0,.000,0.0,159,585,8.01369863014,
McCoy McLemore,TOT,1970-1971, 6-7,SF,28,86,2254,26.2093023256,303,787,.385,.000,.000,.000,204,261,.782,.000,0.0,.000,0.0,568,6.60465116279,206,2.39534883721,.000,0.0,.000,0.0,.000,0.0,235,810,9.41860465116,
McCoy McLemore,CLE,1970-1971, 6-7,SF,28,58,1839,31.7068965517,254,654,.388,.000,.000,.000,170,220,.773,.000,0.0,.000,0.0,463,7.98275862069,176,3.03448275862,.000,0.0,.000,0.0,.000,0.0,169,678,11.6896551724,
McCoy McLemore,MIL,1970-1971, 6-7,SF,28,28,415,14.8214285714,49,133,.368,.000,.000,.000,34,41,.829,.000,0.0,.000,0.0,105,3.75,30,1.07142857143,.000,0.0,.000,0.0,.000,0.0,66,132,4.71428571429,
McCoy McLemore,TOT,1971-1972, 6-7,SF,29,27,246,9.11111111111,28,71,.394,.000,.000,.000,20,24,.833,.000,0.0,.000,0.0,73,2.7037037037,22,0.814814814815,.000,0.0,.000,0.0,.000,0.0,33,76,2.81481481481,
McCoy McLemore,MIL,1971-1972, 6-7,SF,29,10,99,9.9,9,28,.321,.000,.000,.000,11,12,.917,.000,0.0,.000,0.0,34,3.4,12,1.2,.000,0.0,.000,0.0,.000,0.0,18,29,2.9,
McCoy McLemore,HOU,1971-1972, 6-7,SF,29,17,147,8.64705882353,19,43,.442,.000,.000,.000,9,12,.750,.000,0.0,.000,0.0,39,2.29411764706,10,0.588235294118,.000,0.0,.000,0.0,.000,0.0,15,47,2.76470588235,
