Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Mel Counts,BOS,1964-1965, 7-0,C,23,54,572,10.5925925926,100,272,.368,.000,.000,.000,58,74,.784,.000,0.0,.000,0.0,265,4.90740740741,19,0.351851851852,.000,0.0,.000,0.0,.000,0.0,134,258,4.77777777778,
Mel Counts,BOS,1965-1966, 7-0,C,24,67,1021,15.2388059701,221,549,.403,.000,.000,.000,120,145,.828,.000,0.0,.000,0.0,432,6.44776119403,50,0.746268656716,.000,0.0,.000,0.0,.000,0.0,207,562,8.38805970149,
Mel Counts,TOT,1966-1967, 7-0,C,25,56,860,15.3571428571,177,419,.422,.000,.000,.000,69,94,.734,.000,0.0,.000,0.0,344,6.14285714286,52,0.928571428571,.000,0.0,.000,0.0,.000,0.0,183,423,7.55357142857,
Mel Counts,BAL,1966-1967, 7-0,C,25,25,343,13.72,65,167,.389,.000,.000,.000,29,40,.725,.000,0.0,.000,0.0,155,6.2,30,1.2,.000,0.0,.000,0.0,.000,0.0,81,159,6.36,
Mel Counts,LAL,1966-1967, 7-0,C,25,31,517,16.6774193548,112,252,.444,.000,.000,.000,40,54,.741,.000,0.0,.000,0.0,189,6.09677419355,22,0.709677419355,.000,0.0,.000,0.0,.000,0.0,102,264,8.51612903226,
Mel Counts,LAL,1967-1968, 7-0,PF,26,82,1739,21.2073170732,384,808,.475,.000,.000,.000,190,254,.748,.000,0.0,.000,0.0,732,8.92682926829,139,1.69512195122,.000,0.0,.000,0.0,.000,0.0,309,958,11.6829268293,
Mel Counts,LAL,1968-1969, 7-0,PF,27,77,1866,24.2337662338,390,867,.450,.000,.000,.000,178,221,.805,.000,0.0,.000,0.0,600,7.79220779221,109,1.41558441558,.000,0.0,.000,0.0,.000,0.0,223,958,12.4415584416,
Mel Counts,LAL,1969-1970, 7-0,C,28,81,2193,27.0740740741,434,1017,.427,.000,.000,.000,156,201,.776,.000,0.0,.000,0.0,683,8.43209876543,160,1.97530864198,.000,0.0,.000,0.0,.000,0.0,304,1024,12.6419753086,
Mel Counts,PHO,1970-1971, 7-0,C,29,80,1669,20.8625,365,799,.457,.000,.000,.000,149,198,.753,.000,0.0,.000,0.0,503,6.2875,136,1.7,.000,0.0,.000,0.0,.000,0.0,279,879,10.9875,
Mel Counts,PHO,1971-1972, 7-0,C,30,76,906,11.9210526316,147,344,.427,.000,.000,.000,101,140,.721,.000,0.0,.000,0.0,257,3.38157894737,96,1.26315789474,.000,0.0,.000,0.0,.000,0.0,159,395,5.19736842105,
Mel Counts,TOT,1972-1973, 7-0,C,31,66,658,9.9696969697,132,294,.449,.000,.000,.000,39,58,.672,.000,0.0,.000,0.0,253,3.83333333333,65,0.984848484848,.000,0.0,.000,0.0,.000,0.0,106,303,4.59090909091,
Mel Counts,PHI,1972-1973, 7-0,C,31,7,47,6.71428571429,5,16,.313,.000,.000,.000,0,0,.000,.000,0.0,.000,0.0,16,2.28571428571,3,0.428571428571,.000,0.0,.000,0.0,.000,0.0,8,10,1.42857142857,
Mel Counts,LAL,1972-1973, 7-0,C,31,59,611,10.3559322034,127,278,.457,.000,.000,.000,39,58,.672,.000,0.0,.000,0.0,237,4.01694915254,62,1.05084745763,.000,0.0,.000,0.0,.000,0.0,98,293,4.96610169492,
Mel Counts,LAL,1973-1974, 7-0,C,32,45,499,11.0888888889,61,167,.365,.000,.000,.000,24,33,.727,56,1.24444444444,90,2.0,146,3.24444444444,54,1.2,20,0.444444444444,23,0.511111111111,.000,0.0,85,146,3.24444444444,
Mel Counts,NOJ,1974-1975, 7-0,C,33,75,1421,18.9466666667,217,495,.438,.000,.000,.000,86,113,.761,102,1.36,339,4.52,441,5.88,182,2.42666666667,49,0.653333333333,43,0.573333333333,.000,0.0,196,520,6.93333333333,
Mel Counts,NOJ,1975-1976, 7-0,C,34,30,319,10.6333333333,37,91,.407,.000,.000,.000,16,21,.762,27,0.9,73,2.43333333333,100,3.33333333333,38,1.26666666667,16,0.533333333333,8,0.266666666667,.000,0.0,74,90,3.0,
