Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Michael Bradley,TOR,2001-2002, 6-10,PF,22,26,118,4.53846153846,13,25,.520,0,2,.000,4,8,.500,7,0.269230769231,17,0.653846153846,24,0.923076923077,3,0.115384615385,0,0.0,6,0.230769230769,6,0.230769230769,10,30,1.15384615385,
Michael Bradley,TOR,2002-2003, 6-10,PF,23,67,1314,19.6119402985,151,314,.481,1,6,.167,35,67,.522,162,2.41791044776,247,3.68656716418,409,6.10447761194,67,1.0,16,0.238805970149,32,0.477611940299,76,1.13432835821,125,338,5.0447761194,
Michael Bradley,TOT,2003-2004, 6-10,C-,24,16,98,6.125,7,15,.467,0,0,.000,1,2,.500,6,0.375,17,1.0625,23,1.4375,1,0.0625,3,0.1875,0,0.0,7,0.4375,14,15,0.9375,
Michael Bradley,TOR,2003-2004, 6-10,PF,24,5,38,7.6,1,3,.333,0,0,.000,1,2,.500,1,0.2,10,2.0,11,2.2,1,0.2,1,0.2,0,0.0,3,0.6,6,3,0.6,
Michael Bradley,ATL,2003-2004, 6-10,C,24,11,60,5.45454545455,6,12,.500,0,0,.000,0,0,.000,5,0.454545454545,7,0.636363636364,12,1.09090909091,0,0.0,2,0.181818181818,0,0.0,4,0.363636363636,8,12,1.09090909091,
Michael Bradley,TOT,2004-2005, 6-10,PF,25,18,119,6.61111111111,15,24,.625,0,1,.000,3,8,.375,8,0.444444444444,20,1.11111111111,28,1.55555555556,5,0.277777777778,1,0.0555555555556,2,0.111111111111,5,0.277777777778,12,33,1.83333333333,
Michael Bradley,ORL,2004-2005, 6-10,PF,25,8,55,6.875,3,7,.429,0,0,.000,0,0,.000,3,0.375,11,1.375,14,1.75,2,0.25,1,0.125,2,0.25,1,0.125,4,6,0.75,
Michael Bradley,SAC,2004-2005, 6-10,PF,25,8,48,6.0,8,12,.667,0,0,.000,2,6,.333,5,0.625,6,0.75,11,1.375,2,0.25,0,0.0,0,0.0,3,0.375,8,18,2.25,
Michael Bradley,PHI,2004-2005, 6-10,PF,25,2,16,8.0,4,5,.800,0,1,.000,1,2,.500,0,0.0,3,1.5,3,1.5,1,0.5,0,0.0,0,0.0,1,0.5,0,9,4.5,
Michael Bradley,PHI,2005-2006, 6-10,PF,26,46,367,7.97826086957,32,79,.405,1,5,.200,2,3,.667,40,0.869565217391,67,1.45652173913,107,2.32608695652,17,0.369565217391,5,0.108695652174,7,0.152173913043,19,0.413043478261,39,67,1.45652173913,
