Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Michael Cooper,LAL,1978-1979, 6-5,SG,22,3,7,2.33333333333,3,6,.500,.000,.000,.000,0,0,.000,0,0.0,0,0.0,0,0.0,0,0.0,1,0.333333333333,0,0.0,1,0.333333333333,1,6,2.0,
Michael Cooper,LAL,1979-1980, 6-5,SG,23,82,1973,24.0609756098,303,578,.524,5,20,.250,111,143,.776,101,1.23170731707,128,1.56097560976,229,2.79268292683,221,2.69512195122,86,1.0487804878,38,0.463414634146,142,1.73170731707,215,722,8.80487804878,
Michael Cooper,LAL,1980-1981, 6-5,SG,24,81,2625,32.4074074074,321,654,.491,4,19,.211,117,149,.785,121,1.49382716049,215,2.65432098765,336,4.14814814815,332,4.0987654321,133,1.64197530864,78,0.962962962963,164,2.02469135802,249,763,9.41975308642,
Michael Cooper,LAL,1981-1982, 6-5,SG,25,76,2197,28.9078947368,383,741,.517,2,17,.118,139,171,.813,84,1.10526315789,185,2.43421052632,269,3.53947368421,230,3.02631578947,120,1.57894736842,61,0.802631578947,151,1.98684210526,216,907,11.9342105263,
Michael Cooper,LAL,1982-1983, 6-5,SG,26,82,2148,26.1951219512,266,497,.535,5,21,.238,102,130,.785,82,1.0,192,2.34146341463,274,3.34146341463,315,3.84146341463,115,1.40243902439,50,0.609756097561,128,1.56097560976,208,639,7.79268292683,
Michael Cooper,LAL,1983-1984, 6-5,SG,27,82,2387,29.1097560976,273,549,.497,38,121,.314,155,185,.838,53,0.646341463415,209,2.5487804878,262,3.19512195122,482,5.87804878049,113,1.37804878049,67,0.817073170732,148,1.80487804878,267,739,9.01219512195,
Michael Cooper,LAL,1984-1985, 6-5,SG,28,82,2189,26.6951219512,276,593,.465,35,123,.285,115,133,.865,56,0.682926829268,199,2.42682926829,255,3.10975609756,429,5.23170731707,93,1.13414634146,49,0.59756097561,156,1.90243902439,208,702,8.56097560976,
Michael Cooper,LAL,1985-1986, 6-5,SG,29,82,2269,27.6707317073,274,606,.452,63,163,.387,147,170,.865,44,0.536585365854,200,2.43902439024,244,2.9756097561,466,5.68292682927,89,1.08536585366,43,0.524390243902,151,1.84146341463,238,758,9.24390243902,
Michael Cooper,LAL,1986-1987, 6-5,SG,30,82,2253,27.4756097561,322,736,.438,89,231,.385,126,148,.851,58,0.707317073171,196,2.39024390244,254,3.09756097561,373,4.5487804878,78,0.951219512195,43,0.524390243902,102,1.24390243902,199,859,10.4756097561,
Michael Cooper,LAL,1987-1988, 6-5,SG,31,61,1793,29.393442623,189,482,.392,57,178,.320,97,113,.858,50,0.819672131148,178,2.91803278689,228,3.73770491803,289,4.73770491803,66,1.08196721311,26,0.426229508197,101,1.65573770492,136,532,8.72131147541,
Michael Cooper,LAL,1988-1989, 6-5,SG,32,80,1943,24.2875,213,494,.431,80,210,.381,81,93,.871,33,0.4125,158,1.975,191,2.3875,314,3.925,72,0.9,32,0.4,94,1.175,186,587,7.3375,
Michael Cooper,LAL,1989-1990, 6-5,SG,33,80,1851,23.1375,191,493,.387,50,157,.318,83,94,.883,59,0.7375,168,2.1,227,2.8375,215,2.6875,67,0.8375,36,0.45,91,1.1375,206,515,6.4375,
