Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Michael Doleac,ORL,1998-1999, 6-11,C,21,49,780,15.9183673469,125,267,.468,0,0,.000,54,80,.675,66,1.34693877551,82,1.67346938776,148,3.02040816327,20,0.408163265306,19,0.387755102041,17,0.34693877551,26,0.530612244898,117,304,6.20408163265,
Michael Doleac,ORL,1999-2000, 6-11,C,22,81,1335,16.4814814815,242,535,.452,1,2,.500,80,95,.842,89,1.0987654321,245,3.02469135802,334,4.12345679012,63,0.777777777778,29,0.358024691358,34,0.41975308642,65,0.802469135802,224,565,6.97530864198,
Michael Doleac,ORL,2000-2001, 6-11,C,23,77,1398,18.1558441558,220,527,.417,0,3,.000,50,59,.847,70,0.909090909091,203,2.63636363636,273,3.54545454545,65,0.844155844156,37,0.480519480519,41,0.532467532468,59,0.766233766234,239,490,6.36363636364,
Michael Doleac,CLE,2001-2002, 6-11,C,24,42,705,16.7857142857,78,187,.417,0,0,.000,38,46,.826,47,1.11904761905,121,2.88095238095,168,4.0,25,0.595238095238,15,0.357142857143,11,0.261904761905,37,0.880952380952,98,194,4.61904761905,
Michael Doleac,NYK,2002-2003, 6-11,C,25,75,1041,13.88,146,343,.426,0,0,.000,36,46,.783,65,0.866666666667,154,2.05333333333,219,2.92,42,0.56,16,0.213333333333,16,0.213333333333,49,0.653333333333,150,328,4.37333333333,
Michael Doleac,TOT,2003-2004, 6-11,C,26,72,1029,14.2916666667,140,322,.435,0,0,.000,45,52,.865,88,1.22222222222,177,2.45833333333,265,3.68055555556,44,0.611111111111,23,0.319444444444,36,0.5,48,0.666666666667,142,325,4.51388888889,
Michael Doleac,NYK,2003-2004, 6-11,C,26,46,685,14.8913043478,100,225,.444,0,0,.000,31,36,.861,60,1.30434782609,129,2.80434782609,189,4.10869565217,30,0.652173913043,17,0.369565217391,30,0.652173913043,37,0.804347826087,84,231,5.02173913043,
Michael Doleac,DEN,2003-2004, 6-11,C,26,26,344,13.2307692308,40,97,.412,0,0,.000,14,16,.875,28,1.07692307692,48,1.84615384615,76,2.92307692308,14,0.538461538462,6,0.230769230769,6,0.230769230769,11,0.423076923077,58,94,3.61538461538,
Michael Doleac,MIA,2004-2005, 6-11,C,27,80,1175,14.6875,148,331,.447,0,2,.000,25,41,.610,74,0.925,185,2.3125,259,3.2375,47,0.5875,23,0.2875,22,0.275,36,0.45,160,321,4.0125,
Michael Doleac,MIA,2005-2006, 6-11,C,28,31,371,11.9677419355,37,88,.420,0,0,.000,24,30,.800,23,0.741935483871,62,2.0,85,2.74193548387,8,0.258064516129,10,0.322580645161,7,0.225806451613,14,0.451612903226,45,98,3.16129032258,
Michael Doleac,MIA,2006-2007, 6-11,C,29,56,698,12.4642857143,82,175,.469,0,1,.000,36,41,.878,44,0.785714285714,111,1.98214285714,155,2.76785714286,22,0.392857142857,18,0.321428571429,15,0.267857142857,30,0.535714285714,96,200,3.57142857143,
Michael Doleac,MIN,2007-2008, 6-11,C,30,24,257,10.7083333333,28,63,.444,0,0,.000,1,2,.500,16,0.666666666667,33,1.375,49,2.04166666667,7,0.291666666667,10,0.416666666667,10,0.416666666667,12,0.5,44,57,2.375,
