Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Michael Finley,PHO,1995-1996, 6-7,SF,22,82,3212,39.1707317073,465,976,.476,61,186,.328,242,323,.749,139,1.69512195122,235,2.86585365854,374,4.56097560976,289,3.5243902439,85,1.03658536585,31,0.378048780488,133,1.62195121951,199,1233,15.0365853659,
Michael Finley,TOT,1996-1997, 6-7,SF,23,83,2790,33.6144578313,475,1071,.444,101,280,.361,198,245,.808,88,1.06024096386,284,3.42168674699,372,4.48192771084,224,2.69879518072,68,0.819277108434,24,0.289156626506,164,1.97590361446,138,1249,15.0481927711,
Michael Finley,PHO,1996-1997, 6-7,SF,23,27,796,29.4814814815,141,297,.475,14,55,.255,56,69,.812,34,1.25925925926,86,3.18518518519,120,4.44444444444,68,2.51851851852,18,0.666666666667,4,0.148148148148,44,1.62962962963,42,352,13.037037037,
Michael Finley,DAL,1996-1997, 6-7,SF,23,56,1994,35.6071428571,334,774,.432,87,225,.387,142,176,.807,54,0.964285714286,198,3.53571428571,252,4.5,156,2.78571428571,50,0.892857142857,20,0.357142857143,120,2.14285714286,96,897,16.0178571429,
Michael Finley,DAL,1997-1998, 6-7,SF,24,82,3394,41.3902439024,675,1505,.449,87,244,.357,326,416,.784,149,1.81707317073,289,3.5243902439,438,5.34146341463,405,4.93902439024,132,1.60975609756,30,0.365853658537,219,2.67073170732,163,1763,21.5,
Michael Finley,DAL,1998-1999, 6-7,SF,25,50,2051,41.02,389,876,.444,45,136,.331,186,226,.823,69,1.38,194,3.88,263,5.26,218,4.36,66,1.32,15,0.3,107,2.14,96,1009,20.18,
Michael Finley,DAL,1999-2000, 6-7,SF,26,82,3464,42.243902439,748,1636,.457,99,247,.401,260,317,.820,122,1.48780487805,396,4.82926829268,518,6.31707317073,438,5.34146341463,109,1.32926829268,32,0.390243902439,196,2.39024390244,171,1855,22.6219512195,
Michael Finley,DAL,2000-2001, 6-7,SF,27,82,3443,41.987804878,711,1552,.458,91,263,.346,252,325,.775,109,1.32926829268,316,3.85365853659,425,5.18292682927,360,4.39024390244,118,1.43902439024,32,0.390243902439,190,2.31707317073,174,1765,21.5243902439,
Michael Finley,DAL,2001-2002, 6-7,SF,28,69,2754,39.9130434783,569,1228,.463,76,224,.339,210,251,.837,90,1.30434782609,270,3.91304347826,360,5.21739130435,230,3.33333333333,65,0.942028985507,25,0.36231884058,117,1.69565217391,144,1424,20.6376811594,
Michael Finley,DAL,2002-2003, 6-7,SF,29,69,2642,38.2898550725,507,1193,.425,119,322,.370,198,230,.861,107,1.55072463768,295,4.27536231884,402,5.82608695652,205,2.97101449275,76,1.10144927536,21,0.304347826087,114,1.65217391304,105,1331,19.2898550725,
Michael Finley,DAL,2003-2004, 6-7,SG,30,72,2778,38.5833333333,514,1159,.443,150,370,.405,164,193,.850,78,1.08333333333,247,3.43055555556,325,4.51388888889,212,2.94444444444,84,1.16666666667,39,0.541666666667,83,1.15277777778,118,1342,18.6388888889,
Michael Finley,DAL,2004-2005, 6-7,SG,31,64,2358,36.84375,387,907,.427,116,285,.407,113,136,.831,45,0.703125,217,3.390625,262,4.09375,169,2.640625,48,0.75,18,0.28125,60,0.9375,123,1003,15.671875,
Michael Finley,SAS,2005-2006, 6-7,SG,32,77,2038,26.4675324675,286,695,.412,110,279,.394,98,115,.852,31,0.402597402597,216,2.80519480519,247,3.20779220779,116,1.50649350649,37,0.480519480519,7,0.0909090909091,62,0.805194805195,97,780,10.1298701299,
Michael Finley,SAS,2006-2007, 6-7,SF,33,82,1823,22.2317073171,273,663,.412,104,286,.364,90,98,.918,34,0.414634146341,189,2.30487804878,223,2.71951219512,108,1.31707317073,32,0.390243902439,16,0.19512195122,46,0.560975609756,76,740,9.0243902439,
Michael Finley,SAS,2007-2008, 6-7,SG,34,82,2204,26.8780487805,315,761,.414,132,357,.370,64,80,.800,27,0.329268292683,227,2.76829268293,254,3.09756097561,114,1.39024390244,29,0.353658536585,10,0.121951219512,56,0.682926829268,93,826,10.0731707317,
Michael Finley,SAS,2008-2009, 6-7,SF,35,81,2336,28.8395061728,301,689,.437,131,319,.411,51,62,.823,26,0.320987654321,244,3.01234567901,270,3.33333333333,114,1.40740740741,37,0.456790123457,17,0.20987654321,61,0.753086419753,82,784,9.67901234568,
Michael Finley,TOT,2009-2010, 6-7,SF,36,46,709,15.4130434783,81,184,.440,32,82,.390,8,15,.533,6,0.130434782609,65,1.41304347826,71,1.54347826087,43,0.934782608696,10,0.217391304348,6,0.130434782609,21,0.45652173913,33,202,4.39130434783,
Michael Finley,SAS,2009-2010, 6-7,SF,36,25,395,15.8,37,97,.381,13,41,.317,6,9,.667,5,0.2,33,1.32,38,1.52,19,0.76,6,0.24,4,0.16,13,0.52,12,93,3.72,
Michael Finley,BOS,2009-2010, 6-7,SF,36,21,314,14.9523809524,44,87,.506,19,41,.463,2,6,.333,1,0.047619047619,32,1.52380952381,33,1.57142857143,24,1.14285714286,4,0.190476190476,2,0.0952380952381,8,0.380952380952,21,109,5.19047619048,
