Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Michael Stewart,SAC,1997-1998, 6-10,C,22,81,1761,21.7407407407,155,323,.480,0,0,.000,65,142,.458,197,2.43209876543,339,4.18518518519,536,6.61728395062,61,0.753086419753,29,0.358024691358,195,2.40740740741,85,1.04938271605,251,375,4.62962962963,
Michael Stewart,TOR,1998-1999, 6-10,C,23,42,394,9.38095238095,22,53,.415,0,0,.000,17,25,.680,43,1.02380952381,56,1.33333333333,99,2.35714285714,5,0.119047619048,4,0.0952380952381,28,0.666666666667,12,0.285714285714,76,61,1.45238095238,
Michael Stewart,TOR,1999-2000, 6-10,C,24,42,389,9.2619047619,20,53,.377,0,0,.000,18,32,.563,33,0.785714285714,61,1.45238095238,94,2.2380952381,6,0.142857142857,5,0.119047619048,19,0.452380952381,17,0.404761904762,81,58,1.38095238095,
Michael Stewart,TOR,2000-2001, 6-10,C,25,26,123,4.73076923077,11,34,.324,0,0,.000,11,18,.611,16,0.615384615385,13,0.5,29,1.11538461538,2,0.0769230769231,4,0.153846153846,3,0.115384615385,5,0.192307692308,19,33,1.26923076923,
Michael Stewart,TOR,2001-2002, 6-10,C,26,11,93,8.45454545455,8,23,.348,0,0,.000,6,11,.545,12,1.09090909091,13,1.18181818182,25,2.27272727273,3,0.272727272727,4,0.363636363636,3,0.272727272727,4,0.363636363636,22,22,2.0,
Michael Stewart,CLE,2002-2003, 6-10,PF,27,47,251,5.34042553191,14,37,.378,0,0,.000,8,12,.667,19,0.404255319149,36,0.765957446809,55,1.17021276596,6,0.127659574468,2,0.0425531914894,15,0.31914893617,10,0.212765957447,42,36,0.765957446809,
Michael Stewart,TOT,2003-2004, 6-10,C-,28,25,147,5.88,5,12,.417,0,0,.000,3,4,.750,8,0.32,21,0.84,29,1.16,0,0.0,2,0.08,10,0.4,3,0.12,34,13,0.52,
Michael Stewart,CLE,2003-2004, 6-10,PF,28,8,76,9.5,3,7,.429,0,0,.000,2,2,1.000,5,0.625,13,1.625,18,2.25,0,0.0,1,0.125,8,1.0,1,0.125,21,8,1.0,
Michael Stewart,BOS,2003-2004, 6-10,C,28,17,71,4.17647058824,2,5,.400,0,0,.000,1,2,.500,3,0.176470588235,8,0.470588235294,11,0.647058823529,0,0.0,1,0.0588235294118,2,0.117647058824,2,0.117647058824,13,5,0.294117647059,
Michael Stewart,ATL,2004-2005, 6-10,PF,29,12,145,12.0833333333,11,21,.524,0,0,.000,3,7,.429,21,1.75,19,1.58333333333,40,3.33333333333,5,0.416666666667,6,0.5,5,0.416666666667,6,0.5,32,25,2.08333333333,
