Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Micheal Ray Richardson,NYK,1978-1979, 6-5,PG,23,72,1218,16.9166666667,200,483,.414,.000,.000,.000,69,128,.539,78,1.08333333333,155,2.15277777778,233,3.23611111111,213,2.95833333333,100,1.38888888889,18,0.25,141,1.95833333333,188,469,6.51388888889,
Micheal Ray Richardson,NYK,1979-1980, 6-5,SG,24,82,3060,37.3170731707,502,1063,.472,27,110,.245,223,338,.660,151,1.84146341463,388,4.73170731707,539,6.57317073171,832,10.1463414634,265,3.23170731707,35,0.426829268293,359,4.37804878049,260,1254,15.2926829268,
Micheal Ray Richardson,NYK,1980-1981, 6-5,SG,25,79,3175,40.1898734177,523,1116,.469,23,102,.225,224,338,.663,173,2.18987341772,372,4.70886075949,545,6.89873417722,627,7.93670886076,232,2.93670886076,35,0.443037974684,302,3.82278481013,258,1293,16.3670886076,
Micheal Ray Richardson,NYK,1981-1982, 6-5,PG,26,82,3044,37.1219512195,619,1343,.461,19,101,.188,212,303,.700,177,2.15853658537,388,4.73170731707,565,6.89024390244,572,6.9756097561,213,2.59756097561,41,0.5,291,3.5487804878,317,1469,17.9146341463,
Micheal Ray Richardson,TOT,1982-1983, 6-5,PG,27,64,2076,32.4375,346,815,.425,8,51,.157,106,163,.650,113,1.765625,182,2.84375,295,4.609375,432,6.75,182,2.84375,24,0.375,244,3.8125,240,806,12.59375,
Micheal Ray Richardson,GSW,1982-1983, 6-5,PG,27,33,1074,32.5454545455,176,427,.412,4,31,.129,55,87,.632,45,1.36363636364,100,3.0303030303,145,4.39393939394,245,7.42424242424,101,3.06060606061,9,0.272727272727,137,4.15151515152,124,411,12.4545454545,
Micheal Ray Richardson,NJN,1982-1983, 6-5,PG,27,31,1002,32.3225806452,170,388,.438,4,20,.200,51,76,.671,68,2.1935483871,82,2.64516129032,150,4.83870967742,187,6.03225806452,81,2.61290322581,15,0.483870967742,107,3.45161290323,116,395,12.7419354839,
Micheal Ray Richardson,NJN,1983-1984, 6-5,PG,28,48,1285,26.7708333333,243,528,.460,14,58,.241,76,108,.704,56,1.16666666667,116,2.41666666667,172,3.58333333333,214,4.45833333333,103,2.14583333333,20,0.416666666667,118,2.45833333333,156,576,12.0,
Micheal Ray Richardson,NJN,1984-1985, 6-5,PG,29,82,3127,38.1341463415,690,1470,.469,29,115,.252,240,313,.767,156,1.90243902439,301,3.67073170732,457,5.57317073171,669,8.15853658537,243,2.96341463415,22,0.268292682927,249,3.03658536585,277,1649,20.1097560976,
Micheal Ray Richardson,NJN,1985-1986, 6-5,PG,30,47,1604,34.1276595745,296,661,.448,4,27,.148,141,179,.788,77,1.63829787234,173,3.68085106383,250,5.31914893617,340,7.23404255319,125,2.65957446809,11,0.234042553191,150,3.1914893617,163,737,15.6808510638,
