Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Mike Gminski,NJN,1980-1981, 6-11,C,21,56,1579,28.1964285714,291,688,.423,0,1,.000,155,202,.767,137,2.44642857143,282,5.03571428571,419,7.48214285714,72,1.28571428571,54,0.964285714286,100,1.78571428571,128,2.28571428571,127,737,13.1607142857,
Mike Gminski,NJN,1981-1982, 6-11,C,22,64,740,11.5625,119,270,.441,0,0,.000,97,118,.822,70,1.09375,116,1.8125,186,2.90625,41,0.640625,17,0.265625,48,0.75,56,0.875,69,335,5.234375,
Mike Gminski,NJN,1982-1983, 6-11,C,23,80,1255,15.6875,213,426,.500,0,1,.000,175,225,.778,154,1.925,228,2.85,382,4.775,61,0.7625,35,0.4375,116,1.45,126,1.575,118,601,7.5125,
Mike Gminski,NJN,1983-1984, 6-11,C,24,82,1655,20.1829268293,237,462,.513,0,3,.000,147,184,.799,161,1.96341463415,272,3.31707317073,433,5.28048780488,92,1.12195121951,37,0.451219512195,70,0.853658536585,120,1.46341463415,162,621,7.57317073171,
Mike Gminski,NJN,1984-1985, 6-11,C,25,81,2418,29.8518518519,380,818,.465,0,1,.000,276,328,.841,229,2.82716049383,404,4.98765432099,633,7.81481481481,158,1.95061728395,38,0.469135802469,92,1.13580246914,136,1.67901234568,135,1036,12.7901234568,
Mike Gminski,NJN,1985-1986, 6-11,C,26,81,2525,31.1728395062,491,949,.517,0,1,.000,351,393,.893,206,2.54320987654,462,5.7037037037,668,8.24691358025,133,1.64197530864,56,0.691358024691,71,0.876543209877,140,1.72839506173,163,1333,16.4567901235,
Mike Gminski,NJN,1986-1987, 6-11,C,27,72,2272,31.5555555556,433,947,.457,0,0,.000,313,370,.846,192,2.66666666667,438,6.08333333333,630,8.75,99,1.375,52,0.722222222222,69,0.958333333333,129,1.79166666667,159,1179,16.375,
Mike Gminski,TOT,1987-1988, 6-11,C,28,81,2961,36.5555555556,505,1126,.448,0,2,.000,355,392,.906,245,3.02469135802,569,7.02469135802,814,10.049382716,139,1.71604938272,64,0.79012345679,118,1.45679012346,177,2.18518518519,176,1365,16.8518518519,
Mike Gminski,NJN,1987-1988, 6-11,C,28,34,1194,35.1176470588,215,474,.454,0,2,.000,143,166,.861,82,2.41176470588,238,7.0,320,9.41176470588,55,1.61764705882,28,0.823529411765,33,0.970588235294,83,2.44117647059,78,573,16.8529411765,
Mike Gminski,PHI,1987-1988, 6-11,C,28,47,1767,37.5957446809,290,652,.445,0,0,.000,212,226,.938,163,3.46808510638,331,7.04255319149,494,10.5106382979,84,1.78723404255,36,0.765957446809,85,1.8085106383,94,2.0,98,792,16.8510638298,
Mike Gminski,PHI,1988-1989, 6-11,C,29,82,2739,33.4024390244,556,1166,.477,0,6,.000,297,341,.871,213,2.59756097561,556,6.78048780488,769,9.37804878049,138,1.68292682927,46,0.560975609756,106,1.29268292683,129,1.57317073171,142,1409,17.1829268293,
Mike Gminski,PHI,1989-1990, 6-11,C,30,81,2659,32.8271604938,458,1002,.457,3,17,.176,193,235,.821,196,2.41975308642,491,6.06172839506,687,8.48148148148,128,1.58024691358,43,0.530864197531,102,1.25925925926,98,1.20987654321,136,1112,13.7283950617,
Mike Gminski,TOT,1990-1991, 6-11,C,31,80,2196,27.45,357,808,.442,2,14,.143,128,158,.810,186,2.325,396,4.95,582,7.275,93,1.1625,40,0.5,56,0.7,85,1.0625,99,844,10.55,
Mike Gminski,PHI,1990-1991, 6-11,C,31,30,791,26.3666666667,109,284,.384,1,8,.125,53,63,.841,71,2.36666666667,130,4.33333333333,201,6.7,33,1.1,16,0.533333333333,34,1.13333333333,31,1.03333333333,41,272,9.06666666667,
Mike Gminski,CHH,1990-1991, 6-11,C,31,50,1405,28.1,248,524,.473,1,6,.167,75,95,.789,115,2.3,266,5.32,381,7.62,60,1.2,24,0.48,22,0.44,54,1.08,58,572,11.44,
Mike Gminski,CHH,1991-1992, 6-11,C,32,35,499,14.2571428571,90,199,.452,1,3,.333,21,28,.750,37,1.05714285714,81,2.31428571429,118,3.37142857143,31,0.885714285714,11,0.314285714286,16,0.457142857143,20,0.571428571429,37,202,5.77142857143,
Mike Gminski,CHH,1992-1993, 6-11,C,33,34,251,7.38235294118,42,83,.506,0,0,.000,9,10,.900,34,1.0,51,1.5,85,2.5,7,0.205882352941,1,0.0294117647059,9,0.264705882353,11,0.323529411765,28,93,2.73529411765,
Mike Gminski,TOT,1993-1994, 6-11,C,34,29,309,10.6551724138,36,103,.350,0,0,.000,14,18,.778,22,0.758620689655,52,1.79310344828,74,2.55172413793,11,0.379310344828,13,0.448275862069,16,0.551724137931,13,0.448275862069,23,86,2.96551724138,
Mike Gminski,CHH,1993-1994, 6-11,C,34,21,255,12.1428571429,31,79,.392,0,0,.000,11,14,.786,19,0.904761904762,40,1.90476190476,59,2.80952380952,11,0.52380952381,13,0.619047619048,13,0.619047619048,11,0.52380952381,20,73,3.47619047619,
Mike Gminski,MIL,1993-1994, 6-11,C,34,8,54,6.75,5,24,.208,0,0,.000,3,4,.750,3,0.375,12,1.5,15,1.875,0,0.0,0,0.0,3,0.375,2,0.25,3,13,1.625,
