Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Mike James,MIA,2001-2002, 6-2,PG,26,15,119,7.93333333333,15,43,.349,8,21,.381,4,7,.571,2,0.133333333333,12,0.8,14,0.933333333333,19,1.26666666667,6,0.4,1,0.0666666666667,13,0.866666666667,17,42,2.8,
Mike James,MIA,2002-2003, 6-2,PG,27,78,1722,22.0769230769,218,585,.373,67,228,.294,104,142,.732,26,0.333333333333,123,1.57692307692,149,1.91025641026,246,3.15384615385,64,0.820512820513,5,0.0641025641026,108,1.38461538462,176,607,7.78205128205,
Mike James,TOT,2003-2004, 6-2,PG,28,81,2196,27.1111111111,272,657,.414,106,281,.377,103,127,.811,28,0.345679012346,206,2.54320987654,234,2.88888888889,339,4.18518518519,96,1.18518518519,3,0.037037037037,124,1.53086419753,156,753,9.2962962963,
Mike James,BOS,2003-2004, 6-2,PG,28,55,1684,30.6181818182,213,510,.418,86,226,.381,76,95,.800,20,0.363636363636,156,2.83636363636,176,3.2,244,4.43636363636,70,1.27272727273,2,0.0363636363636,83,1.50909090909,113,588,10.6909090909,
Mike James,DET,2003-2004, 6-2,PG,28,26,512,19.6923076923,59,147,.401,20,55,.364,27,32,.844,8,0.307692307692,50,1.92307692308,58,2.23076923077,95,3.65384615385,26,1.0,1,0.0384615384615,41,1.57692307692,43,165,6.34615384615,
Mike James,TOT,2004-2005, 6-2,PG,29,74,1859,25.1216216216,331,751,.441,100,259,.386,109,145,.752,35,0.472972972973,173,2.33783783784,208,2.81081081081,263,3.55405405405,65,0.878378378378,6,0.0810810810811,106,1.43243243243,174,871,11.7702702703,
Mike James,MIL,2004-2005, 6-2,PG,29,47,1167,24.829787234,205,460,.446,58,152,.382,67,90,.744,23,0.489361702128,99,2.10638297872,122,2.59574468085,185,3.93617021277,40,0.851063829787,4,0.0851063829787,80,1.70212765957,114,535,11.3829787234,
Mike James,HOU,2004-2005, 6-2,PG,29,27,692,25.6296296296,126,291,.433,42,107,.393,42,55,.764,12,0.444444444444,74,2.74074074074,86,3.18518518519,78,2.88888888889,25,0.925925925926,2,0.0740740740741,26,0.962962962963,60,336,12.4444444444,
Mike James,TOR,2005-2006, 6-2,PG,30,79,2925,37.0253164557,576,1228,.469,169,382,.442,283,338,.837,45,0.569620253165,217,2.74683544304,262,3.3164556962,460,5.82278481013,72,0.911392405063,3,0.0379746835443,206,2.60759493671,214,1604,20.3037974684,
Mike James,MIN,2006-2007, 6-2,PG,31,82,2069,25.2317073171,297,703,.422,80,215,.372,154,184,.837,25,0.30487804878,138,1.68292682927,163,1.98780487805,297,3.62195121951,55,0.670731707317,7,0.0853658536585,129,1.57317073171,171,828,10.0975609756,
Mike James,TOT,2007-2008, 6-2,PG,32,54,720,13.3333333333,101,290,.348,31,97,.320,39,48,.813,14,0.259259259259,55,1.01851851852,69,1.27777777778,60,1.11111111111,21,0.388888888889,2,0.037037037037,36,0.666666666667,56,272,5.03703703704,
Mike James,HOU,2007-2008, 6-2,PG,32,33,537,16.2727272727,79,226,.350,24,74,.324,33,42,.786,11,0.333333333333,41,1.24242424242,52,1.57575757576,54,1.63636363636,17,0.515151515152,2,0.0606060606061,29,0.878787878788,44,215,6.51515151515,
Mike James,NOH,2007-2008, 6-2,PG,32,21,183,8.71428571429,22,64,.344,7,23,.304,6,6,1.000,3,0.142857142857,14,0.666666666667,17,0.809523809524,6,0.285714285714,4,0.190476190476,0,0.0,7,0.333333333333,12,57,2.71428571429,
Mike James,TOT,2008-2009, 6-2,PG,33,61,1649,27.0327868852,197,514,.383,69,184,.375,68,82,.829,25,0.409836065574,108,1.77049180328,133,2.18032786885,201,3.29508196721,44,0.72131147541,6,0.0983606557377,94,1.54098360656,108,531,8.70491803279,
Mike James,NOH,2008-2009, 6-2,PG,33,8,74,9.25,8,25,.320,3,4,.750,1,2,.500,1,0.125,6,0.75,7,0.875,8,1.0,2,0.25,0,0.0,3,0.375,7,20,2.5,
Mike James,WAS,2008-2009, 6-2,PG,33,53,1575,29.7169811321,189,489,.387,66,180,.367,67,80,.838,24,0.452830188679,102,1.92452830189,126,2.37735849057,193,3.64150943396,42,0.792452830189,6,0.11320754717,91,1.71698113208,101,511,9.64150943396,
Mike James,WAS,2009-2010, 6-2,PG,34,4,46,11.5,6,20,.300,2,6,.333,4,8,.500,1,0.25,2,0.5,3,0.75,5,1.25,3,0.75,0,0.0,5,1.25,3,18,4.5,
Mike James,CHI,2011-2012, 6-2,PG,36,11,120,10.9090909091,20,49,.408,6,10,.600,7,8,.875,2,0.181818181818,8,0.727272727273,10,0.909090909091,29,2.63636363636,4,0.363636363636,2,0.181818181818,14,1.27272727273,20,53,4.81818181818,
Mike James,DAL,2012-2013, 6-2,PG,37,26,375,14.4230769231,45,136,.331,20,57,.351,11,15,.733,5,0.192307692308,27,1.03846153846,32,1.23076923077,57,2.19230769231,9,0.346153846154,0,0.0,22,0.846153846154,46,121,4.65384615385,
