Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Mike Miller,ORL,2000-2001, 6-8,SF,20,82,2390,29.1463414634,368,845,.436,148,364,.407,91,128,.711,66,0.80487804878,261,3.18292682927,327,3.98780487805,140,1.70731707317,51,0.621951219512,19,0.231707317073,97,1.18292682927,200,975,11.8902439024,
Mike Miller,ORL,2001-2002, 6-8,SF,21,63,2123,33.6984126984,351,802,.438,116,303,.383,138,181,.762,49,0.777777777778,224,3.55555555556,273,4.33333333333,198,3.14285714286,47,0.746031746032,23,0.365079365079,108,1.71428571429,145,956,15.1746031746,
Mike Miller,TOT,2002-2003, 6-8,SF,22,65,2186,33.6307692308,373,859,.434,109,300,.363,156,186,.839,46,0.707692307692,295,4.53846153846,341,5.24615384615,170,2.61538461538,42,0.646153846154,21,0.323076923077,125,1.92307692308,173,1011,15.5538461538,
Mike Miller,ORL,2002-2003, 6-8,SF,22,49,1826,37.2653061224,296,708,.418,87,256,.340,127,150,.847,40,0.816326530612,246,5.02040816327,286,5.83673469388,139,2.83673469388,36,0.734693877551,16,0.326530612245,99,2.02040816327,139,806,16.4489795918,
Mike Miller,MEM,2002-2003, 6-8,SF,22,16,360,22.5,77,151,.510,22,44,.500,29,36,.806,6,0.375,49,3.0625,55,3.4375,31,1.9375,6,0.375,5,0.3125,26,1.625,34,205,12.8125,
Mike Miller,MEM,2003-2004, 6-8,SF,23,65,1770,27.2307692308,270,616,.438,80,215,.372,102,141,.723,42,0.646153846154,174,2.67692307692,216,3.32307692308,232,3.56923076923,59,0.907692307692,14,0.215384615385,107,1.64615384615,162,722,11.1076923077,
Mike Miller,MEM,2004-2005, 6-8,SF,24,76,2278,29.9736842105,387,766,.505,140,323,.433,108,150,.720,36,0.473684210526,264,3.47368421053,300,3.94736842105,220,2.89473684211,54,0.710526315789,23,0.302631578947,127,1.67105263158,197,1022,13.4473684211,
Mike Miller,MEM,2005-2006, 6-8,SG,25,74,2268,30.6486486486,354,760,.466,138,339,.407,168,210,.800,42,0.567567567568,355,4.7972972973,397,5.36486486486,200,2.7027027027,52,0.702702702703,27,0.364864864865,140,1.89189189189,173,1014,13.7027027027,
Mike Miller,MEM,2006-2007, 6-8,SG,26,70,2740,39.1428571429,465,1010,.460,202,498,.406,161,203,.793,52,0.742857142857,326,4.65714285714,378,5.4,298,4.25714285714,54,0.771428571429,18,0.257142857143,179,2.55714285714,138,1293,18.4714285714,
Mike Miller,MEM,2007-2008, 6-8,SG,27,70,2474,35.3428571429,414,824,.502,155,359,.432,164,212,.774,51,0.728571428571,416,5.94285714286,467,6.67142857143,240,3.42857142857,35,0.5,16,0.228571428571,182,2.6,145,1147,16.3857142857,
Mike Miller,MIN,2008-2009, 6-8,SF,28,73,2356,32.2739726027,264,548,.482,85,225,.378,109,149,.732,73,1.0,410,5.61643835616,483,6.61643835616,326,4.46575342466,30,0.41095890411,31,0.424657534247,145,1.98630136986,139,722,9.8904109589,
Mike Miller,WAS,2009-2010, 6-8,SG,29,54,1805,33.4259259259,217,433,.501,82,171,.480,70,85,.824,55,1.01851851852,281,5.2037037037,336,6.22222222222,213,3.94444444444,39,0.722222222222,12,0.222222222222,115,2.12962962963,131,586,10.8518518519,
Mike Miller,MIA,2010-2011, 6-8,SG,30,41,838,20.4390243902,81,202,.401,43,118,.364,23,34,.676,38,0.926829268293,146,3.56097560976,184,4.48780487805,51,1.24390243902,20,0.487804878049,2,0.0487804878049,41,1.0,88,228,5.56097560976,
Mike Miller,MIA,2011-2012, 6-8,SG,31,39,752,19.2820512821,91,209,.435,53,117,.453,2,5,.400,22,0.564102564103,106,2.71794871795,128,3.28205128205,42,1.07692307692,14,0.358974358974,6,0.153846153846,30,0.769230769231,58,237,6.07692307692,
Mike Miller,MIA,2012-2013, 6-8,SF,32,43,556,12.9302325581,50,132,.379,37,101,.366,4,4,1.000,11,0.255813953488,81,1.88372093023,92,2.13953488372,51,1.18604651163,13,0.302325581395,2,0.046511627907,15,0.348837209302,40,141,3.27906976744,
