Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Mike Mitchell,CLE,1978-1979, 6-7,SF,23,80,1576,19.7,362,706,.513,.000,.000,.000,131,178,.736,127,1.5875,202,2.525,329,4.1125,60,0.75,51,0.6375,29,0.3625,102,1.275,215,855,10.6875,
Mike Mitchell,CLE,1979-1980, 6-7,SF,24,82,2802,34.1707317073,775,1482,.523,0,6,.000,270,343,.787,206,2.51219512195,385,4.69512195122,591,7.20731707317,93,1.13414634146,70,0.853658536585,77,0.939024390244,172,2.09756097561,259,1820,22.1951219512,
Mike Mitchell,CLE,1980-1981, 6-7,SF,25,82,3194,38.9512195122,853,1791,.476,4,9,.444,302,385,.784,215,2.62195121951,287,3.5,502,6.12195121951,139,1.69512195122,63,0.768292682927,52,0.634146341463,175,2.13414634146,199,2012,24.5365853659,
Mike Mitchell,TOT,1981-1982, 6-7,SF,26,84,3063,36.4642857143,753,1477,.510,0,7,.000,220,302,.728,244,2.90476190476,346,4.11904761905,590,7.02380952381,82,0.97619047619,60,0.714285714286,43,0.511904761905,153,1.82142857143,277,1726,20.5476190476,
Mike Mitchell,CLE,1981-1982, 6-7,SF,26,27,973,36.037037037,229,504,.454,0,6,.000,72,100,.720,71,2.62962962963,70,2.59259259259,141,5.22222222222,39,1.44444444444,27,1.0,15,0.555555555556,55,2.03703703704,77,530,19.6296296296,
Mike Mitchell,SAS,1981-1982, 6-7,SF,26,57,2090,36.6666666667,524,973,.539,0,1,.000,148,202,.733,173,3.0350877193,276,4.84210526316,449,7.87719298246,43,0.754385964912,33,0.578947368421,28,0.491228070175,98,1.71929824561,200,1196,20.9824561404,
Mike Mitchell,SAS,1982-1983, 6-7,SF,27,80,2803,35.0375,686,1342,.511,0,3,.000,219,289,.758,188,2.35,349,4.3625,537,6.7125,98,1.225,57,0.7125,52,0.65,126,1.575,248,1591,19.8875,
Mike Mitchell,SAS,1983-1984, 6-7,SF,28,79,2853,36.1139240506,779,1597,.488,6,14,.429,275,353,.779,188,2.37974683544,382,4.83544303797,570,7.21518987342,93,1.17721518987,62,0.784810126582,73,0.924050632911,141,1.78481012658,251,1839,23.2784810127,
Mike Mitchell,SAS,1984-1985, 6-7,SF,29,82,2853,34.7926829268,775,1558,.497,5,23,.217,269,346,.777,145,1.76829268293,272,3.31707317073,417,5.08536585366,151,1.84146341463,61,0.743902439024,27,0.329268292683,144,1.75609756098,219,1824,22.243902439,
Mike Mitchell,SAS,1985-1986, 6-7,SF,30,82,2970,36.2195121951,802,1697,.473,0,12,.000,317,392,.809,134,1.63414634146,275,3.35365853659,409,4.98780487805,188,2.29268292683,56,0.682926829268,25,0.30487804878,184,2.24390243902,175,1921,23.4268292683,
Mike Mitchell,SAS,1986-1987, 6-7,SF,31,40,922,23.05,208,478,.435,1,2,.500,92,112,.821,38,0.95,65,1.625,103,2.575,38,0.95,19,0.475,9,0.225,51,1.275,68,509,12.725,
Mike Mitchell,SAS,1987-1988, 6-7,SF,32,68,1501,22.0735294118,378,784,.482,3,12,.250,160,194,.825,54,0.794117647059,144,2.11764705882,198,2.91176470588,68,1.0,31,0.455882352941,13,0.191176470588,52,0.764705882353,101,919,13.5147058824,
