Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Mikki Moore,DET,1998-1999, 6-11,C,23,2,6,3.0,1,1,1.000,0,0,.000,2,2,1.000,0,0.0,1,0.5,1,0.5,0,0.0,0,0.0,0,0.0,0,0.0,0,4,2.0,
Mikki Moore,DET,1999-2000, 6-11,C,24,29,488,16.8275862069,87,140,.621,0,0,.000,54,68,.794,44,1.51724137931,68,2.34482758621,112,3.86206896552,17,0.586206896552,9,0.310344827586,31,1.06896551724,23,0.793103448276,104,228,7.86206896552,
Mikki Moore,DET,2000-2001, 6-11,C,25,81,1154,14.2469135802,132,268,.493,0,1,.000,95,130,.731,121,1.49382716049,195,2.40740740741,316,3.9012345679,33,0.407407407407,24,0.296296296296,61,0.753086419753,74,0.913580246914,202,359,4.43209876543,
Mikki Moore,DET,2001-2002, 6-11,C,26,30,217,7.23333333333,29,61,.475,1,2,.500,20,26,.769,22,0.733333333333,31,1.03333333333,53,1.76666666667,11,0.366666666667,7,0.233333333333,9,0.3,14,0.466666666667,35,79,2.63333333333,
Mikki Moore,TOT,2002-2003, 6-11,C,27,8,43,5.375,5,13,.385,0,0,.000,8,10,.800,6,0.75,2,0.25,8,1.0,3,0.375,0,0.0,4,0.5,2,0.25,7,18,2.25,
Mikki Moore,BOS,2002-2003, 6-11,C,27,3,12,4.0,0,1,.000,0,0,.000,0,0,.000,1,0.333333333333,0,0.0,1,0.333333333333,0,0.0,0,0.0,2,0.666666666667,0,0.0,6,0,0.0,
Mikki Moore,ATL,2002-2003, 6-11,C,27,5,31,6.2,5,12,.417,0,0,.000,8,10,.800,5,1.0,2,0.4,7,1.4,3,0.6,0,0.0,2,0.4,2,0.4,1,18,3.6,
Mikki Moore,TOT,2003-2004, 6-11,PF,28,32,395,12.34375,50,99,.505,0,0,.000,30,35,.857,29,0.90625,55,1.71875,84,2.625,19,0.59375,7,0.21875,13,0.40625,22,0.6875,65,130,4.0625,
Mikki Moore,NJN,2003-2004, 6-11,C,28,4,10,2.5,1,5,.200,0,0,.000,0,0,.000,1,0.25,1,0.25,2,0.5,0,0.0,0,0.0,0,0.0,0,0.0,1,2,0.5,
Mikki Moore,UTA,2003-2004, 6-11,PF,28,28,385,13.75,49,94,.521,0,0,.000,30,35,.857,28,1.0,54,1.92857142857,82,2.92857142857,19,0.678571428571,7,0.25,13,0.464285714286,22,0.785714285714,64,128,4.57142857143,
Mikki Moore,LAC,2004-2005, 6-11,PF,29,74,1178,15.9189189189,144,287,.502,1,5,.200,107,136,.787,97,1.31081081081,149,2.01351351351,246,3.32432432432,47,0.635135135135,19,0.256756756757,32,0.432432432432,63,0.851351351351,173,396,5.35135135135,
Mikki Moore,SEA,2005-2006, 6-11,C,30,47,583,12.4042553191,54,124,.435,0,2,.000,46,62,.742,44,0.936170212766,86,1.82978723404,130,2.76595744681,27,0.574468085106,7,0.148936170213,15,0.31914893617,40,0.851063829787,92,154,3.27659574468,
Mikki Moore,NJN,2006-2007, 6-11,C,31,79,2082,26.3544303797,308,506,.609,0,1,.000,160,235,.681,145,1.83544303797,258,3.26582278481,403,5.10126582278,74,0.936708860759,46,0.582278481013,60,0.759493670886,113,1.43037974684,261,776,9.82278481013,
Mikki Moore,SAC,2007-2008, 6-11,PF,32,82,2385,29.0853658537,282,489,.577,0,2,.000,134,182,.736,160,1.9512195122,334,4.07317073171,494,6.0243902439,84,1.0243902439,35,0.426829268293,46,0.560975609756,110,1.34146341463,310,698,8.51219512195,
Mikki Moore,TOT,2008-2009, 6-11,PF,33,70,1202,17.1714285714,114,206,.553,0,0,.000,48,61,.787,76,1.08571428571,182,2.6,258,3.68571428571,53,0.757142857143,17,0.242857142857,19,0.271428571429,48,0.685714285714,208,276,3.94285714286,
Mikki Moore,SAC,2008-2009, 6-11,PF,33,46,746,16.2173913043,63,121,.521,0,0,.000,34,42,.810,45,0.978260869565,107,2.32608695652,152,3.30434782609,28,0.608695652174,13,0.282608695652,14,0.304347826087,27,0.586956521739,112,160,3.47826086957,
Mikki Moore,BOS,2008-2009, 6-11,C,33,24,456,19.0,51,85,.600,0,0,.000,14,19,.737,31,1.29166666667,75,3.125,106,4.41666666667,25,1.04166666667,4,0.166666666667,5,0.208333333333,21,0.875,96,116,4.83333333333,
Mikki Moore,GSW,2009-2010, 6-11,C,34,23,406,17.652173913,54,90,.600,0,0,.000,7,11,.636,26,1.13043478261,43,1.86956521739,69,3.0,36,1.5652173913,5,0.217391304348,13,0.565217391304,21,0.913043478261,60,115,5.0,
Mikki Moore,GSW,2011-2012, 6-11,C,36,7,118,16.8571428571,9,20,.450,0,0,.000,6,7,.857,7,1.0,15,2.14285714286,22,3.14285714286,5,0.714285714286,3,0.428571428571,3,0.428571428571,7,1.0,24,24,3.42857142857,
