Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Mitch Richmond,GSW,1988-1989, 6-5,SG,23,79,2717,34.3924050633,649,1386,.468,33,90,.367,410,506,.810,158,2.0,310,3.92405063291,468,5.92405063291,334,4.22784810127,82,1.03797468354,13,0.164556962025,269,3.40506329114,223,1741,22.0379746835,
Mitch Richmond,GSW,1989-1990, 6-5,SG,24,78,2799,35.8846153846,640,1287,.497,34,95,.358,406,469,.866,98,1.25641025641,262,3.35897435897,360,4.61538461538,223,2.85897435897,98,1.25641025641,24,0.307692307692,201,2.57692307692,210,1720,22.0512820513,
Mitch Richmond,GSW,1990-1991, 6-5,SG,25,77,3027,39.3116883117,703,1424,.494,40,115,.348,394,465,.847,147,1.90909090909,305,3.96103896104,452,5.87012987013,238,3.09090909091,126,1.63636363636,34,0.441558441558,230,2.98701298701,207,1840,23.8961038961,
Mitch Richmond,SAC,1991-1992, 6-5,SG,26,80,3095,38.6875,685,1465,.468,103,268,.384,330,406,.813,62,0.775,257,3.2125,319,3.9875,411,5.1375,92,1.15,34,0.425,247,3.0875,231,1803,22.5375,
Mitch Richmond,SAC,1992-1993, 6-5,SG,27,45,1728,38.4,371,782,.474,48,130,.369,197,233,.845,18,0.4,136,3.02222222222,154,3.42222222222,221,4.91111111111,53,1.17777777778,9,0.2,130,2.88888888889,137,987,21.9333333333,
Mitch Richmond,SAC,1993-1994, 6-5,SG,28,78,2897,37.141025641,635,1428,.445,127,312,.407,426,511,.834,70,0.897435897436,216,2.76923076923,286,3.66666666667,313,4.01282051282,103,1.32051282051,17,0.217948717949,216,2.76923076923,211,1823,23.3717948718,
Mitch Richmond,SAC,1994-1995, 6-5,SG,29,82,3172,38.6829268293,668,1497,.446,156,424,.368,375,445,.843,69,0.841463414634,288,3.51219512195,357,4.35365853659,311,3.79268292683,91,1.10975609756,29,0.353658536585,234,2.85365853659,227,1867,22.7682926829,
Mitch Richmond,SAC,1995-1996, 6-5,SG,30,81,2946,36.3703703704,611,1368,.447,225,515,.437,425,491,.866,54,0.666666666667,215,2.65432098765,269,3.32098765432,255,3.14814814815,125,1.54320987654,19,0.234567901235,220,2.71604938272,233,1872,23.1111111111,
Mitch Richmond,SAC,1996-1997, 6-5,SG,31,81,3125,38.5802469136,717,1578,.454,204,477,.428,457,531,.861,59,0.728395061728,260,3.20987654321,319,3.93827160494,338,4.17283950617,118,1.45679012346,24,0.296296296296,237,2.92592592593,211,2095,25.8641975309,
Mitch Richmond,SAC,1997-1998, 6-5,SG,32,70,2569,36.7,543,1220,.445,130,334,.389,407,471,.864,50,0.714285714286,179,2.55714285714,229,3.27142857143,279,3.98571428571,88,1.25714285714,15,0.214285714286,181,2.58571428571,154,1623,23.1857142857,
Mitch Richmond,WAS,1998-1999, 6-5,SG,33,50,1912,38.24,331,803,.412,70,221,.317,251,293,.857,30,0.6,142,2.84,172,3.44,122,2.44,64,1.28,10,0.2,136,2.72,121,983,19.66,
Mitch Richmond,WAS,1999-2000, 6-5,SG,34,74,2397,32.3918918919,447,1049,.426,93,241,.386,298,340,.876,37,0.5,176,2.37837837838,213,2.87837837838,185,2.5,110,1.48648648649,13,0.175675675676,154,2.08108108108,191,1285,17.3648648649,
Mitch Richmond,WAS,2000-2001, 6-5,SG,35,37,1216,32.8648648649,205,504,.407,45,133,.338,143,160,.894,15,0.405405405405,94,2.54054054054,109,2.94594594595,111,3.0,43,1.16216216216,7,0.189189189189,84,2.27027027027,86,598,16.1621621622,
Mitch Richmond,LAL,2001-2002, 6-5,SG,36,64,709,11.078125,100,247,.405,18,62,.290,42,44,.955,14,0.21875,80,1.25,94,1.46875,57,0.890625,18,0.28125,6,0.09375,40,0.625,61,260,4.0625,
