Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Mo Williams,UTA,2003-2004, 6-1,SG,21,57,772,13.5438596491,115,303,.380,10,39,.256,44,56,.786,23,0.40350877193,49,0.859649122807,72,1.26315789474,76,1.33333333333,28,0.491228070175,2,0.0350877192982,51,0.894736842105,87,284,4.98245614035,
Mo Williams,MIL,2004-2005, 6-1,PG,22,80,2254,28.175,323,737,.438,32,99,.323,136,160,.850,50,0.625,194,2.425,244,3.05,484,6.05,74,0.925,11,0.1375,196,2.45,221,814,10.175,
Mo Williams,MIL,2005-2006, 6-1,PG,23,58,1531,26.3965517241,267,629,.424,73,191,.382,96,113,.850,30,0.51724137931,113,1.94827586207,143,2.46551724138,230,3.96551724138,52,0.896551724138,7,0.120689655172,105,1.81034482759,146,703,12.1206896552,
Mo Williams,MIL,2006-2007, 6-1,PG,24,68,2472,36.3529411765,468,1049,.446,79,228,.346,159,186,.855,54,0.794117647059,275,4.04411764706,329,4.83823529412,416,6.11764705882,85,1.25,6,0.0882352941176,203,2.98529411765,201,1174,17.2647058824,
Mo Williams,MIL,2007-2008, 6-1,PG,25,66,2410,36.5151515152,441,919,.480,89,231,.385,166,194,.856,37,0.560606060606,193,2.92424242424,230,3.48484848485,419,6.34848484848,78,1.18181818182,10,0.151515151515,182,2.75757575758,188,1137,17.2272727273,
Mo Williams,CLE,2008-2009, 6-1,PG,26,81,2834,34.987654321,526,1126,.467,183,420,.436,208,228,.912,47,0.58024691358,232,2.86419753086,279,3.44444444444,329,4.06172839506,69,0.851851851852,9,0.111111111111,179,2.20987654321,215,1443,17.8148148148,
Mo Williams,CLE,2009-2010, 6-1,PG,27,69,2359,34.1884057971,378,855,.442,159,371,.429,177,198,.894,28,0.405797101449,178,2.57971014493,206,2.98550724638,368,5.33333333333,70,1.01449275362,21,0.304347826087,173,2.50724637681,170,1092,15.8260869565,
Mo Williams,TOT,2010-2011, 6-1,PG,28,58,1788,30.8275862069,291,730,.399,79,244,.324,151,177,.853,21,0.362068965517,132,2.27586206897,153,2.63793103448,380,6.55172413793,53,0.913793103448,10,0.172413793103,171,2.94827586207,150,812,14.0,
Mo Williams,CLE,2010-2011, 6-1,PG,28,36,1065,29.5833333333,178,462,.385,36,136,.265,85,102,.833,15,0.416666666667,82,2.27777777778,97,2.69444444444,257,7.13888888889,33,0.916666666667,10,0.277777777778,105,2.91666666667,91,477,13.25,
Mo Williams,LAC,2010-2011, 6-1,PG,28,22,723,32.8636363636,113,268,.422,43,108,.398,66,75,.880,6,0.272727272727,50,2.27272727273,56,2.54545454545,123,5.59090909091,20,0.909090909091,0,0.0,66,3.0,59,335,15.2272727273,
Mo Williams,LAC,2011-2012, 6-1,SG,29,52,1472,28.3076923077,260,611,.426,93,239,.389,72,80,.900,23,0.442307692308,76,1.46153846154,99,1.90384615385,160,3.07692307692,51,0.980769230769,7,0.134615384615,86,1.65384615385,103,685,13.1730769231,
Mo Williams,UTA,2012-2013, 6-1,PG,30,29,880,30.3448275862,137,318,.431,37,95,.389,42,45,.933,14,0.48275862069,48,1.65517241379,62,2.13793103448,182,6.27586206897,24,0.827586206897,8,0.275862068966,83,2.86206896552,61,353,12.1724137931,
